East Low German	Afrikaans	probability
ae̯	i	1.0
b	b	0.874
b	-	0.117
d	d	0.594
d	t	0.366
f	f	0.985
h	ɦ	0.959
j	χ	0.916
j	j	0.084
k	k	0.906
k	χ	0.074
kʰ	k	1.0
l	ɫ	0.956
m	m	0.908
n	n	0.711
n	-	0.241
p	p	1.0
r	r	1.0
s	s	1.0
t	t	0.852
t	r_t	0.111
tʰ	t	1.0
v	v	0.823
v	w	0.132
w	w	0.602
w	v	0.398
x	χ	1.0
z	s	1.0
æ	r	0.591
æ	ə	0.226
æ	d_ə	0.124
ç	χ	0.695
ç	ŋ	0.146
ç	t	0.079
ç	k	0.077
ŋ	ŋ	0.781
ŋ	n	0.109
ŋ	χ	0.109
ɡ	χ	1.0
ɣ	χ	1.0
ɪ	ə	1.0
ɾ	-	0.319
ɾ	d	0.261
ɾ	ˈuː	0.242
ɾ	ə	0.157
ʃ	s	1.0
ˈa	ˈa	0.941
ˈa	ˈɑː	0.059
ˈae̯	ˈi	0.634
ˈae̯	ˈɪə̯	0.286
ˈae̯	ˈəɪ̯	0.08
ˈaɪ̯	ˈi	1.0
ˈaʊ̯	ˈʊə̯	0.437
ˈaʊ̯	ˈu	0.217
ˈaʊ̯	-	0.102
ˈaʊ̯	ˈɔ	0.088
ˈaː	ˈa	0.57
ˈaː	ˈæː	0.336
ˈaː	ˈɑː	0.094
ˈeː	ˈʊə̯	0.425
ˈeː	ˈi	0.305
ˈeː	ˈɪə̯	0.27
ˈiː	ˈəɪ̯	0.65
ˈiː	ˈi	0.198
ˈoː	ˈɑː	0.702
ˈoː	ˈœ	0.23
ˈoː	ˈɪə̯	0.068
ˈuː	ˈœɪ̯	0.509
ˈuː	ˈʊə̯	0.253
ˈuː	ˈɔ	0.103
ˈuː	ˈyː	0.078
ˈuː	ˈœu̯	0.057
ˈyː	ˈʊə̯	0.429
ˈyː	ˈyː	0.301
ˈyː	ˈœɪ̯	0.27
ˈøː	ˈʊə̯	1.0
ˈœ	ˈɛ	0.445
ˈœ	ˈɑː	0.387
ˈœ	ˈʊə̯	0.087
ˈœ	ˈɔ	0.08
ˈœː	ˈɪø̯	0.496
ˈœː	ˈʊə̯	0.268
ˈœː	ˈɪə̯	0.141
ˈœː	ˈə	0.094
ˈɒː	ˈɑː	0.767
ˈɒː	ˈʊə̯	0.131
ˈɒː	ˈɔ	0.075
ˈɔ	ˈɔ	0.486
ˈɔ	ˈœu̯	0.235
ˈɔ	ˈɪø̯	0.155
ˈɔ	ˈɔː	0.124
ˈɔʏ̯	ˈu	0.504
ˈɔʏ̯	ˈʊə̯	0.39
ˈɔʏ̯	ˈuːi̯	0.074
ˈɛ	ˈɛ	0.526
ˈɛ	ˈɪə̯	0.328
ˈɛ	ˈɛː	0.146
ˈɛɪ̯	ˈɑː	1.0
ˈɛː	ˈɪə̯	0.741
ˈɛː	ˈa	0.193
ˈɪ	ˈə	0.76
ˈɪ	ˈɛ	0.076
ˈɪ	ˈəɪ̯	0.073
ˈɪ	ˈɪ	0.054
ˈʊ	ˈɔ	0.975
ˈʏ	ˈœ	0.595
ˈʏ	ˈi	0.16
ˈʏ	ˈɔ	0.097
ˈʏ	ˈɛ	0.076
ˈʏ	-	0.073
