Occitan	Romanian	probability
a	-	0.222
a	ˈə	0.157
a	ɨ	0.154
a	a	0.109
a	w	0.096
a	ə	0.077
a	ˈa	0.075
a	o	0.051
b	b	1.0
d	z	0.474
d	d	0.392
d	ʃ	0.088
e	e	0.38
e	-	0.225
e	i	0.113
e	ə	0.086
e	u	0.074
f	f	0.973
i	i	0.402
i	j	0.252
i	e	0.252
i	ˈi	0.094
j	-	0.409
j	t	0.193
j	e̯ˈa	0.162
j	j	0.123
j	e	0.056
k	k	0.808
k	p	0.074
k	ʧ	0.051
l	l	0.509
l	-	0.197
l	r	0.164
m	m	0.951
mː	p	1.0
n	n	0.929
n	-	0.063
p	p	0.849
p	-	0.104
r	r	0.988
s	s	0.461
s	ʧ	0.199
s	ʃ	0.132
s	-	0.091
s	ʦ	0.07
t	t	0.73
t	-	0.107
u	u	0.748
u	o	0.122
u	ˈo	0.064
v	v	0.926
v	-	0.065
w	-	0.312
w	w	0.193
w	e	0.142
w	u	0.134
w	l	0.094
w	ə	0.054
y	u	1.0
z	ʧ	0.409
z	k	0.24
z	s	0.11
z	d	0.075
z	t	0.074
z	-	0.066
ð	t	0.824
ð	ʦ	0.176
ŋ	n	0.432
ŋ	-	0.255
ŋ	m	0.166
ŋ	ŋ	0.148
ɔ	ə	0.685
ɔ	e	0.148
ɔ	-	0.112
ɡ	ɡ	0.836
ɡ	b	0.113
ɡ	-	0.051
ɣ	k	0.693
ɣ	ɡ	0.23
ɣ	p	0.077
ɥ	o̯ˈa	0.649
ɥ	ˈo	0.286
ɥ	-	0.064
ɲ	m	0.646
ɲ	j	0.244
ɲ	ʤ	0.11
ɾ	r	0.752
ɾ	-	0.22
ʎ	j	0.376
ʎ	k	0.216
ʎ	n	0.216
ʎ	-	0.193
ʒ	ʒ	0.486
ʒ	ʤ	0.442
ʒ	ŋ	0.055
ʤ	d	0.809
ʤ	b	0.102
ʤ	ʤ	0.09
ʦ	ʧ	0.595
ʦ	ʦ	0.318
ʦ	k	0.087
ʧ	p	0.858
ʧ	z	0.12
ˈa	ˈa	0.661
ˈa	ˈɨ	0.187
ˈa	-	0.096
ˈe	ˈe	0.471
ˈe	ˈi	0.188
ˈe	-	0.128
ˈe	d_ˈe	0.097
ˈe	e̯ˈa	0.081
ˈi	ˈi	0.705
ˈi	j	0.082
ˈi	ˈu	0.082
ˈu	ˈu	0.602
ˈu	o̯ˈa	0.185
ˈu	ˈo	0.168
ˈy	ˈu	0.765
ˈy	u	0.136
ˈy	ˈa	0.066
ˈɔ	ˈo	0.415
ˈɔ	ˈu	0.316
ˈɔ	o̯ˈa	0.27
ˈɛ	ˈe	0.286
ˈɛ	-	0.28
ˈɛ	ˈi	0.15
ˈɛ	ˈa	0.103
ˈɛ	j	0.06
ˈɛ	e	0.05
β	p	0.326
β	-	0.319
β	t	0.2
β	b	0.155
