Gascon	Occitan	probability
<#_a_r	<#_r	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_h	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_ɥ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈy	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
a_#>	ɔ	1.0
d	d	1.0
e_h	f	1.0
i	i	1.0
j_#>	ʧ_#>	1.0
j_r	j_ɾ	1.0
j_t	ʧ	1.0
j_ʃ	j_s	1.0
j_ˈe	e	1.0
k_#>	k_#>	1.0
k_ɔ	k_ɔ	1.0
l	l	1.0
l_ɔ	l_ɔ	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
m_b	m_b	1.0
m_i_#>	m_#>	1.0
n	n	1.0
n_#>	n_#>	1.0
n_t	n_t	1.0
n_ɔ	n_ɔ	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t	t_#>	1.0
t_ˈa	t_ˈa	1.0
u	u	1.0
u_ɾ	u_ɾ	1.0
w_s	w_s	1.0
w_t	w_t	1.0
w_ˈe	ɥ_ˈɛ	1.0
y	y	1.0
ð_ɔ	ð_ɔ	1.0
ŋ	ŋ	1.0
ɔ	ɔ_#>	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɾ	ɾ	1.0
ɾ_ɔ	l_ɔ	1.0
ʃ	s	1.0
ʎ_#>	l_#>	1.0
ʎ_ɔ	ʎ_ɔ	1.0
ʒ	ʤ	1.0
ʤ	ʤ	1.0
ʦ	ʦ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈa_w	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	ˈe_#>	1.0
ˈe_j	ˈe_j	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_ŋ_#>	ˈe_#>	1.0
ˈi_#>	ˈi_#>	1.0
ˈu	ˈu	1.0
ˈu_#>	ˈu_#>	1.0
ˈu_n	ˈu_n	1.0
ˈu_t	ˈu_t	1.0
ˈy_#>	ˈy_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_#>	ˈɛ_#>	1.0
ˈɛ_j	ˈa	1.0
ˈɛ_r	ˈɛ_r	1.0
<#_a	<#	0.231
<#_b	<#_v	0.611
e	ɾ_e	0.111
t_#>	ʧ_#>	0.231
ŋ_#>	n_#>	0.1
β	w_ɾ	0.111
β	β_ɾ	0.111
z	ɾ	0.2
ð	j_r	0.2
ð	z	0.2
ˈa	ˈa	0.952
j	j	0.833
r	ɾ	0.273
w	w	0.583
ˈe	ˈɛ	0.273
ˈi	ˈe	0.103
ˈy	ˈu	0.263
ɾ_ˈa	ˈa	0.4
ʎ	ʎ	0.4
e_#>	ˈi_#>	0.065
e_#>	e_#>	0.935
w	ɥ	0.25
w_#>	l_#>	0.5
w_#>	w_#>	0.5
ɲ	ɲ_#>	0.375
ɲ	ɲ	0.625
ð	ð	0.6
ɾ_ˈa	ɾ_ˈa	0.6
ʎ	l	0.6
j	-	0.167
r	r	0.727
w	v	0.167
ˈy	ˈy	0.737
z	z	0.8
ˈe	e	0.068
ˈe	ˈe	0.568
ˈi	ˈi	0.828
β	β	0.778
<#_a	<#_a	0.769
<#_b	<#_b	0.389
e	e	0.889
t_#>	l_#>	0.769
ŋ_#>	#>	0.9
ˈi	ˈi_n	0.069
