Gascon	Ligurian	probability
lː	-	1.0
ɣ	ɡ	1.0
ʦ	ʒ_e	1.0
a	ɔː	0.051
b	b	0.291
d	-	0.051
n	ŋ_t	0.211
t	t_e	0.141
ʎ	ʤ_u	0.431
ˈe	ˈɛː	0.071
ˈy	ˈyː	0.241
ˈy	ˈy	0.481
ˈɛ	ˈɛ	0.171
e	j	0.062
h	f	0.862
n	n	0.612
t	t_u	0.172
w	ˈøː	0.062
ŋ	ŋ	0.92
ɔ	a	0.842
ɡ	ɡ	0.842
ɾ	r	0.632
ʒ	z	0.732
ˈe	-	0.062
ˈu	ˈuː	0.222
ˈy	ˈuː	0.052
ˈy	ˈu	0.192
ˈɔ	ˈɔ	0.272
p	p	0.983
r	-	0.113
r	r	0.693
w	j	0.13
w	w	0.393
ð	d	0.323
ɲ	ɲ	0.843
ˈu	ˈu	0.683
ˈɔ	ˈɔː	0.503
ˈɛ	ˈe	0.073
i	i	0.494
m	m_e	0.054
r	r_n	0.194
w	e	0.14
ɾ	j	0.054
ɾ	-	0.314
ˈɔ	ˈøː	0.224
a	e	0.205
e	e	0.605
i	e	0.425
k	k	0.735
l	-	0.345
l	l	0.655
t	-	0.145
ˈe	ˈɛ	0.075
ˈu	ˈø	0.05
ˈɛ	-	0.165
ˈɛ	ˈɛː	0.325
b	v	0.666
t	t	0.516
u	u	0.656
z	-	0.186
z	ʒ	0.666
ʎ	ʤ	0.396
ˈi	ˈi	0.586
ˈɛ	ˈa	0.086
β	-	0.06
j	u	0.17
n	ŋ	0.177
s	s	0.767
u	-	0.167
u	w	0.177
w	u	0.127
w	-	0.147
ð	-	0.677
ɲ	ɲ_u	0.157
ˈa	ˈaː	0.347
ˈa	ˈa	0.557
a	a	0.698
e	u	0.238
h	-	0.138
i	u	0.08
j	-	0.788
m	m	0.898
s	-	0.148
z	z	0.148
ŋ	n_u	0.08
ɡ	-	0.158
ʎ	-	0.138
ʒ	ʤ	0.268
ˈe	ˈe	0.648
ˈɛ	ˈeː	0.18
β	v	0.928
d	d	0.949
k	ɡ_u	0.119
ˈe	ˈeː	0.119
ˈi	ˈiː	0.369
