Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈɛ_t	1.0
ˈɛ_#>	ˈe_r_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈuː	ˈo	1.0
ˈĩ	ˈi_ŋ	1.0
ˈẽ	ˈe_ŋ	1.0
ˈã	ˈa_ŋ	1.0
ɲ	ɲ	1.0
z	z	1.0
w	w	1.0
v	v	1.0
ũ	-	1.0
u_r	o_r	1.0
u	o	1.0
s_a	θ_a	1.0
r_t	r_t	1.0
p	p	1.0
o	o	1.0
m_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
k_#>	ɡ_o_#>	1.0
ĩ	i_ŋ	1.0
f_r	f_r	1.0
ẽ	e_n	1.0
e_r	r_o	1.0
b	b	1.0
ã	a_ŋ	1.0
a_#>	#>	1.0
<#_ˈoː	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
k	k	0.947
a	a	0.934
t	t	0.933
n	n	0.929
s	s	0.911
ɡ	ɡ	0.867
d	d	0.846
ˈu	ˈo	0.833
j	j	0.833
f	f	0.818
r	r	0.809
ˈøː	ˈo	0.8
ˈeː	ˈe	0.8
#>	r_#>	0.778
ˈɛ	ˈɛ	0.76
ˈũ	ˈo_ŋ	0.75
ˈiː	ˈi	0.75
ʧ	ʧ	0.75
ʤ	-	0.75
e	e	0.75
i	e	0.667
ˈyː	ˈu	0.636
ˈe	ˈe	0.6
ʒ	z	0.571
ˈa	ˈa	0.565
ˈi	ˈi_r	0.5
ˈi	ˈi	0.5
y	u	0.5
y	o	0.5
ˈa	ˈa_r	0.435
ʒ	ð	0.429
ˈe	j_ˈe	0.4
i	-	0.333
ˈũ	ˈo_n	0.25
ˈiː	-	0.25
ʧ	ð_e	0.25
ʤ	ʤ	0.25
ˈɛ	ˈe	0.24
#>	i_#>	0.222
ˈøː	ˈɔ	0.2
ˈeː	j_ˈe	0.2
ˈyː	ˈo	0.182
ˈyː	-	0.182
ˈu	ˈɔ	0.167
j	-	0.167
ɡ	-	0.133
e	ˈe	0.125
e	i	0.125
f	v_o	0.091
f	v_e	0.091
s	θ	0.089
r	-	0.085
d	r	0.077
d	-	0.077
n	-	0.071
t	-	0.067
r	r_o	0.064
k	ɡ	0.053
