Kashubian	Polish	probability
b	b	1.0
d	d	1.0
e	ɛ	1.0
f	f	1.0
j	j	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
õ	ɔ	1.0
r	r	1.0
t	t	1.0
u̯ɛ	ɔ	1.0
v	v	1.0
w	w	1.0
x	x	1.0
ŋ	ɲ	1.0
ɔ	ɔ	1.0
ə	ɨ	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʐ	ʐ	1.0
ʒ	ʐ	1.0
ʣ	ʥ	1.0
ʤ	ɡ	1.0
ˈe	ˈɛ	1.0
ˈi	ˈi	1.0
ˈõ	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
z	w̃_z	0.121
z	ʑ	0.611
ʃ	w̃_ʂ	0.131
s	s	0.472
ʦ	ʦ	0.262
i	k_i	0.153
u̯ˈɛ	ɔ	0.094
ˈa	ˈɛ	0.14
ˈɞ	ˈɛ	0.104
a	ɛ	0.095
a	a	0.905
ʧ	-	0.225
ʧ	ʈ͡ʂ	0.775
ˈu	ˈɔ	0.175
ˈu	ˈu	0.825
ˈə	ˈɛ	0.075
ˈə	ˈɨ	0.925
u̯ˈɛ	ˈɔ	0.906
ˈa	ˈa	0.86
ˈɞ	ˈa	0.896
i	ɨ	0.847
p	p	0.958
s	ɕ	0.528
z	z	0.268
ʦ	ʨ	0.738
ʃ	ʂ	0.869
