West Flemish	North Frisian	probability
b	b	1.0
d	d	0.544
d	t	0.258
d	-	0.166
f	f	0.66
f	v	0.183
f	h	0.052
h	-	0.519
h	x	0.399
h	k	0.077
j	ˈiː	0.212
j	j	0.105
k	k	0.764
k	-	0.129
k	ʃ	0.056
k	h	0.051
l	l	0.94
l	j	0.038
l	lʲ	0.033
m	m	1.0
n	n	0.557
n	ə	0.281
n	-	0.106
n	nʲ	0.05
n_t	n	0.57
n_t	nʲ	0.422
p	p	0.879
p	d	0.107
s	s	0.817
s	ʃ	0.17
s	z	0.032
t	t	0.595
t	d	0.139
t	tʲ	0.06
t	dʲ	0.06
t	s	0.058
v	f	0.712
v	v	0.186
v	-	0.097
w	l	0.638
w	-	0.33
z	s	0.909
z	z	0.065
z	ʃ	0.039
ç	-	1.0
ŋ	ŋ	1.0
ə	-	0.577
ə	ə	0.263
ə	i	0.063
ə	w	0.054
ə	ˈi	0.031
ɦ	ɡ	0.395
ɦ	j	0.284
ɦ	-	0.201
ɦ	w	0.055
ɦ	h	0.055
ɦ_n	n	1.0
ɪ	i	0.244
ɾ	r	0.929
ɾ	-	0.037
ʃ	ʃ	0.903
ʃ	s	0.066
ʋ	v	0.748
ʋ	-	0.247
ˈeː	ˈɛː	0.257
ˈeː	ˈi	0.201
ˈeː	ˈøː	0.101
ˈeː	ˈyː	0.101
ˈeː	ˈiː	0.101
ˈi	ˈi	0.898
ˈi	ˈeː	0.094
ˈiə̯	ˈiː	0.741
ˈiə̯	j	0.104
ˈiə̯	ˈai̯	0.069
ˈiə̯	ˈyː	0.049
ˈiə̯	ˈʊ	0.048
ˈoː	ˈuː	0.376
ˈoː	ˈɔ	0.198
ˈoː	ˈyː	0.123
ˈoː	ˈiː	0.111
ˈoː	ˈɔu̯	0.084
ˈu	ˈyː	0.396
ˈu	ˈœ	0.23
ˈu	ˈʊ	0.23
ˈu	ˈɒ	0.132
ˈuə̯	ˈœ	0.384
ˈuə̯	ˈɛi̯	0.218
ˈuə̯	ˈɛ	0.19
ˈuə̯	ˈyː	0.109
ˈuə̯	ˈɔu̯	0.085
ˈyː	ˈyː	0.787
ˈyː	ˈøː	0.146
ˈyː	ˈuː	0.04
ˈæ	ˈa	0.221
ˈæ	ˈʊ	0.178
ˈæ	ˈɛi̯	0.117
ˈæ	-	0.117
ˈæ	ˈɛ	0.09
ˈøː	ˈaː	0.392
ˈøː	ˈøː	0.222
ˈøː	ˈɔː	0.222
ˈœ	ˈʊ	0.547
ˈœ	ˈʏ	0.163
ˈœ	ˈɒ	0.163
ˈœ	ˈiː	0.111
ˈɑ	ˈɒ	0.2
ˈɑ	ˈɒː	0.183
ˈɑ	ˈœ	0.121
ˈɑ	ˈɛi̯	0.103
ˈɑ	ˈuː	0.078
ˈɒː	ˈɛː	0.238
ˈɒː	ˈɛi̯	0.219
ˈɒː	ˈeː	0.186
ˈɒː	ˈɒː	0.076
ˈɒː	ˈɔu̯	0.058
ˈɔ	ˈɔː	0.298
ˈɔ	ˈɔ	0.245
ˈɔ	ˈʏ	0.12
ˈɔ	ˈʊ	0.12
ˈɔ	ˈuː	0.09
ˈɛ	ˈa	0.394
ˈɛ	ˈi	0.221
ˈɛ	ˈeː	0.193
ˈɛ	ˈɒ	0.168
ˈɛː	ˈiː	0.434
ˈɛː	ˈɛː	0.116
ˈɛː	ˈai̯	0.116
ˈɛː	ˈa	0.116
ˈɛː	ˈɒ	0.087
ˈɪ	ˈi	0.303
ˈɪ	ˈɛ	0.174
ˈɪ	ˈa	0.118
ˈɪ	ˈai̯	0.11
ˈɪ	ˈeː	0.087
ˈʏ	ˈa	0.494
