West Frisian	Swedish	probability
b	b	0.935
b	tʰ	0.056
d	d	0.683
d	-	0.164
d	tʰ	0.129
f	f	0.77
f	v	0.139
f	-	0.055
h	h	0.942
h	-	0.058
j	-	0.478
j	ˈiː	0.111
j	j	0.098
j	ˈyː	0.093
j	ˈæː	0.09
j	ɡ	0.074
k	k	0.471
k	kʰ	0.187
k	-	0.15
k	kː	0.107
k	ɡ	0.061
l	l	0.854
l	-	0.061
m	m	0.724
m	mː	0.177
m	-	0.099
n	n	0.702
n	nː	0.151
n	ɳ	0.069
n	-	0.069
p	p	0.54
p	pː	0.182
p	v	0.114
p	-	0.085
p	pʰ	0.078
r	r	0.912
s	s	0.746
s	ɧ	0.197
t	t	0.331
t	tʰ	0.21
t	d	0.192
t	tː	0.143
v	v	0.74
v	-	0.26
z	s	0.403
z	jː	0.209
z	r	0.194
z	ɡː	0.194
ŋ	ŋː	0.655
ŋ	ŋ	0.337
ɕ	ɧ	0.65
ɕ	s	0.35
ə	a	0.647
ə	ɛ	0.25
ə	-	0.094
ɡ	ɡ	0.753
ɡ	j	0.247
ɣ	ɡ	0.5
ɣ	-	0.278
ɣ	ɡː	0.221
ɪ	ɔ	0.646
ɪ	-	0.199
ɪ	ɪ	0.092
ɪ	ɵ	0.062
ʋ	v	0.859
ʋ	ˈœ	0.066
ʋ	ˈʊ	0.066
ʦ	ɕ	0.656
ʦ	tʰ	0.257
ʦ	t	0.087
ˈa	ˈa	0.475
ˈa	ˈɑː	0.23
ˈa	ˈoː	0.107
ˈa	ˈɛ	0.096
ˈa	ˈɪ	0.057
ˈaː	ˈeː	0.243
ˈaː	ˈa	0.216
ˈaː	ˈɑː	0.191
ˈaː	ˈɛː	0.14
ˈaː	ˈɛ	0.116
ˈaː	ˈoː	0.054
ˈeː	ˈeː	0.305
ˈeː	ˈøː	0.295
ˈeː	ˈɵ	0.246
ˈeː	ˈɛ	0.155
ˈi	ˈiː	0.553
ˈi	ˈɪ	0.207
ˈi	ˈeː	0.067
ˈiə̯	ˈoː	0.201
ˈiə̯	ˈeː	0.16
ˈiə̯	j	0.152
ˈiə̯	ˈøː	0.151
ˈiə̯	ʊ	0.105
ˈiə̯	ˈɛ	0.091
ˈiə̯	ˈɛː	0.07
ˈiː	ˈɪ	0.342
ˈiː	ˈiː	0.218
ˈiː	ˈʉː	0.153
ˈiː	ˈɛ	0.134
ˈiː	ˈa	0.107
ˈoə̯	ˈoː	0.337
ˈoə̯	ˈœ	0.218
ˈoə̯	ˈɔ	0.187
ˈoə̯	ˈuː	0.168
ˈoː	ˈʉː	0.509
ˈoː	ˈuː	0.331
ˈoː	ˈʊ	0.16
ˈu	ˈʊ	0.612
ˈu	ˈɵ	0.365
ˈuə̯	ˈuː	0.53
ˈuə̯	-	0.343
ˈuə̯	ˈʉː	0.055
ˈuː	ˈɵ	0.404
ˈuː	ˈʉː	0.376
ˈuː	-	0.081
ˈuː	ˈœ	0.07
ˈuː	ˈɔ	0.07
ˈu̯o	ˈœ	1.0
ˈy	ˈoː	0.955
ˈyː	ˈʉː	0.593
ˈyː	ˈøː	0.192
ˈyː	ˈɔ	0.155
ˈyː	ˈʏ	0.06
ˈø	ˈoː	0.66
ˈø	ˈæː	0.17
ˈø	ˈʏ	0.17
ˈøə̯	ˈɛ	1.0
ˈɔ	ˈɵ	0.406
ˈɔ	ˈɔ	0.22
ˈɔ	-	0.084
ˈɔ	ʊ	0.084
ˈɔ	ˈʊ	0.071
ˈɔ	ˈœ	0.068
ˈɔ	ˈʉː	0.067
ˈɔu̯	r	0.551
ˈɔu̯	ˈɵ	0.225
ˈɔu̯	ˈʏ	0.225
ˈɔː	ˈa	0.859
ˈɔː	ˈʉː	0.141
ˈɛ	-	0.208
ˈɛ	ˈɛ	0.195
ˈɛ	ˈeː	0.157
ˈɛ	ɳ	0.126
ˈɛ	ˈʏ	0.125
ˈɛ	ˈæ	0.07
ˈɛ	ˈøː	0.061
ˈɛ	ˈa	0.058
ˈɛi̯	-	0.259
ˈɛi̯	ˈɛ	0.223
ˈɛi̯	ˈɛː	0.209
ˈɛi̯	ˈɑː	0.15
ˈɛi̯	ˈæː	0.123
ˈɛː	ˈɑː	0.607
ˈɛː	ˈʏ	0.224
ˈɛː	ˈɛː	0.17
ˈɪ	-	0.307
ˈɪ	ˈɪ	0.288
ˈɪ	ˈɛ	0.112
ˈɪ	ˈɵ	0.07
ˈɪ	ˈøː	0.053
ˈɪə̯	ˈøː	0.305
ˈɪə̯	ˈa	0.134
ˈɪə̯	ˈoː	0.123
ˈɪə̯	ˈɛː	0.115
ˈɪə̯	ˈœː	0.074
ˈɪə̯	ˈʉː	0.069
ˈɪə̯	ˈyː	0.064
ˈɪə̯	ˈœ	0.059
χ	tː	0.303
χ	ɡ	0.281
χ	ɡː	0.157
χ	k	0.108
χ	j	0.057
