Hessian	Northern Low Saxon	probability
ˈɛ̃ː	ˈoː_n	1.0
ˈɛː	-	1.0
ˈɛ_d̥	ˈɛ_l	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈõː	ˈøː_n	1.0
ˈoĩ̯	ˈeː_n	1.0
ˈĩː	ˈɔʏ̯_n	1.0
ˈeː	-	1.0
ˈãː	ˈaɪ̯_n	1.0
ˈau̯	ˈuː	1.0
ˈa_l	ˈaː	1.0
ʣ̥	-	1.0
ʒ̊_ə	ŋ	1.0
ʒ̊	ʃ	1.0
ʃ_t	ç	1.0
ʃ_d̥	ʃ_t	1.0
ʀ	r	1.0
ɣ̊_ə	ɡ_n	1.0
ɑ	-	1.0
ɐ_ʦ	d	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	d	1.0
v̥_ə	b_m	1.0
v_ə	m	1.0
v	v	1.0
s_ˈeː	z	1.0
s_t	s	1.0
pʰ	pʰ	1.0
p	b	1.0
oː	ˈaʊ̯	1.0
n_ə	n_n	1.0
m_ə	m	1.0
kʰ	kʰ	1.0
k_s	s	1.0
j_ə	n	1.0
j	ʒ	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
l	l	0.957
m	m	0.932
n	n	0.873
ɡ̊	ɡ	0.847
ˈɑ	ˈa	0.823
ˈuː	ˈaʊ̯	0.8
ˈo	ˈʊ	0.794
i	ɪ	0.75
b̥	b	0.736
k	ɡ	0.72
ʦ	tʰ	0.712
t	d	0.671
ˈiː	ˈaɪ̯	0.646
ˈi	ˈɪ	0.639
ˈɔ	ˈaʊ̯	0.627
ə	n	0.625
ˈai̯	ˈiː	0.619
ˈɛ	-	0.603
ɣ̊	x	0.601
ˈu	ˈʊ	0.566
x	x	0.546
ˈoi̯	ˈyː	0.541
ˈaː	ˈaʊ̯	0.531
ˈoː	ˈoː	0.528
ˈe	-	0.516
ˈɑː	ˈoː	0.506
s	z	0.493
ʃ	ʃ	0.485
ˈoː	ˈaʊ̯	0.472
ˈa	ˈa	0.465
ˈoi̯	-	0.459
x	ɡ	0.454
ɣ̊	ɡ	0.399
ˈɛ	ˈeː	0.397
ˈai̯	ˈɪ	0.381
ˈɔ	-	0.373
ˈa	ˈoː	0.313
ʃ	ç	0.309
ˈiː	-	0.308
ˈaː	-	0.295
ˈe	ˈɛ	0.293
ʦ	d	0.288
k	-	0.28
b̥	f	0.264
i	i	0.25
s	z̥	0.233
ˈa	-	0.222
ˈɑː	ˈaː	0.208
ˈo	ˈɔ	0.206
ˈuː	ˈuː	0.2
s	d	0.198
ˈe	ˈœː	0.191
t	-	0.189
ˈi	ˈʏ	0.18
ˈi	-	0.18
ˈɑ	-	0.177
ˈaː	ˈaɪ̯	0.174
ˈɑː	ˈa	0.173
ˈu	-	0.173
ɡ̊	k	0.153
ʃ	ɡ	0.146
ə	ŋ	0.145
t	t	0.14
ə	-	0.139
ˈu	ˈɔ	0.136
ˈu	ˈaʊ̯	0.125
ˈɑː	-	0.113
ə	m	0.091
s	s	0.076
n	ˈʏ_n	0.071
m	ˈoː	0.068
ʃ	-	0.059
n	ˈɪ_n	0.056
