Middle Chinese	Middle Chinese	probability
˥˩	⁵³	1.0
ʨʰ	ʦʰ	1.0
ʥ	s	1.0
ʤ	s	1.0
ʔˠ	-	1.0
ʑ	s	1.0
ʉ	j	1.0
ʈˠ	ʦ	1.0
ʈ	t	1.0
ʃˠ	s	1.0
ʃ	s_ɛ	1.0
ɳ	n̩	1.0
ɦˠ	h_ɔ	1.0
ɡˠ	cʰ	1.0
ɡ	cʰ	1.0
ɛ	a	1.0
ɖˠ	ʦʰ	1.0
ɖ	ʦʰ	1.0
ɕˠ	s_u	1.0
ɕ	s	1.0
ɑ_u	a_w	1.0
ȵ	ɲ	1.0
ŋˠ	ŋ	1.0
æ	a	1.0
w_ɑ	ɔ	1.0
u_˦	w_¹¹	1.0
u_ɛ	ɛ	1.0
u_ɑ	o	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	ɕ	1.0
s	ɕ	1.0
p̚	p̚	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
n_ʌ	n_a	1.0
n	n	1.0
mˠ	m	1.0
m_ɨ	ʋ	1.0
m	m	1.0
lˠ	l	1.0
l	l	1.0
kʰˠ	-	1.0
kʰ	kʰ	1.0
i_ɪ	i	1.0
i_u	u	1.0
i_e	a	1.0
hˠ	f	1.0
e_˦	¹¹	1.0
e_i	i	1.0
d	tʰ	1.0
bˠ	pʰ	1.0
a	a	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
<#_ȵ	<#	1.0
<#_kʰ	<#	1.0
#>	¹_#>	1.0
ŋ	ŋ	0.931
˧˥	³¹	0.765
ʦ	ʦ	0.75
t̚	t̚	0.727
o	-	0.7
ʉ_ɐ	ɔ	0.667
k	k	0.667
h	h	0.667
ʦʰ	ʦʰ	0.6
ɪ	-	0.6
ɑ	ɔ	0.6
p	p	0.6
b	f	0.6
k̚	k̚	0.588
i	j	0.576
ɨ_u	u	0.545
ə	ɛ	0.5
ɐ	ɔ	0.5
ɐ	a	0.5
w	j	0.5
w	-	0.5
<#_ŋ	<#_ɲ	0.5
<#_ŋ	<#	0.5
˦	¹¹	0.492
˦	⁴⁴	0.462
ɨ_u	ʊ	0.455
e	a	0.429
ʦʰ	ʨʰ	0.4
ɪ	i	0.4
p	f	0.4
b	pʰ	0.4
ʌ	o	0.385
ɦ	ʋ	0.375
ɦ	f	0.375
ʉ_ɐ	a	0.333
k	c	0.333
h	-	0.333
ʌ	-	0.308
ə	e	0.3
o	ʊ	0.3
ɨ	j	0.296
ɨ	-	0.296
e	j_a	0.286
u	-	0.276
t̚	t̚_⁵	0.273
ʦ	ʨ	0.25
ɦ	h	0.25
u	ʊ	0.241
u	w	0.241
u	u	0.241
k̚	t̚	0.235
ə	-	0.2
ɑ	o	0.2
ɑ	a	0.2
ɨ	i	0.185
i	i	0.182
i	-	0.182
˧˥	⁴⁴	0.176
k̚	k̚_⁵	0.176
ʌ	i	0.154
ʌ	a	0.154
e	i	0.143
e	-	0.143
ɨ	ç	0.111
ɨ	z̩	0.111
ŋ	n	0.069
i	c	0.061
˧˥	⁵³	0.059
