Old High German	Saterland Frisian	probability
ˈɛ_r	ˈɛɪ̯	1.0
ˈɑ_ɡ	ˈaːi̯	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈɑ_l	ˈoː_l	1.0
ˈɑ_h	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈo_r	ˈoːu̯	1.0
ˈiː_t	ˈiː_d	1.0
ˈiu̯	j_ˈuː	1.0
ˈie̯	ˈi	1.0
ˈi_r	ˈi	1.0
ˈeː	ˈeː	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ_h	i	1.0
ə_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_t	x_t	1.0
x	k	1.0
v	v	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_l	s_l	1.0
r_ʦ	t	1.0
p͡f	p	1.0
p	p	1.0
oː_n	j_ə	1.0
ou̯	ˈoː	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k	k	1.0
j	j	1.0
fː	p	1.0
eː	j	1.0
e_n	ə	1.0
e	ə	1.0
d	d	1.0
b_ɑ	v_ə	1.0
s	s	0.902
t	d	0.9
r	r	0.898
f	f	0.894
n	n	0.875
ɑ	ə	0.856
ˈuː	ˈuː	0.819
h	h	0.806
ˈiː	ˈi	0.804
w	v	0.803
ɡ	ɣ	0.768
b	b	0.767
kː	x	0.699
ˈio̯	j_ˈoː	0.677
ˈoː	ˈoː	0.676
ˈei̯	ˈeː	0.672
ˈe	-	0.643
i	-	0.633
u	ə	0.631
o	ə	0.564
ˈuo̯	ˈoːu̯	0.502
ˈi	ˈɪ	0.5
ɛ	ə	0.5
ɛ	-	0.5
o	-	0.436
ˈɛ	-	0.395
ˈu	ˈʊ	0.395
ˈuo̯	ˈɛɪ̯	0.389
u	-	0.369
ˈe	ˈa	0.357
ˈɑː	ˈiː	0.354
ˈɑ	ˈɔː	0.35
ˈoː	ˈeː	0.324
ˈio̯	-	0.323
ˈi	ˈiː	0.321
kː	-	0.301
i	ə	0.268
ˈo	ˈoːu̯_d	0.246
ˈɑː	ˈɛɪ̯	0.228
ˈɑː	-	0.217
ˈo	ˈɔ	0.208
ˈei̯	ˈaː	0.204
ˈɑː	ˈoːu̯	0.201
w	-	0.197
ˈɛ	ˈɛ	0.196
ˈiː	-	0.196
h	ˈoː	0.194
ˈu	ˈuː	0.192
ˈo	ˈoːu̯	0.172
ˈu	ˈɔː	0.163
ˈo	ˈuː	0.162
ˈɛ	ˈiː	0.154
ˈɑ	ˈɔ	0.147
ɡ	-	0.14
b	f	0.139
ˈo	ˈʊ	0.13
ɑ	-	0.126
ˈei̯	ˈoː	0.124
ˈuː	-	0.122
ˈu	ˈɛː	0.121
ˈɛ	ˈeː	0.116
ˈɑ	ˈoː	0.116
ˈuo̯	-	0.108
ˈi	ˈɛː	0.107
f	p	0.106
t	t	0.1
i	ɪ	0.1
s	z	0.098
b	-	0.094
ˈɑ	-	0.093
ɡ	ɪ_x	0.091
ˈɑ	ˈaː	0.089
ˈu	ˈɔ	0.086
ˈo	-	0.082
ˈɑ	ˈɛː	0.079
n	ə	0.078
ˈi	-	0.072
ˈɛ	j	0.07
ˈɑ	ˈɛ	0.063
ˈɑ	ˈa	0.063
r	ˈɛɪ̯	0.062
ˈuː	ˈøː	0.058
