Friulian	Friulian	probability
ˈu	ˈu	1.0
ˈa_ɡ	ˈa	1.0
ˈa_r	r	1.0
ɡ	ɡ	1.0
w_ˈi	ˈu	1.0
v_ˈɔ	ˈo_k	1.0
v_i	j_i	1.0
u	u	1.0
t_#>	#>	1.0
s_e	s_i	1.0
p_j	k	1.0
m_#>	m_#>	1.0
l_ˈa	l	1.0
l_i	ʎ_u	1.0
l_#>	r_#>	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
f_#>	p_#>	1.0
c	k	1.0
b	b	1.0
a_r	i_r	1.0
a_d	ə_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_a	1.0
n	n	0.926
r	r	0.921
p	p	0.889
ˈaː	ˈa	0.842
ˈi	ˈi	0.833
ŋ_#>	n_#>	0.8
e	ə	0.8
ˈuː	ˈo	0.75
a	-	0.75
m	m	0.733
t	t	0.724
ʤ	ʣ	0.714
o	u	0.714
ʧ	ʦ	0.667
s_#>	#>	0.667
s	s	0.647
ŋ	n	0.636
ˈeː	e̯ˈa	0.6
z	-	0.6
d	d	0.6
<#_v	<#_j	0.6
ˈe	e̯ˈa	0.562
f	f	0.526
ˈa	ˈa	0.517
ˈo	ˈu	0.5
ˈiː	ˈi_r	0.5
ˈiː	-	0.5
ɲ	ɲ	0.5
ɲ	n	0.5
w_ˈɛ	ˈo	0.5
w_ˈɛ	o̯ˈa	0.5
l	l	0.5
j	e̯ˈa	0.5
j	-	0.5
#>	i_#>	0.492
ˈɔ	ˈo	0.429
ˈoː	o̯ˈa	0.429
i	i	0.421
v	v	0.417
ˈeː	ˈe	0.4
z	z	0.4
w	r	0.4
<#_v	<#	0.4
ŋ	-	0.364
ˈa	ˈɨ	0.345
s_#>	i_#>	0.333
ˈɛ	ˈe	0.308
ˈɛ	e̯ˈa	0.308
d	t	0.3
ˈɔ	ˈu_k	0.286
ˈɔ	-	0.286
ˈoː	ˈu	0.286
ˈoː	ˈo_j	0.286
ʤ	-	0.286
o	-	0.286
l	ʎ	0.273
m	ɲ	0.267
f	ç	0.263
ˈuː	ˈu	0.25
ˈe	ˈi	0.25
v	b	0.25
a	ə	0.25
ˈɛ	ˈi	0.231
ˈo	ˈo	0.227
l	r	0.227
i	i_r	0.211
#>	u_#>	0.206
ʧ	-	0.2
ŋ_#>	#>	0.2
w	ˈo	0.2
w	o̯ˈa	0.2
w	-	0.2
ˈe	ˈe	0.188
t	p_t	0.172
ˈi	ˈu	0.167
v	r	0.167
v	-	0.167
#>	r_i_#>	0.159
ˈaː	a	0.158
i	u	0.158
e	i	0.156
ˈɛ	-	0.154
s	ʃ	0.147
ˈa	-	0.138
ˈo	o̯ˈa	0.136
ˈo	-	0.136
ʧ	ʧ	0.133
s	ʃ_t	0.118
p	k	0.111
i	r_i	0.105
i	-	0.105
f	w_ə	0.105
f	w	0.105
t	d	0.103
d	ʣ	0.1
#>	ə_#>	0.095
s	ʦ_i	0.088
r	u	0.079
n	m	0.074
