Aromanian	Ligurian	probability
e	e	1.0
e̯a	-	1.0
p	p	1.0
ç	f	1.0
ŋ	-	1.0
ʃ	-	1.0
ˈɨ	ˈa	1.0
e̯ˈa	ˈeː	0.121
r	r	0.421
ˈa	ˈɛː	0.211
ˈe	ˈeː	0.211
o̯ˈa	ˈuː	0.862
v	v	0.962
ɲ	ɲ	0.152
ˈi	-	0.192
ˈi	ˈi	0.422
ˈu	ˈy	0.132
ˈu	ˈu	0.632
a	a	0.303
a	ˈaː	0.603
b	-	0.093
e̯ˈa	ˈe	0.343
j	v	0.913
k	ɡ	0.123
u	u	0.93
w	-	0.803
ə	a	0.713
ɡ	ɡ	0.503
ʎ	l	0.173
ʣ	z	0.833
ʦ	ʒ	0.303
ˈe	-	0.063
ˈe	ˈɛː	0.213
ˈe	ˈe	0.513
ˈu	ˈi	0.063
a	-	0.094
i	a	0.104
ʤ	ʤ	0.314
ˈa	ˈa	0.364
i	u	0.155
k	ɡ_u	0.075
k	k	0.555
l	l_u	0.075
n	ŋ	0.385
r	j	0.15
r	-	0.405
ʦ	t	0.065
ʦ	-	0.255
ʧ	s	0.45
ʧ	-	0.55
ˈi	ˈe	0.355
l	l	0.446
m	m	0.966
s	s	0.976
t	t	0.796
ə	u	0.086
ʎ	-	0.376
ʎ	ʤ	0.406
ʤ	z	0.686
ˈo	ˈø	0.116
b	b	0.907
f	f	0.927
u	w	0.07
w	u	0.197
ə	e	0.067
ɡ	-	0.497
ʣ	ʤ	0.077
ˈo	w	0.177
ˈo	ˈøː	0.197
ˈu	ˈuː	0.087
e̯ˈa	ˈɛː	0.058
i	-	0.088
i	e	0.538
k	-	0.148
n	n	0.488
o̯ˈa	ˈɔː	0.138
t	-	0.178
ə	-	0.088
ɲ	m	0.848
ʦ	s	0.378
ˈa	ˈaː	0.288
ˈo	ˈɔː	0.328
d	d	0.959
e̯ˈa	u_#>	0.439
i	i	0.069
k	p	0.099
l	-	0.479
n	-	0.099
ʣ	d	0.09
ˈa	ˈeː	0.069
ˈo	-	0.069
ˈo	ˈɔ	0.089
