Standard German	Standard German	probability
ˈʏ	ˈɘ̟	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɑ	1.0
ˈaː_ɡ	ˈi̯ø	1.0
ˈa_ɐ	ˈi̯ø	1.0
ʦ	ʦ	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ̊	1.0
ɡ_ə	ɡ̊	1.0
ɡ_n	n	1.0
ə_n	a	1.0
z̥	s	1.0
z_ə	s	1.0
z	z	1.0
x	x	1.0
v	v	1.0
tʰ	t	1.0
s	s	1.0
p	p	1.0
n_ɪ	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	k	1.0
k_ə_#>	k_#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	ɑ	1.0
d	d	1.0
b_n	n	1.0
a	d_a	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.958
t	t	0.914
ʁ	r	0.909
ˈɪ	ˈɘ̟	0.842
k	k	0.833
d̥	d̥	0.833
ˈuː	ˈʏ	0.818
l	w	0.814
ˈaʊ̯	ˈɑi̯	0.812
ɡ	ɡ	0.812
b	b	0.8
ə	-	0.789
ˈɔʏ̯	ˈɑi̯	0.778
ˈiː	ˈi	0.769
ˈoː	ˈu	0.727
ˈʊ	ˈu	0.7
ˈyː	ˈi	0.667
n	n	0.642
ˈɔ	ˈu	0.615
ˈa	ˈɑ	0.609
ɐ	ɛ_r	0.606
ˈaɪ̯	ˈai̯	0.542
ˈaː	ˈɔ	0.538
b̥	b̥	0.5
b̥	-	0.5
ç	x	0.467
ŋ	ŋ	0.429
ˈeː	ˈɑ	0.417
ˈaɪ̯	ˈa	0.375
ˈɛ	ˈɛ	0.333
ˈyː	-	0.333
n	a	0.328
ˈaː	ˈø	0.308
ˈa	ˈɔ	0.304
ˈʊ	ˈʏ	0.3
ŋ	ŋ_ɡ̊	0.286
ŋ	ŋ_ɟ	0.286
ˈoː	ˈø	0.273
ç	ç	0.267
ˈɛ	ˈɑ	0.25
ˈɛ	ˈa	0.25
ˈeː	ˈei̯	0.25
ˈɔ	-	0.231
ˈiː	-	0.231
ˈɔʏ̯	-	0.222
ɐ	r	0.212
ə	a	0.211
b	v	0.2
ˈaʊ̯	-	0.188
ɡ	ɟ	0.188
ˈuː	ˈi	0.182
ˈɛ	-	0.167
ˈeː	ˈi	0.167
ˈeː	ˈa	0.167
k	c	0.167
d̥	t	0.167
ˈɔ	ˈɔ	0.154
ˈaː	-	0.154
l	l	0.14
ç	ɡ̊	0.133
ç	k	0.133
ɐ	-	0.121
ˈɪ	ˈei̯	0.105
ʁ	-	0.091
ˈa	ˈɛ	0.087
t	-	0.086
ˈaɪ̯	ˈɛ	0.083
ɐ	ˈʏ_r	0.061
ˈɪ	ˈɪ	0.053
