Danish	North Frisian	probability
<#_b̥	<#_b	1.0
<#_d̥	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	h	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p	1.0
<#_s	<#_s	1.0
<#_s_k	<#_ʃ	1.0
<#_ʁ	<#_r	1.0
<#_ʋ	<#_v	1.0
<#_ʦʰ	<#_t	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈɒ	<#_ˈɔu̯	1.0
b̥	p	1.0
e	i	1.0
j_#>	k_#>	1.0
jˀ	ə	1.0
l	l	1.0
l_#>	l_#>	1.0
l_i	l_i	1.0
m	m	1.0
n_#>	n_#>	1.0
n_ə	n_ə	1.0
nˀ_#>	s	1.0
p	p	1.0
p_#>	p_#>	1.0
s_#>	s_#>	1.0
s_k	ʃ_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
w_#>	f_#>	1.0
w_ə	v_ə	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ_ə	ŋ	1.0
ŋˀ_#>	ŋ_#>	1.0
ɐ	r	1.0
ɐ_#>	r_#>	1.0
ɐˀ	r	1.0
ɡ̊	x	1.0
ʁ	r	1.0
ʁ_ˈœ	r	1.0
ʋ	v	1.0
ʌ	ə_r	1.0
ˈeˀ_n	ˈiː_nʲ	1.0
ˈiˀ	ˈi	1.0
ˈiˀ_#>	ˈiː	1.0
ˈo_ɐˀ	ˈɔ_r	1.0
ˈoˀ	ˈœ	1.0
ˈoː	ˈɔː	1.0
ˈuː	ˈøː	1.0
ˈyˀ	ˈiː	1.0
ˈyː	ˈiː	1.0
ˈœ	ˈʏ	1.0
ˈœˀ	ˈuː	1.0
ˈɔ	ˈʊ	1.0
ˈɔː_n	ˈɔu̯_n	1.0
ˈɛˀ	ˈiː	1.0
ˈeˀ	ˈiː	0.571
#>	r_#>	0.412
<#_ɡ̊	<#_j	0.182
n	-	0.182
t	x_t	0.222
ð̞ˠ	s	0.182
ð̞ˠ	dʲ_#>	0.182
ˈe	ˈai̯	0.2
ˈɛ	ˈɒ	0.2
#>	d_#>	0.353
nˀ	nʲ_#>	0.3
s	z	0.333
w	v_ə	0.333
ð̞ˠ	d	0.273
ə	ə	0.093
ˈe	ˈi	0.3
ˈuˀ	ˈøː	0.3
ˈɛ	-	0.133
ˈɛ	ˈɔː	0.133
j	-	0.714
lˀ	lʲ	0.154
ð̞ˠ	ˈyː_dʲ	0.364
ʦʰ	tʲ	0.4
#>	v_#>	0.235
<#	<#_v	0.375
<#	<#_j	0.625
k	ŋ_k	0.25
k	k	0.75
m_#>	r_m	0.5
m_#>	m_#>	0.5
ð̞ˠ_#>	t_#>	0.25
ð̞ˠ_#>	d_#>	0.375
ð̞ˠ_#>	tʲ_#>	0.375
ˈe	ˈa	0.5
ˈiː	ˈeː	0.5
ˈiː	ˈi	0.5
ˈu	ˈɔː	0.5
ˈu	ˈʊ	0.5
ˈøː	ˈɛ	0.5
ˈøː	ˈuː	0.5
ˈɑ	ˈɒ	0.5
ˈɑ	ˈʊ	0.5
ˈɑˀ	r	0.5
ˈɑˀ	-	0.5
ˈɔˀ	ˈyː	0.5
ˈɔˀ	ˈuː	0.5
j	ˈɛi̯	0.286
ð̞ˠ_ə	z_ə	0.286
ð̞ˠ_ə	dʲ_ə	0.286
ʦʰ	d	0.6
ˈa	ˈɒ	0.286
ˈa	ˈœ	0.286
ˈʌ	ˈa	0.286
ˈʌ	ˈi	0.286
nˀ	n	0.7
s	s	0.667
w	ə	0.667
ˈuˀ	ˈyː	0.7
ˈɛ	ˈa	0.267
ˈɛ	ˈeː	0.267
<#_ɡ̊	<#_ɡ	0.818
lˀ	l_ə	0.308
lˀ	l	0.538
n	n	0.818
t	t	0.778
ə	ə_#>	0.558
ð̞ˠ_ə	t_ə	0.429
ə	-	0.349
ˈa	ˈa	0.429
ˈeˀ	ə	0.429
ˈʌ	ˈœ	0.429
