Romansch	Romansch	probability
ˈɛ_n	ˈɛ_n	1.0
ˈɔː	ˈɔ	1.0
ˈuɔ̯	-	1.0
ˈu_s	ˈɔ_j	1.0
ˈo	ˈɔ	1.0
ˈiː_v	bː	1.0
ˈiː_r	e	1.0
ˈi_n	ˈi	1.0
ˈaː_r_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_j	ˈɛ	1.0
ʒ	v	1.0
ɲ	ɲ	1.0
ɡ_l	ɟ	1.0
ə_v	a_p	1.0
ə_r	e	1.0
ə_n	a_n	1.0
ŋ	ŋ	1.0
z	d	1.0
w_n	n	1.0
w_k	ˈo_k	1.0
w_#>	u_#>	1.0
t_#>	#>	1.0
r_ə	r_a	1.0
r_#>	#>	1.0
p	p	1.0
o	u	1.0
n_ʨ	n_t	1.0
m	m	1.0
k_r	k_r	1.0
k_l	c	1.0
k	k	1.0
j_t	dː	1.0
j	-	1.0
e	i	1.0
b	b	1.0
<#_ˈɛ	<#_ˈo	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ˈa	ˈa	0.875
f	f	0.864
r	r	0.86
v	v	0.852
ə	a	0.846
n	n	0.816
ˈuː	ˈɔ	0.8
ɡ	ɡ	0.778
ʨ	k	0.733
ˈiː	ˈi	0.722
<#_ˈa	<#_ˈa	0.714
t	t	0.7
s	s	0.688
w	-	0.667
#>	u_#>	0.642
ˈɛ	ˈe	0.625
ˈiə̯	-	0.6
ˈe	ˈɛ	0.6
s_#>	i_#>	0.6
ˈi	ˈi	0.583
ˈeː	ˈɛ	0.571
ʎ	c	0.545
ˈu	ˈɔ	0.533
d	t	0.533
ˈɔ	ˈa	0.5
ʧ	ʧː	0.5
ʧ	-	0.5
ʦ	-	0.5
j_ˈɛ	ˈɔ_k	0.5
j_ˈɛ	ˈi	0.5
ʎ	ʎ	0.455
ʥ	ɟ	0.444
u	u	0.444
l	l	0.438
ˈeː	-	0.429
ˈi	ˈu	0.417
ˈiə̯	ˈe	0.4
ˈe	-	0.4
s_#>	#>	0.4
ˈɔ	ˈɔ	0.375
i	i	0.375
i	-	0.375
l	lː	0.344
ʦ	ʦː	0.333
ʥ	-	0.333
w	l	0.333
u	ˈɔ	0.333
d	d	0.333
ʃ	ʧ	0.321
ˈɛː	ˈɛ	0.3
ˈɛː	ˈe_lː	0.3
#>	e_#>	0.299
<#_ˈa	<#	0.286
ˈiː	ˈu	0.278
ˈu	ˈu	0.267
ˈɛ	ˈɛ	0.25
ʃ	s	0.25
i	e	0.25
ʥ	ʤ	0.222
ɡ	-	0.222
u	o	0.222
l	j	0.219
ˈɛː	ˈɛ_lː	0.2
ˈɛː	ˈe	0.2
ˈuː	ˈo	0.2
ˈu	ˈo	0.2
ʃ	ɟ	0.179
ʨ	tː	0.167
ʦ	ʣ	0.167
t	tː	0.167
f	v_e	0.136
d	-	0.133
ˈɛ	ˈi	0.125
ˈɔ	ˈo	0.125
ˈa	-	0.125
s	sː	0.125
ʃ	ʃ	0.107
n	nː	0.105
ʨ	kː	0.1
s	-	0.094
n	-	0.079
ə	e	0.077
v	b	0.074
v	-	0.074
ʃ	ʒ	0.071
ʃ	ʃː	0.071
r	e	0.07
t	d_u	0.067
t	d	0.067
s	j	0.062
