Romanian	Romanian	probability
ˈə	ˈe	1.0
ˈi_n	ˈe_n	1.0
ˈau̯	ˈo	1.0
ˈa_t	ˈa	1.0
ˈa_l	ˈa_l	1.0
ʧʲ	-	1.0
ʦʲ	o_s	1.0
ʃ_t	θ	1.0
ɨ	-	1.0
ŋ	-	1.0
v	b	1.0
t_#>	#>	1.0
s_k	k	1.0
r_ə	ɾ_a	1.0
r_u	e_ɾ	1.0
r_n	ɾ_n	1.0
r_e_#>	ɾ_#>	1.0
r_b	ɾ_β	1.0
r_#>	l_u_#>	1.0
p_t	ʧ	1.0
p_#>	β_u_#>	1.0
o	o	1.0
nʲ	o_s	1.0
n_e	ŋ	1.0
m_e	m_e	1.0
m	m	1.0
kʲ	ʝ_u	1.0
j_n	ŋ	1.0
j_e	a	1.0
j_#>	s_#>	1.0
i_n	n	1.0
i	-	1.0
f	f	1.0
e_#>	#>	1.0
<#_ˈo	<#_ɡ_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ˈe	ˈe	0.857
<#_m	<#_m	0.846
b	b	0.833
#>	u_#>	0.833
ˈɨ	ˈa	0.818
p	p	0.815
s	s	0.778
l	ʎ	0.75
ʧ	θ	0.737
ə	a	0.711
ˈa	ˈa	0.696
r	ɾ	0.676
ˈi	ˈi	0.667
ɡ	ɡ	0.667
z	d	0.667
e̯ˈa	ˈe	0.667
e_r	ˈe_ɾ	0.667
k	k	0.65
n	n	0.645
d	d	0.6
a	a	0.6
e	e	0.588
j	j	0.571
ʤ	-	0.556
t	t	0.528
u	u	0.526
ʦ	θ	0.5
ʦ	-	0.5
ʒ	ʝ	0.5
ʒ	ʃ	0.5
ʃ	θ	0.5
ʃ	ʃ	0.5
ˈu	ˈo	0.472
ʤ	ʃ	0.444
d	-	0.4
a	e	0.4
ˈu	ˈu	0.389
w	ˈe_β	0.375
w	u	0.375
ˈo	ˈo	0.368
ˈo	w_ˈe	0.368
u	o	0.368
t	ð	0.361
o̯ˈa	w_ˈe	0.357
ɡ	-	0.333
z	-	0.333
e̯ˈa	ʎ_a	0.333
e_r	ɾ	0.333
o̯ˈa	ˈo	0.286
ˈo	w	0.263
w	-	0.25
s	e_s	0.222
o̯ˈa	o	0.214
k	ɣ	0.2
ˈɨ	-	0.182
e	a	0.176
b	β	0.167
r	l	0.162
ʧ	-	0.158
<#_m	<#	0.154
ˈa	ˈe	0.152
ˈi	j_ˈe	0.148
ˈe	j_ˈe	0.143
o̯ˈa	-	0.143
l	-	0.143
j	ˈe_ʝ	0.143
j	ʝ	0.143
j	-	0.143
n	ɲ	0.129
ˈi	ˈe	0.111
ə	e	0.111
p	-	0.111
ˈa	a	0.109
r	r	0.108
l	l	0.107
ʧ	k	0.105
u	e	0.105
n	ŋ	0.097
ə	u	0.089
e	ɾ	0.088
e	-	0.088
ˈu	-	0.083
ˈi	i	0.074
p	β	0.074
n	ˈe_n	0.065
n	a	0.065
#>	s_#>	0.062
#>	a_#>	0.062
e	ˈi	0.059
ˈu	ˈo_n	0.056
t	ʧ	0.056
t	-	0.056
r	-	0.054
