Palatine German	Palatine German	probability
ˈɛ̃ː	-	1.0
ˈɑːɪ̯	jː	1.0
ˈɑː_s	ˈɑ_s	1.0
ˈɑ_s	ˈɑ_t	1.0
ˈɑ_n	ɑi̯	1.0
ˈõː	n_u	1.0
ˈo	ˈɛː	1.0
ˈĩː	n_i	1.0
ˈi	ˈeu̯	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ɪ	ɑ	1.0
ɡ̊_s	x_s	1.0
ɑ	ɔː	1.0
ɐ_n	r_n	1.0
ɐ_#>	r_#>	1.0
x_d̥	x_t	1.0
pʰ	-	1.0
l_d̥	l_d	1.0
j	ɣ	1.0
h	x	1.0
eː	e_x_u	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ʣ̥	<#_t	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
m	m	0.967
l	l	0.925
ˈɑ	ˈɑ	0.913
ˈɔ	ˈu	0.889
ˈuː	ˈɔː	0.833
ˈu	ˈu	0.778
ʣ̥	t	0.75
ə	ɑ_n	0.75
f	ɸ	0.744
β	w	0.737
ʃ_d̥	s_t	0.714
r	r	0.714
ŋ	ɡ	0.7
n	n	0.674
b̥	b	0.633
ˈɑː	ˈɑ	0.632
ˈiː	ˈeu̯	0.625
s	s	0.591
ˈɛː	ˈɑi̯	0.562
<#_d̥	<#_θ	0.548
ɡ̊	ɣ	0.538
ˈɛ	ˈe	0.519
ˈɪ	ˈi	0.5
ˈaɪ̯	ˈiː	0.476
ɡ̊	k	0.462
<#_d̥	<#_d	0.452
x	ɣ	0.444
ɐ	r	0.424
ˈeː	-	0.417
#>	ɑ̃_#>	0.375
ˈɑː	ˈɑu̯	0.368
ˈoː	ˈɛː	0.368
ˈoː	ˈɑu̯	0.368
ʃ	s_k	0.35
ˈɛ	ˈɑ	0.333
ˈeː	ˈɑi̯	0.333
x	k	0.333
d̥	ð	0.324
ˈɛː	ˈe	0.312
#>	ɑ_z_#>	0.297
d̥	θ	0.294
ʃ_d̥	x_t	0.286
s	t	0.273
#>	z_#>	0.271
b̥	β	0.267
ˈoː	ˈu	0.263
f	p	0.256
ˈeː	ˈɑi̯_w	0.25
ʣ̥	-	0.25
ʃ	s	0.25
x	k_i	0.222
ˈɪ	ˈu	0.206
d̥	d	0.206
ŋ	ŋ	0.2
ˈiː	ˈɔː	0.188
ɐ	r_ɑ	0.182
ˈɪ	ˈe	0.176
ˈuː	ˈuː	0.167
ʃ	k	0.15
ˈɛ	-	0.148
ˈaɪ̯	ˈiu̯	0.143
ˈaɪ̯	-	0.143
n	nː	0.14
β	β	0.132
ˈɛː	-	0.125
ˈiː	-	0.125
ɐ	r_ɑ̃	0.121
ˈɪ	ˈi_ŋ	0.118
d̥	ð_ɑ	0.118
ˈɔ	-	0.111
ˈu	ˈɔː	0.111
ˈu	ˈu_ŋ	0.111
ʃ	ɣ_ɑ	0.1
ʃ	z	0.1
ŋ	ɡʷ	0.1
b̥	p	0.1
ˈaɪ̯	ˈi_j	0.095
ˈaɪ̯	ˈi	0.095
n	n_d	0.093
ə	ɑ	0.091
ɐ	r_i	0.091
s	t_ɑ	0.091
ˈɑ	ˈɑ_ŋ	0.087
r	ð	0.086
r	-	0.086
β	xʷ	0.079
l	lː	0.075
ə	ɔːː	0.068
ˈiː	ˈeː	0.062
ɐ	ɛː	0.061
ɐ	r_u	0.061
ɐ	e	0.061
d̥	t	0.059
r	ð_ɛː	0.057
r	j	0.057
β	-	0.053
