Eastern Lombard	Bellunese	probability
b	b	1.0
o	o	1.0
u	o	1.0
w	w	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ˈy	ˈu	1.0
i	i	0.251
ˈa	ˈa_r	0.171
ˈi	ˈi_ŋ	0.171
ˈø	ˈu	0.21
m	m	0.92
p	p	0.922
z	z	0.432
ˈa	ˈa	0.742
ˈe	ˈi	0.22
ˈo	ˈa	0.072
ˈɛ	ˈe	0.402
e	e	0.353
f	v_e	0.073
n	n	0.793
ŋ	n	0.063
d	d	0.724
t	t	0.794
ɡ	-	0.054
ʧ	t	0.344
ˈø	ˈɔ	0.384
ˈɔ	ˈɔ	0.794
e	i	0.135
l	l	0.975
r	-	0.135
s	s	0.605
ʤ	-	0.485
ʤ	z	0.515
ˈi	ˈi	0.425
ˈu	ˈo	0.695
ˈø	ˈo	0.405
d	-	0.276
t	t_o	0.06
ɡ	ɡ	0.946
ʧ	ʧ_o	0.596
ˈe	j_ˈe	0.156
ˈɔ	ˈo	0.206
a	a	0.877
e	r_e	0.247
f	v_o	0.07
f	f	0.857
n	ŋ	0.207
r	r	0.787
t	-	0.117
ŋ	ŋ	0.937
ˈa	ˈa_ŋ	0.087
ˈu	<#_v	0.097
k	ɡ_o	0.088
m	ŋ	0.08
p	p_j	0.078
r	r_o	0.078
z	ð	0.568
ˈe	ˈe	0.408
ˈi	-	0.058
ˈi	e_r	0.068
ˈi	ˈi_r	0.08
ˈi	ˈe	0.198
ˈu	ˈo_ŋ	0.208
ˈɛ	ˈɛ	0.58
a	v_a	0.059
e	-	0.19
i	e	0.749
j	-	0.089
j	j	0.89
k	k	0.89
s	θ	0.319
ʧ	ʧ	0.059
ˈe	ˈe_ŋ	0.169
ˈo	ˈo	0.419
ˈo	ˈɔ	0.509
