Dutch	Pennsylvania German	probability
b	b	0.926
d	d	0.927
f	p	0.661
f	f	0.339
j	j	1.0
k	kʰ	0.423
k	ç	0.264
k	k	0.195
k	x	0.08
m	m	0.965
n	n	0.878
n	-	0.115
p	f	0.731
p	p	0.18
p	p͡f	0.089
s	ʃ	0.585
s	s	0.371
t	t	0.528
t	s	0.273
t	ʦ	0.131
v	f	0.826
v	v	0.174
w	-	0.669
w	ˈaɪ̯	0.331
z	s	0.843
z	ʃ	0.143
ŋ	ŋ	0.78
ŋ	ç	0.22
ə	ə	0.603
ə	ɑ	0.306
ə	-	0.082
ɦ	h	0.977
ɪ	ɪ	1.0
ɫ	l	0.988
ɾ	ɾ	0.55
ɾ	ɑ	0.419
ʋ	ʋ	0.948
ˈaː	ˈɔː	0.414
ˈaː	ˈoː	0.23
ˈaː	ˈa	0.146
ˈaː	ˈɛː	0.13
ˈaː	ˈɛ	0.079
ˈeː	ˈeː	0.472
ˈeː	ˈɛ_d	0.208
ˈeː	ˈɛ	0.139
ˈeː	ˈɛː	0.072
ˈeː	ˈɪ	0.063
ˈi	ˈiː	0.535
ˈi	ˈeː	0.271
ˈi	ˈaɪ̯	0.163
ˈoː	ˈɔː	0.312
ˈoː	ˈoː	0.271
ˈoː	ˈeː	0.184
ˈoː	ˈʊ	0.098
ˈoː	ˈɔ	0.065
ˈu	ˈuː	0.469
ˈu	ˈiː	0.336
ˈu	ˈʊ	0.195
ˈyː	ˈaɪ̯	1.0
ˈøː	ˈɔː	1.0
ˈœy̯	ˈaʊ̯	0.73
ˈœy̯	ˈaɪ̯	0.227
ˈɑ	ˈa	0.665
ˈɑ	ˈɔː	0.169
ˈɑ	ˈɛ	0.088
ˈɑ	ˈɛː	0.057
ˈɑu̯	ˈa_l	0.691
ˈɑu̯	ˈɔ	0.254
ˈɑu̯	ˈɔː	0.055
ˈɔ	ˈʊ	0.59
ˈɔ	ˈɔ	0.197
ˈɔ	ˈaː	0.126
ˈɔ	ˈɛː	0.05
ˈɛ	ˈɛː	0.271
ˈɛ	ˈɪ	0.241
ˈɛ	ˈɛ	0.209
ˈɛ	ˈaː	0.113
ˈɛ	-	0.08
ˈɛi̯	ˈaɪ̯	0.704
ˈɛi̯	ˈɪ	0.116
ˈɛi̯	ˈeː	0.106
ˈɪ	ˈɪ	0.795
ˈɪ	ˈa	0.108
ˈɪ	ˈaɪ̯	0.055
ˈʏ	ˈɪ	0.508
ˈʏ	ˈɛ	0.428
ˈʏ	ˈʊ	0.064
χ	ɡ	0.308
χ	k	0.246
χ	ç	0.202
χ	j	0.093
χ	x	0.064
χ	-	0.057
