Dutch	Pennsylvania German	probability
b	b	0.949
b	v	0.055
d	d	0.929
d	t	0.046
d	ʦ	0.037
f	p	0.572
f	f	0.415
j	j	1.0
k	kʰ	0.415
k	ç	0.235
k	k	0.205
k	x	0.09
k	ɡ	0.044
l	l	1.0
m	m	0.98
m	-	0.036
n	-	0.503
n	n	0.496
n_d	n	1.0
p	f	0.546
p	p	0.33
p	p͡f	0.094
s	ʃ	0.632
s	s	0.297
s	k_s	0.067
s_χ	ʃ	1.0
t	t	0.545
t	s	0.215
t	ʦ	0.134
t	d	0.04
t	-	0.035
v	f	0.815
v	v	0.18
w	-	0.326
w	ˈaɪ̯	0.326
z	s	0.691
z	ʃ	0.271
z	ɾ	0.045
ŋ	ŋ	0.851
ŋ	ç	0.146
ə	ə	0.547
ə	ɑ	0.252
ə	-	0.143
ə	ɪ	0.05
ɦ	h	0.979
ɦ	-	0.038
ɪ	ɪ	1.0
ɫ	l	0.987
ɫ	n	0.031
ɾ	ɾ	0.49
ɾ	ɑ	0.288
ɾ	-	0.216
ɾ_t	t	0.121
ʋ	ʋ	0.947
ʋ	v	0.053
ˈaː	ˈa	0.262
ˈaː	ˈɔː	0.258
ˈaː	ˈoː	0.256
ˈaː	ˈɛː	0.141
ˈaː	ˈɛ	0.067
ˈeː	ˈeː	0.428
ˈeː	ˈɛ	0.225
ˈeː	ˈɛ_d	0.131
ˈeː	ˈɪ	0.114
ˈeː	ˈɛː	0.054
ˈeː_n	ˈeː	1.0
ˈi	ˈiː	0.562
ˈi	ˈeː	0.264
ˈi	ˈaɪ̯	0.091
ˈi	-	0.069
ˈoː	ˈoː	0.3
ˈoː	ˈɔː	0.276
ˈoː	ˈeː	0.144
ˈoː	ˈʊ	0.087
ˈoː	ˈɔ	0.084
ˈoː_ɾ	ˈaː	0.519
ˈoː_ɾ	ˈa	0.441
ˈu	ˈuː	0.59
ˈu	ˈiː	0.286
ˈu	ˈʊ	0.112
ˈyː	ˈaɪ̯	1.0
ˈøː	ˈɔː	0.494
ˈœy̯	ˈaʊ̯	0.714
ˈœy̯	ˈaɪ̯	0.118
ˈœy̯	ˈʊ	0.059
ˈɑ	ˈa	0.684
ˈɑ	ˈɔː	0.162
ˈɑ	ˈɛ	0.076
ˈɑ	ˈaː	0.044
ˈɑ	ˈɛː	0.037
ˈɑ_ɾ	ˈaː	1.0
ˈɑu̯	ˈa_l	0.633
ˈɑu̯	ˈɔ	0.229
ˈɑu̯	ˈɔː	0.097
ˈɔ	ˈʊ	0.466
ˈɔ	ˈɔ	0.405
ˈɔ	ˈaː	0.07
ˈɔ	ˈɛː	0.053
ˈɔ_ɾ	ˈʊ	0.121
ˈɛ	ˈɛ	0.291
ˈɛ	ˈɪ	0.208
ˈɛ	ˈɛː	0.188
ˈɛ	-	0.069
ˈɛ	ˈeː	0.069
ˈɛi̯	ˈaɪ̯	0.745
ˈɛi̯	ˈɪ	0.133
ˈɛi̯	ˈeː	0.1
ˈɪ	ˈɪ	0.751
ˈɪ	ˈaɪ̯	0.113
ˈɪ	ˈa	0.085
ˈɪ	ˈiː	0.05
ˈʏ	ˈɪ	0.496
ˈʏ	ˈɛ	0.312
ˈʏ	ˈʊ	0.179
χ	ɡ	0.321
χ	k	0.213
χ	ç	0.176
χ	x	0.145
χ	j	0.084
χ_ə	ɣ	1.0
