Luxembourgish	Old West Norse	probability
χ	k	1.0
ˈɔ	ˈu	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ	-	1.0
ˈuː	ˈo	1.0
ˈi	-	1.0
ʑ	ɟ	1.0
ɣ̊	ɣ_r̥	1.0
ɡ̊	ɡ	1.0
ə_f	v	1.0
ŋ_k	kː	1.0
z̥	sː	1.0
s	t	1.0
pʰ	pʰ	1.0
p	pː	1.0
l_ə	l	1.0
h	h	1.0
e	ɑː	1.0
b	b	1.0
m	m	0.919
z	s	0.906
v	v	0.869
ˈæːɪ̯	ˈiː	0.859
ʀ	r	0.853
ˈeː	ˈɛi̯	0.844
w	v	0.781
l	l	0.763
ɕ_t	tː_r̥	0.74
f	f	0.73
ɡ	ɡ	0.715
d	θ	0.699
ˈiə̯	-	0.667
v̥	v	0.66
t	t	0.627
ɕ	k	0.617
kʰ	kʰ	0.609
ˈo	ˈu	0.605
k	ɡː	0.602
ŋ	ŋ	0.595
ə	ɑ	0.59
ˈɑɪ̯	-	0.574
ʃ	s	0.571
ˈəʊ̯	-	0.569
ˈuə̯	ˈɑː	0.526
ˈɛ	-	0.516
ˈɑʊ̯	ˈuː	0.506
d̥	ð	0.506
ˈɛː	j	0.5
ˈɛː	-	0.5
ʦ	tʰ	0.499
ˈɑʊ̯	ˈu	0.494
ˈoː	ˈɑː	0.487
ˈɛ	ˈɛ	0.484
ˈuə̯	-	0.474
ˈaː	ˈɑ	0.446
ˈɑɪ̯	ˈyː	0.426
n	n	0.413
ˈoː	-	0.411
k	cː	0.398
kʰ	cʰ	0.391
ˈiː	ˈeː	0.383
ˈə	-	0.364
v̥	f_r̥	0.34
ˈə	ˈi	0.333
ˈiə̯	ˈe	0.333
ˈiː	-	0.312
ˈiː	j	0.305
ˈɑ	ˈi	0.303
d	ð	0.301
t	ð	0.3
ˈu	ˈoː	0.288
ʦ	tː	0.285
ɡ	ɟ	0.285
ˈe	ˈy	0.275
ˈɜɪ̯	j_ˈoː	0.272
f	p	0.27
ˈɑ	ˈɑ	0.265
ˈəʊ̯	ˈɑu̯	0.262
ɕ_t	tː	0.26
ˈe	ˈiː	0.242
ˈe	ˈe	0.242
ˈe	-	0.242
n	nː	0.241
ˈɑ	-	0.229
ʃ	s_k	0.228
ɐ	r̥	0.228
ˈə	ˈu	0.227
ŋ	-	0.227
ˈɜɪ̯	ˈɑː	0.224
w	-	0.219
ˈu	ˈɑ_v	0.216
ˈu	ˈu	0.216
ʦ	t	0.216
ɕ	ɡ	0.213
ə	-	0.209
l	lː	0.202
ŋ	u	0.178
ˈaː	ˈɑ_r	0.175
ˈu	-	0.173
ɐ	r	0.173
ɕ	ɣ	0.17
ˈəʊ̯	ˈoː	0.169
ˈo	ˈo	0.166
d̥	ð_r̥	0.165
d̥	d_r̥	0.165
d̥	d	0.165
ˈɜɪ̯	-	0.162
ˈeː	ˈe_ɣ	0.156
ˈaː	ˈɑu̯	0.155
ʀ	r_n	0.147
ɐ	r̥ː	0.147
ʃ	s_c	0.146
ˈæːɪ̯	-	0.141
ˈo	ˈoː	0.137
v	x	0.131
ɐ	ˈɑ_r	0.128
ə	a	0.125
n	ɑ	0.116
ˈɜɪ̯	ˈøː	0.114
ˈɜɪ̯	j_ˈuː	0.114
ˈɜɪ̯	j	0.114
n	-	0.113
ˈu	ˈɔː	0.108
ˈaː	ˈo	0.106
ˈoː	ʝː	0.102
ˈɑ	ˈɔ	0.101
ˈɑ	ˈa	0.101
z	s_ˈy	0.094
ˈo	-	0.092
ɐ	r_i	0.084
ɐ	ˈɔ_r	0.083
m	-	0.081
n	n_d	0.079
ˈə	e	0.075
t	ʦ	0.072
ɐ	i_r̥	0.066
ˈaː	ˈɛ	0.06
ˈaː	w_ˈɑ	0.059
ʃ	c	0.055
