Upper Sorbian	Czech	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ɦ	ɦ	1.0
ɔ_w	a_v	1.0
ɔ_m	m̩	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	x	1.0
w_ɪ	v_iː	1.0
w_o	l_a	1.0
t_ɔ	t_o	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l_e	l_ɛː	1.0
kʲ	k	1.0
k	k	1.0
e_ʀ	r̩	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
ʀ	r	0.947
ɛ	ɛ	0.906
l	l	0.864
ʀʲ	r̝	0.843
x	x	0.836
ʨ	t	0.777
e	ɛ	0.765
a	a	0.763
ɔ	o	0.751
j	j	0.716
ɔ_ʀ	ɛ_r	0.659
ɲ	n	0.609
ɪ	iː	0.586
w	l	0.575
ʥ	d	0.556
ɥ	v_j	0.523
i	ɪ	0.508
i	iː	0.492
ɥ	v	0.477
o	o	0.456
ʥ	ɟ	0.444
u	u	0.402
ɲ	ɲ	0.391
w	v	0.38
ʃ	-	0.346
ɔ_ʀ	r̩	0.341
ʃ	ʃ	0.327
ʃ	r̝̊	0.327
o	uː	0.31
j	-	0.284
u	ou̯	0.251
u	-	0.248
ɪ	ɪ	0.246
e	iː	0.235
o	ɛ	0.234
ʨ	c	0.223
a	aː	0.171
ɪ	ɛ	0.168
x	ɦ	0.164
ʀʲ	-	0.157
ɔ	ɛ	0.155
u	ɪ	0.099
ɛ	ɛː	0.094
l	l̩	0.079
ɔ	uː	0.07
a	ɛ	0.066
l	ɛ_l	0.057
ʀ	r̩	0.053
