Swedish	Swedish	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ɡː	ˈɔɪ̯	1.0
ˈœː	-	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈiː	ˈaɪ̯	1.0
ʊ	-	1.0
ʈː	ʦ	1.0
ʈ	t	1.0
ʂ	ˈaː_ʃ	1.0
ɵ	-	1.0
ɪ	ɪ	1.0
ɡː_#>	k_#>	1.0
ɡː	-	1.0
ɡ_ɛ	ɣ	1.0
ɛ_r	ɑ	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɖ	d̥	1.0
ɔ	eː	1.0
ŋː	ŋ	1.0
v_#>	b̥_#>	1.0
t_ɛ	d	1.0
t_a	s_ə	1.0
sː	s	1.0
s_k	ʃ	1.0
rː	-	1.0
r_a	ɑ	1.0
pː	f	1.0
pʰ	b	1.0
p	f	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈøː	l_ˈɔː	1.0
l	l	1.0
kʰ	k	1.0
jː	ˈɔː_ɣ	1.0
j_ˈʉː	d_ˈiː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_ʋ	1.0
ˈœ	-	0.8
n	n	0.789
v	ʋ	0.778
d	d̥	0.767
ˈa	ˈa	0.762
a	ə	0.651
ˈuː	ˈuː	0.643
tʰ	d	0.632
ˈɛː	-	0.625
r	ɾ	0.615
ɳ	n	0.6
ɧ	ʃ	0.6
s	s	0.579
ˈeː	ˈeː	0.571
ɡ	ɡ	0.556
ˈɑː	ˈa	0.538
#>	ə_#>	0.538
t	s	0.533
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ˈʉː	ˈaʊ̯	0.5
ˈyː	ˈiː	0.5
ˈyː	ˈaɪ̯	0.5
ɕ	k	0.5
ɕ	d	0.5
ŋ	ç	0.5
ŋ	-	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈoː	ˈoː	0.467
t	t	0.467
ˈɑː	ˈɔː	0.462
k	ç	0.462
ˈɛ	ˈɛ	0.458
tː	s	0.444
ˈɔ	ˈʊ	0.4
ˈɔ	-	0.4
ɳ	ɑ_n	0.4
ɧ	s	0.4
k	x	0.385
ˈɵ	ˈʊ	0.375
ˈɛː	ˈeː	0.375
tʰ	ʦ	0.368
s	ʃ	0.368
ˈøː	ˈoː	0.357
a	-	0.349
ˈoː	-	0.333
tː	ʦ	0.333
ˈɵ	ˈɔ	0.312
r	ɑ	0.308
#>	d̥_#>	0.308
ɡ	ɡ̊	0.278
ˈʉː	ˈiː	0.25
ˈʉː	-	0.25
j	ˈɪ	0.25
j	ˈɛ	0.25
tː	ç_t	0.222
ˈøː	-	0.214
ˈuː	-	0.214
n	ə	0.211
ˈɔ	ˈɔ	0.2
ˈœ	ˈɔː	0.2
ˈoː	ˈeː	0.2
ˈɵ	-	0.188
ɡ	ç	0.167
j	ɪ	0.167
j	ɡ	0.167
j	l	0.167
d	d	0.167
k	k	0.154
#>	ç_#>	0.154
v	f	0.148
ˈøː	ˈuː	0.143
ˈøː	ˈiː	0.143
ˈøː	ˈeː	0.143
ˈuː	ˈaː	0.143
ˈeː	ˈɪ	0.143
ˈeː	ˈaɪ̯	0.143
ˈeː	-	0.143
ˈa	ˈɔː	0.143
ˈɵ	ˈɪ	0.125
ˈɛ	ˈeː	0.125
ˈɛ	ˈaɪ̯	0.125
ˈɛ	-	0.125
ˈa	-	0.095
ˈɛ	ˈɛː	0.083
ˈɛ	ˈa	0.083
r	d_ɑ	0.077
v	b̥	0.074
d	-	0.067
s	ʃ_ʋ	0.053
