Eastern Lombard	Occitan	probability
k	k	1.0
p	p	1.0
u	u	1.0
ˈu	ˈu	1.0
d	ʤ	0.091
f	w	0.191
i	-	0.101
l	l	0.911
t	ʧ	0.111
t	t	0.551
ˈe	ˈi	0.161
ˈi	-	0.051
ˈɔ	ˈɔ	0.751
o	u	0.72
ɡ	ɡ	0.372
ɲ	n	0.082
ˈy	ˈy	0.742
ˈɔ	ɥ_ˈɛ	0.052
b	β	0.23
d	ð	0.093
j	l	0.743
n	n	0.943
s	e_s	0.123
t	t_ɾ	0.13
ŋ	n	0.163
ʋ	v	0.883
ˈo	ˈu	0.63
ˈø	-	0.153
e	-	0.14
e	v_e	0.184
j	ʎ	0.214
o	w	0.114
r	r	0.574
ʧ	k_l	0.064
ʧ	l	0.464
ˈi	ˈi	0.634
ˈø	ˈɔ	0.104
a	ɔ	0.705
i	e	0.75
r	ɾ	0.405
s	ʦ	0.095
z	ʤ	0.725
ɡ	-	0.055
ɲ	ɲ	0.875
ʧ	ʧ	0.365
ˈø	ɥ_ˈɔ	0.15
s	s	0.686
ʤ	ʎ	0.266
ʤ	-	0.266
ˈe	ˈɛ	0.416
ˈø	ˈy	0.506
a	a	0.147
b	b	0.77
e	e	0.557
f	f	0.77
t	ð	0.117
ŋ	ŋ	0.837
ʋ	β	0.117
ʧ	s	0.107
ˈa	ˈa	0.987
ˈi	ˈe	0.237
ˈo	ˈɔ	0.07
ˈɔ	ˈu	0.07
i	i	0.148
m	m	0.978
z	-	0.188
ɡ	ɣ	0.538
ˈe	ˈe	0.358
ˈo	ˈa_w	0.218
ˈy	ˈu	0.258
ˈɛ	ˈe	0.248
ˈɛ	ˈɛ	0.588
d	-	0.209
d	d	0.579
e	a	0.119
l	-	0.089
o	-	0.119
t	n	0.059
z	z	0.079
ʤ	ʤ	0.469
ˈɛ	j_ˈɛ	0.079
