Auvergnat	Auvergnat	probability
ˈɪ̃	-	1.0
ˈɪ_j	ˈe	1.0
ˈɛ	j_ɾ	1.0
ˈœ	ˈo	1.0
ˈỹ_ŋ	ˈũ	1.0
ˈỹ	ˈu	1.0
ˈẽ	ˈẽ	1.0
ˈa_w	ˈo_w	1.0
ˈa_n	ˈɐ̃	1.0
ʤ_ɔ	ɣ_ɐ	1.0
ʒ	z_ˈi	1.0
ʃ	s	1.0
ʀ_ɔ	ɾ_ɐ	1.0
ʀ_#>	ɨ_#>	1.0
ɲ	ɲ	1.0
ɥ	ɐ_t	1.0
ɡʲ	-	1.0
ə_m	ũ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	ɐ	1.0
œ	-	1.0
ŋ_#>	#>	1.0
y	u	1.0
w_ˈɔ̃	ˈõ	1.0
w_ˈẽ	ˈu	1.0
vʲ	v	1.0
v	v	1.0
ũ	õ	1.0
s_#>	ʃ_#>	1.0
s	s	1.0
pʲ	p	1.0
n_ɔ	ɐ	1.0
mʲ	m	1.0
lː	ʎ	1.0
l_#>	#>	1.0
k_l	ʃ	1.0
j_ˈɔ	ˈo	1.0
j_s	ʃ	1.0
ĩ	ĩ	1.0
i	-	1.0
fʲ	f	1.0
f_l	ʃ	1.0
f	f	1.0
e	ˈe	1.0
dʲ	d	1.0
d_ɔ	ð_ɐ	1.0
b_ɔ	v_ɐ	1.0
ã	ɐ̃	1.0
a	ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɒ	<#_ɐ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
p	p	0.933
ʀ	ɾ	0.86
ʎ	ʎ	0.857
m	m	0.857
ˈi	ˈi	0.85
ˈy	ˈu	0.818
ɒ	ɐ	0.769
ˈa	ˈa	0.725
t	t	0.722
ˈã	ˈɐ̃	0.714
ʧ	k	0.714
n	n	0.68
ɪ	i_ʃ	0.667
w_ˈɔ	ˈɔ	0.643
k	k	0.643
ɡ	ɡ	0.636
ˈɪ	ˈe	0.632
ʤ	ʒ	0.615
ˈũ	-	0.6
z	-	0.6
<#	<#_ɡ	0.6
b	b	0.588
d	d	0.55
ˈu	ˈo	0.542
ˈĩ	ˈĩ	0.5
ˈĩ	ɲ	0.5
ˈe	ˈɛ	0.5
ʀ_ə	ˈe_ɾ	0.5
ʀ_ə	ɾ	0.5
ə	ɨ	0.457
u	u	0.455
#>	u_#>	0.425
j	j	0.421
l	l	0.414
b	β	0.412
ˈũ	ˈo	0.4
z	z	0.4
<#	<#_ɔ	0.4
ʤ	-	0.385
j	-	0.368
ˈɔ	u	0.364
w_ˈɔ	ˈo	0.357
ə	u	0.343
ɪ	i	0.333
ŋ	-	0.31
d	ð	0.3
#>	ɾ_#>	0.299
ˈã	-	0.286
t	ʃ_t	0.278
ˈɔ	ˈo	0.273
u	-	0.273
w	ˈɔ	0.233
ɒ	-	0.231
ˈɪ	-	0.211
ˈe	ˈɐ	0.211
j	j_t	0.211
ˈu	ˈɔ	0.208
ŋ	w̃	0.207
l	-	0.207
n	-	0.2
ˈɔ	ɾ_t	0.182
ˈɔ	-	0.182
ˈy	-	0.182
ɡ	ɣ_w	0.182
ɡ	ɣ	0.182
u	ɔ	0.182
k	k_u	0.179
ŋ	t_u	0.172
ˈu	ˈu	0.167
#>	ɨ_#>	0.161
ˈɪ	ˈɐ	0.158
ˈi	ˈe	0.15
d	-	0.15
ʧ	-	0.143
ʎ	u	0.143
ə	-	0.143
m	-	0.143
l	ɫ	0.138
w	ɫ	0.133
w	v_u	0.133
w	v	0.133
n	ɲ	0.12
#>	ʃ_#>	0.115
k	ɣ_u	0.107
ˈe	ˈe	0.105
ŋ	t_ɨ	0.103
l	ɾ	0.103
w	v_ɨ	0.1
ˈa	-	0.098
u	o	0.091
ˈu	ˈo_ð	0.083
ʀ	ʁ	0.08
ˈe	ˈa	0.079
ˈa	ˈɐ	0.078
ʧ	ʃ_t	0.071
ʧ	t	0.071
k	-	0.071
ŋ	ɡ	0.069
ŋ	u	0.069
ŋ	d	0.069
l	ʃ	0.069
l	u	0.069
w	ˈo	0.067
w	ɨ	0.067
w	w	0.067
w	-	0.067
p	-	0.067
ʀ	-	0.06
ˈa	ɐ	0.059
ə	j̃	0.057
ˈe	ˈɐ_j	0.053
ˈe	-	0.053
