Aromanian	Italian	probability
d	d	1.0
z	v	1.0
ç	f	1.0
ˈə	ˈi	1.0
b	b	0.561
e̯ˈa	ˈe	0.701
i	o	0.061
p	f	0.051
ŋ	ŋ	0.201
ə	a	0.741
ɨ	-	0.211
ʃ	ʃː	0.291
ʦ	-	0.251
ˈo	ˈo	0.261
e̯ˈa	j	0.072
i	-	0.132
k	k	0.532
r	l	0.122
ɡ	b	0.192
ɲ	n	0.092
ʣ	-	0.102
ˈa	ˈa	0.722
b	-	0.3
l	j	0.203
n	n	0.733
o̯ˈa	ˈo	0.193
r	-	0.053
t	-	0.273
v	v	0.773
ɡ	p	0.063
ɨ	o	0.123
ʎ	-	0.073
ʧ	j	0.23
ˈi	ˈɛ	0.233
ˈɨ	ˈa	0.853
a	a	0.204
e	-	0.244
l	lː	0.124
m	ɲː	0.104
p	p	0.824
w	lː	0.074
ʃ	r	0.084
ʎ	j	0.54
ʣ	ʤ	0.624
ʦ	dː	0.104
ʦ	ʧ	0.284
ʧ	ʧ	0.634
ˈo	ˈɔ	0.464
ˈu	ˈu	0.34
ˈu	ˈo	0.364
e̯a	-	0.5
e̯a	a	0.5
f	ʤ	0.105
i	i	0.065
i	e	0.655
l	-	0.05
l	l	0.585
n	-	0.155
p	k	0.065
t	tː	0.105
w	a	0.075
ɲ	m	0.605
ʎ	ʎː	0.155
ʣ	ʣː	0.055
ʣ	d	0.215
e	e	0.756
k	kː	0.126
o̯ˈa	ˈa	0.256
t	t	0.516
u	o	0.776
w	ˈu	0.206
w	v	0.566
ʃ	-	0.106
ʤ	-	0.196
ʦ	t	0.106
ʦ	k	0.126
ʧ	-	0.136
ˈa	ˈɛ	0.16
ˈe	ˈe	0.406
ˈi	ˈi	0.416
ˈo	o	0.086
ˈu	w_ˈɔ	0.166
ˈɨ	ˈo	0.056
b	w	0.067
j	j	0.097
j	-	0.167
j	v	0.637
k	p	0.117
k	ɡ	0.137
m	-	0.077
m	m	0.717
u	e	0.107
v	-	0.227
ɡ	-	0.357
ɨ	ˈa	0.567
ʎ	l	0.197
ʤ	ʤ	0.357
ʦ	ʧː	0.117
ˈi	-	0.137
ˈi	ˈe	0.147
ˈo	w_ˈɔ	0.077
a	ˈa	0.188
a	-	0.608
f	f	0.8
m	mː	0.068
r	r	0.788
s	s	0.88
ˈe	ˈɛ	0.548
ˈo	-	0.068
ˈu	ˈɔ	0.058
e̯ˈa	ˈa	0.109
e̯ˈa	ˈɛ	0.119
o̯ˈa	ˈu	0.09
o̯ˈa	ˈɔ	0.439
w	o	0.079
ŋ	-	0.799
ə	o	0.069
ə	e	0.129
ɡ	ɡ	0.389
ɨ	ˈɛ	0.099
ɲ	ɲː	0.279
ʃ	s	0.499
ʤ	ʤː	0.399
ˈa	ˈɔ	0.089
ˈɨ	ʎː	0.069
