Dutch	East Low German	probability
i	ae̯	1.0
z̥	s	1.0
ɪ	ɪ	1.0
ˈøː	ˈɛː	1.0
ˈɪ	ˈɪ	1.0
d̥	d	0.451
t	tʰ	0.171
z	s	0.071
ˈeː	ˈɛ	0.11
ˈyː	ˈuː	0.431
χ	-	0.141
f	f	0.802
s	ʃ	0.532
z	ʃ	0.072
z	z	0.822
ŋ	ç	0.212
ɦ	h	0.982
ɾ	æ	0.462
ʋ	v	0.872
ˈeː	ˈae̯	0.502
ˈi	ˈae̯	0.512
ˈɑ	ˈa	0.702
ˈɑu̯	ˈaʊ̯	0.172
ˈɛ	-	0.12
ˈɛi̯	ˈiː	0.772
b	b	0.973
d	d	0.743
d̥	l_t	0.063
n	n	0.993
v̥	f	0.933
w	-	0.193
ɾ	-	0.143
ˈeː	ˈoː	0.083
ˈi	ˈʏ	0.103
ˈoː	ˈœː	0.153
ˈɑ	ˈaʊ̯	0.053
ˈɔ	ˈuː	0.053
χ	x	0.093
χ	ŋ	0.103
d̥	t	0.454
j	ˈɛː	0.404
v	f	0.824
v̥	m	0.054
ˈœy̯	ˈuː	0.824
ˈɑu̯	ˈɔ	0.344
ˈɔ	ˈœ	0.084
ˈɛi̯	ˈae̯	0.064
ˈʏ	ˈœː	0.224
m	m	0.975
p	p	0.715
ˈeː	ˈeː	0.095
ˈeː	ˈɛː	0.185
ˈi	ˈeː	0.05
ˈi	ˈiː	0.295
ˈoː	ˈɒː	0.095
ˈu	ˈaʊ̯	0.65
ˈɑu̯	ˈuː	0.485
χ	j	0.115
j	j	0.596
ɾ	r	0.396
ˈaː	ˈɒː	0.646
ˈoː	ˈɔʏ̯	0.106
ˈœy̯	ˈyː	0.146
ˈɔ	ˈɔ	0.126
ˈɛ	ˈʏ	0.056
ˈɛ	ˈɪ	0.06
ˈɛi̯	ˈɪ	0.106
ˈʏ	ˈʏ	0.776
χ	ɡ	0.176
p	pʰ	0.097
s	s	0.427
w	ç	0.807
ə	-	0.497
ˈoː	ˈøː	0.057
ˈoː	ˈaʊ̯	0.227
ˈu	ˈɔʏ̯	0.317
ˈɑ	ˈɛː	0.067
χ	ç	0.307
d	ɾ	0.178
f	m	0.198
k	k	0.558
t	t	0.808
v	b	0.148
ŋ	ŋ	0.788
ə	m	0.128
ə	æ	0.348
ʋ	w	0.128
ˈaː	ˈoː	0.198
ˈoː	ˈɔ	0.058
ˈɑ	ˈaː	0.178
ˈɔ	ˈoː	0.058
ˈɔ	ˈʊ	0.58
ˈɛ	ˈaː	0.138
ˈɛ	ˈiː	0.158
ˈɛ	ˈɛ	0.418
ˈɛi̯	æ	0.058
d	-	0.079
k	kʰ	0.429
p	b	0.189
ɫ	l	0.99
ˈoː	ˈuː	0.209
ˈyː	ˈyː	0.569
ˈɔ	ˈʏ	0.059
