Dutch	East Low German	probability
b	b	1.0
d	d	0.614
d	ɾ	0.185
d	-	0.169
d	t	0.036
f	f	0.894
f	-	0.096
j	j	1.0
k	kʰ	0.534
k	k	0.415
k	ç	0.05
k_ə	k	0.49
l	l	1.0
m	m	0.955
m	z	0.049
m_ə	m	1.0
n	n	0.892
n	-	0.093
p	p	0.899
p	b	0.08
p_ə	p	1.0
s	s	0.515
s	ʃ	0.483
s_χ	ʃ	1.0
t	t	0.622
t	d	0.197
t	tʰ	0.099
t	-	0.078
v	f	0.839
v	-	0.1
v	b	0.04
v	v	0.036
w	ç	0.5
w	ˈae̯	0.5
z	z	0.763
z	ʃ	0.16
z	s	0.053
z	-	0.039
ŋ	ŋ	0.666
ŋ	ç	0.184
ŋ	ŋ_k	0.139
ə	-	0.509
ə	æ	0.436
ə	ɪ	0.051
ə_n	m	0.595
ə_n	ŋ	0.398
ɦ	h	1.0
ɪ	ɪ	1.0
ɫ	l	0.986
ɫ	n	0.031
ɾ	r	0.418
ɾ	æ	0.302
ɾ	-	0.279
ʋ	v	0.849
ʋ	w	0.147
ˈaː	ˈɒː	0.674
ˈaː	ˈoː	0.095
ˈaː	ˈa	0.063
ˈaː	ˈɛɪ̯	0.063
ˈaː	ˈiː	0.063
ˈeː	ˈae̯	0.363
ˈeː	ˈɛː	0.215
ˈeː	ˈɛ	0.145
ˈeː	ˈeː	0.099
ˈeː	-	0.057
ˈi	ˈae̯	0.598
ˈi	ˈiː	0.246
ˈi	ˈʏ	0.075
ˈi	ˈeː	0.05
ˈi	ˈaɪ̯	0.042
ˈoː	ˈaʊ̯	0.369
ˈoː	ˈuː	0.161
ˈoː	ˈɒː	0.078
ˈoː	ˈɔʏ̯	0.078
ˈoː	ˈøː	0.078
ˈu	ˈaʊ̯	0.659
ˈu	ˈɔʏ̯	0.263
ˈu	ˈʊ	0.074
ˈyː	ˈyː	1.0
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuː	0.75
ˈœy̯	ˈyː	0.182
ˈœy̯	ˈʊ	0.05
ˈɑ	ˈa	0.869
ˈɑ	ˈaː	0.076
ˈɑ	ˈɛː	0.039
ˈɑ	ˈaʊ̯	0.036
ˈɑ_ɾ	ˈaː	1.0
ˈɑu̯	ˈɔ	0.665
ˈɑu̯	l	0.135
ˈɑu̯	ˈuː	0.135
ˈɔ	ˈʊ	0.536
ˈɔ	ˈɔ	0.288
ˈɔ	ˈuː	0.087
ˈɔ	ˈoː	0.055
ˈɔ	-	0.04
ˈɛ	ˈɛ	0.612
ˈɛ	ˈiː	0.123
ˈɛ	ˈœ	0.081
ˈɛ	-	0.066
ˈɛ	ˈʏ	0.064
ˈɛ_ɾ	ˈaː	1.0
ˈɛi̯	ˈiː	0.779
ˈɛi̯	ˈae̯	0.104
ˈɛi̯	ˈɪ	0.097
ˈɪ	ˈɪ	1.0
ˈʏ	ˈʏ	0.833
ˈʏ	ˈœː	0.106
χ	ç	0.252
χ	ɡ	0.221
χ	x	0.214
χ	j	0.131
χ	-	0.112
χ_t	ç	1.0
χ_ə	ɡ	1.0
