Logudorese	Occitan	probability
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_i	<#_e	1.0
<#_j	<#_ʤ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
a_#>	ɔ_#>	1.0
a_m	a_m	1.0
a_r	a_ɾ	1.0
a_s	a_s	1.0
a_ð	a_ð	1.0
ă	-	1.0
d	t	1.0
e_l	e_l	1.0
ĕ	-	1.0
i_ɣ	ʤ	1.0
j	ʤ	1.0
k_r	ˈɛ_l	1.0
l	l	1.0
m	m	1.0
m_b	ŋ_k	1.0
n_ʣ	ɲ	1.0
nː	n	1.0
o_l	u_l	1.0
o_z	s	1.0
ŏ	-	1.0
p	β	1.0
p_u_z_ŭ	s	1.0
r_e_#>	e_#>	1.0
r_k	r_k	1.0
r_ˈa	ɾ_ˈa	1.0
r_ˈe	ɾ_ˈe	1.0
rː	r	1.0
s_p	s_p	1.0
s_t	s_t	1.0
ŭ	-	1.0
ð	ð	1.0
ð_e	j_ɾ	1.0
ŋ	n	1.0
ŋ_ɡ	ŋ	1.0
ɖ	-	1.0
ɖː	l	1.0
ɣ_e_#>	ʦ_#>	1.0
ʣ	ʎ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	1.0
ˈa_r	ˈa	1.0
ˈa_ð	ˈa_t	1.0
ˈa_ɣ	ˈa_w	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	j_#>	1.0
ˈe_n	ˈɛ_n	1.0
ˈe_rː	ˈɛ_r	1.0
ˈe_ɖː	ˈɛ_l	1.0
ˈi_n	ˈi	1.0
ˈi_r	ˈi	1.0
ˈi_ð	ˈe_t	1.0
ˈi_ʣ	ˈi_l	1.0
ˈo_l	ˈɔ	1.0
ˈo_ɣ	ɥ_ˈɔ	1.0
<#_k	<#_k	0.771
<#_ˈo	<#_ɥ	0.571
e_#>	w_#>	0.051
e_#>	#>	0.821
i	-	0.421
u	u	0.571
ˈe	e	0.091
ˈi	ˈi	0.581
ˈu	ˈu	0.581
<#_b	<#_ʤ	0.132
s	l	0.2
t	-	0.192
t	ʧ	0.192
ˈe	j_ˈɛ	0.152
<#_b	<#_b	0.263
a	a	0.583
k	s	0.333
o	-	0.333
u_#>	e_#>	0.103
ˈe	ˈe	0.273
ˈo	ˈu	0.343
ˈu	ˈy	0.323
e_r	d_ɾ	0.214
i	e	0.474
r	-	0.214
r	r	0.304
s_k	j_s	0.4
z	s_#>	0.714
ˈa_n	ˈa_n	0.4
ˈo	ɥ_ˈɛ	0.114
<#_b	<#_ɡ	0.105
<#_b	<#_v	0.5
a	-	0.25
e	e	0.375
e	-	0.625
i	i	0.105
n	-	0.35
n	n	0.65
t	w_t	0.115
t	t	0.5
ɡ	ʤ	0.5
ɡ	-	0.5
ɣ	ɣ	0.25
ɣ	-	0.25
ˈe	ˈɛ	0.485
ˈo_n	ˈu_n	0.5
ˈo_n	ˈu	0.5
β	β	0.5
β	w	0.5
e_r	ɾ	0.786
r	l	0.196
r	ɾ	0.286
s_k	s_k	0.6
u_#>	#>	0.816
z	-	0.286
ˈa_n	ˈa	0.6
ˈo	ˈɔ	0.486
a	<#_e	0.167
k	k	0.667
o	u	0.667
u_#>	k_#>	0.057
ɣ	k	0.167
ɣ	z	0.167
ɣ	ʤ_e	0.167
ˈo	u	0.057
ˈu	ˈi	0.097
e_#>	e_#>	0.128
s	s	0.8
<#_k	<#_s	0.229
<#_ˈo	<#_ˈɔ	0.429
u	-	0.429
ˈi	ˈe	0.419
