Catalan	Québécois French	probability
f	f	1.0
r	ʁ	1.0
w	-	1.0
z	-	1.0
ŋ	ẽɪ̯̃	1.0
ʤ	-	1.0
n	n	0.801
ə	-	0.141
ɣ	-	0.801
ɲ	ã	0.231
ʃ	s	0.431
ˈa	e	0.191
ˈe	æɛ̯	0.251
ˈe	w_ɛ	0.291
ˈi	z_ẽɪ̯̃	0.051
ˈo	aœ̯_ʁ	0.161
ˈu	-	0.061
j	-	0.902
l	-	0.162
m	m_w	0.052
ɲ	-	0.292
ʎ	øʏ̯	0.112
ʒ	-	0.212
ˈa	ẽɪ̯̃	0.212
ˈɔ	u	0.072
d	ʣ	0.203
t	-	0.053
t	ʦ	0.103
u	ɔ	0.383
ˈe	-	0.173
ˈu	ʏ	0.063
ˈɔ	ɔ	0.363
ˈɛ	ɛ	0.153
b	v_w	0.084
b	v	0.644
i	i	0.374
k	k	0.614
t	t	0.844
u	ɑɔ̯	0.064
ɡ	ɡ	0.934
ʎ	j	0.354
ˈo	ɒ̃ʊ̯̃	0.284
ˈu	ɥ	0.244
ˈɛ	-	0.134
p	p	0.955
s	-	0.225
s	s	0.775
ð	d	0.205
ð	-	0.795
ə	e	0.095
ə	œ	0.165
ə	a	0.35
ɾ	-	0.335
ˈi	ẽɪ̯̃	0.165
ˈi	i	0.225
ˈu	ɥ_ɪ	0.055
i	-	0.626
k	ʃ	0.386
m	m	0.786
ə	ɛ	0.196
ɡ	-	0.066
ɾ	ʁ	0.486
ˈa	-	0.056
ˈa	æɛ̯	0.356
ˈi	i_ʁ	0.16
ˈi	ɪ	0.366
ˈu	w	0.296
ˈɛ	j_ɛ	0.056
β	ʒ	0.086
β	v	0.746
b	b	0.247
d	d	0.797
m	-	0.137
u	ɒ̃ʊ̯̃	0.067
u	-	0.237
ʎ	l	0.487
ˈe	ɛ	0.067
ˈɔ	oʊ̯	0.067
ˈɔ	ɑɔ̯	0.387
ˈɛ	w_ɛ	0.067
β	b	0.07
j	i	0.098
l	l	0.838
ɲ	ɲ	0.448
ʒ	ʒ	0.788
ˈe	j	0.218
ˈo	-	0.108
ˈo	ʊ	0.188
β	-	0.098
n	-	0.199
u	u	0.249
ɣ	ɡ	0.199
ɾ	ʁ_w	0.179
ʃ	t_ʁ	0.569
ˈa	a	0.149
ˈo	u	0.259
ˈu	y_ʁ	0.059
ˈu	y	0.179
ˈɛ	æɛ̯	0.579
