Swedish	Pennsylvania German	probability
a	ə	0.563
a	-	0.387
a	ɑ	0.034
a	ˈɔː	0.033
b	b	1.0
d	t	0.505
d	d	0.386
d	-	0.044
d	ʦ	0.033
d	s	0.032
e	ɑ	0.494
f	f	0.944
f	ʃ	0.058
h	h	0.935
h	-	0.065
j	-	0.359
j	ɪ	0.143
j	ɡ	0.108
j	ç	0.082
j	ˈɛ	0.082
j_ˈʉː	ˈiː	1.0
jː	ɣ	1.0
k	ç	0.457
k	k	0.392
k	x	0.126
kʰ	kʰ	0.782
kʰ	ɡ	0.111
kʰ	-	0.076
kː	ŋ_k	1.0
l	l	1.0
lː	l	1.0
m	m	0.904
m	ə_m	0.059
m	n	0.044
mː	m	1.0
n	n	0.72
n	-	0.276
nː	n	0.848
nː	ɾ	0.078
nː	l	0.055
p	f	0.384
p	p	0.167
pʰ	p͡f	0.494
pː	f	0.494
r	ɾ	0.519
r	-	0.294
r	ɑ	0.112
r	d_ɑ	0.065
r_a	ɑ	0.494
rː	t	0.392
rː	ɑ	0.392
rː	k	0.126
s	s	0.532
s	ʃ	0.43
s	-	0.035
s_k	ʃ	1.0
sː	s	1.0
t	s	0.491
t	t	0.38
t	d	0.123
tʰ	d	0.56
tʰ	ʦ	0.358
tʰ	b	0.07
tː	s	0.35
tː	ç_t	0.196
tː	ʦ	0.149
tː	x	0.112
tː	x_t	0.101
v	ʋ	0.521
v	f	0.174
v	v	0.161
v	p	0.132
v_ɵ	p	1.0
ŋ	ŋ	0.257
ŋ	ə	0.257
ŋ	ç	0.239
ŋ	j	0.103
ŋː	ŋ	1.0
ɕ	d	0.683
ɕ	kʰ	0.223
ɖ	t	1.0
ɛ	ɑ	0.573
ɛ	-	0.318
ɛ	ɪ	0.076
ɛ	ə	0.043
ɡ	ɡ	0.369
ɡ	ç	0.213
ɡ	k	0.197
ɡ	x	0.077
ɡ	j	0.077
ɡ_ɛ	ɣ	1.0
ɡː	k	0.796
ɡː	-	0.158
ɧ	ʃ	0.538
ɧ	s	0.457
ɪ	ɪ	0.723
ɪ	-	0.205
ɳ	n	0.675
ɳ	ɑ	0.215
ɳː	n	0.494
ɵ	ɪ	0.244
ʈː	ʦ	1.0
ʊ	n	0.375
ʊ	ə	0.185
ˈa	ˈa	0.652
ˈa	ˈaː	0.161
ˈa	ˈɔː	0.137
ˈa	ˈɛ	0.05
ˈeː	ˈeː	0.325
ˈeː	ˈaɪ̯	0.246
ˈeː	ˈɪ	0.214
ˈeː	ˈɛ	0.123
ˈeː	ˈa	0.069
ˈeː_n	ˈeː	1.0
ˈiː	ˈaɪ̯	0.906
ˈiː	ˈeː	0.077
ˈoː	ˈoː	0.442
ˈoː	ˈɔː	0.189
ˈoː	ˈa	0.17
ˈoː	ˈeː	0.069
ˈoː	ˈɔ	0.068
ˈuː	ˈuː	0.528
ˈuː	ˈaː	0.195
ˈuː	ɑ	0.103
ˈuː	ˈʊ	0.078
ˈuː	ˈaʊ̯	0.078
ˈyː	ˈaɪ̯	0.478
ˈyː	ˈiː	0.478
ˈæ	ˈɛː	1.0
ˈæː	ˈɛː_ɑ	1.0
ˈøː	ˈoː	0.28
ˈøː	ˈeː	0.235
ˈøː	ˈɔː	0.17
ˈøː	ˈiː	0.119
ˈøː	ˈɪ	0.078
ˈœ	ˈɪ	0.266
ˈœ	ˈɔː	0.143
ˈœ	ˈʊ	0.133
ˈœ	ˈɔ	0.133
ˈœ	ˈaɪ̯	0.097
ˈœː	ˈoː	0.326
ˈœː	ˈeː	0.161
ˈɑː	ˈa	0.479
ˈɑː	ˈɔː	0.423
ˈɑː	-	0.076
ˈɔ	ˈɔ	0.197
ˈɔ	ˈa	0.197
ˈɔ	ˈʊ	0.171
ˈɔ	ˈɛ	0.13
ˈɔ	ˈɛː	0.13
ˈɛ	ˈɛ	0.433
ˈɛ	ˈɪ	0.152
ˈɛ	ˈa	0.119
ˈɛ	ˈaɪ̯	0.087
ˈɛ	ˈɔː	0.069
ˈɛː	ˈɛ	0.351
ˈɛː	ˈeː	0.209
ˈɛː	ˈɔː	0.209
ˈɛː	ˈiː	0.108
ˈɛː	ˈaː	0.061
ˈɪ	ˈɪ	0.938
ˈɪ	-	0.062
ˈɵ	ˈɔ	0.243
ˈɵ	ˈʊ	0.195
ˈɵ	ˈɪ	0.153
ˈɵ	ʋ_ˈɔ	0.133
ˈɵ	ˈaɪ̯	0.071
ˈʉː	ˈaʊ̯	0.437
ˈʉː	ˈiː	0.237
ˈʉː	ˈɔ	0.141
ˈʉː	ˈuː	0.075
ˈʉː	ˈeː	0.057
ˈʊ	ˈʊ	0.822
ˈʊ	ˈaː	0.113
ˈʏ	ˈɪ	0.354
ˈʏ	ˈaɪ̯	0.133
ˈʏ	ˈɛ	0.133
ˈʏ	ˈɛː	0.133
ˈʏ	ˈʊ	0.104
