Swedish	Pennsylvania German	probability
a	ə	0.945
b	b	0.924
b	-	0.076
d	d̥	0.551
d	d	0.392
d	-	0.05
f	f	0.978
h	h	0.978
j	-	0.359
j	ɡ	0.25
j	ɪ	0.092
j	j	0.091
j	l	0.085
jː	ɣ	1.0
k	ç	0.393
k	x	0.344
k	k	0.173
k	-	0.089
kʰ	kʰ	0.698
kʰ	ɡ	0.25
kʰ	-	0.052
kː	ç	0.355
kː	ŋ_k	0.285
kː	x	0.229
kː	k	0.131
l	l	1.0
lː	l	1.0
m	m	0.895
m	n	0.063
mː	m	1.0
n	n	0.858
n	-	0.142
nː	n	0.639
nː	-	0.319
p	f	0.928
p	p	0.072
pʰ	b	0.896
pʰ	p͡f	0.104
pː	f	1.0
r	ɾ	0.467
r	ɑ	0.409
r	-	0.087
rː	d̥	0.52
rː	k	0.292
rː	ɑ	0.188
s	s	0.546
s	ʃ	0.439
sː	s	1.0
t	s	0.801
t	t	0.146
t	d	0.053
tʰ	d	0.588
tʰ	ʦ	0.334
tʰ	b	0.078
tː	s	0.434
tː	ʦ	0.264
tː	x	0.202
tː	ç_t	0.1
v	ʋ	0.554
v	v	0.173
v	b̥	0.142
v	f	0.114
ŋ	ç	0.5
ŋ	j	0.23
ŋ	ŋ	0.164
ŋ	ə	0.106
ŋː	ŋ	1.0
ɔ	eː	1.0
ɕ	kʰ	0.907
ɕ	d	0.093
ɖ	d̥	1.0
ɛ	ɑ	0.546
ɛ	-	0.216
ɛ	ə	0.195
ɡ	ɡ	0.428
ɡ	ɡ̊	0.196
ɡ	ɣ	0.146
ɡ	ç	0.123
ɡː	k	0.788
ɡː	-	0.212
ɧ	ʃ	0.681
ɧ	s	0.319
ɪ	ɪ	0.756
ɪ	-	0.244
ɳ	n	0.492
ɳ	ɑ_n	0.355
ɳ	ɑ	0.153
ɳː	n	1.0
ɵ	ɪ	0.847
ɵ	-	0.153
ʂ	ʃ	1.0
ʈ	t	1.0
ʈː	ʦ	1.0
ʊ	n	0.672
ʊ	ə	0.328
ˈa	ˈa	0.718
ˈa	ˈɔː	0.175
ˈa	ˈaː	0.089
ˈeː	ˈeː	0.561
ˈeː	ˈɛ	0.165
ˈeː	ˈaɪ̯	0.124
ˈeː	ˈɪ	0.124
ˈiː	ˈaɪ̯	0.748
ˈiː	ˈiː	0.185
ˈoː	ˈoː	0.431
ˈoː	ˈeː	0.188
ˈoː	ˈɔː	0.156
ˈoː	ˈa	0.096
ˈoː	ˈʊ	0.095
ˈuː	ˈuː	0.458
ˈuː	ˈaː	0.293
ˈuː	ɑ	0.116
ˈuː	ˈʊ	0.102
ˈyː	ˈiː	0.534
ˈyː	ˈaɪ̯	0.466
ˈæ	ˈɛː	1.0
ˈæː	ˈiː	0.537
ˈæː	ˈɛː	0.463
ˈøː	ˈoː	0.226
ˈøː	ˈiː	0.155
ˈøː	ˈeː	0.154
ˈøː	ˈɔː	0.114
ˈøː	ˈuː	0.102
ˈøː	-	0.076
ˈøː	ˈɪ	0.076
ˈøː	ˈaʊ̯	0.059
ˈœ	ˈɔː	0.31
ˈœ	ˈɪ	0.282
ˈœ	ˈiː	0.081
ˈœ	ˈɔ	0.081
ˈœ	ˈa	0.081
ˈœ	ˈaɪ̯	0.06
ˈœ	ˈaː	0.06
ˈœː	ˈeː	0.403
ˈœː	ˈɛ	0.403
ˈœː	ˈoː	0.194
ˈɑː	ˈɔː	0.487
ˈɑː	ˈa	0.426
ˈɑː	-	0.086
ˈɔ	ˈʊ	0.515
ˈɔ	ˈa	0.143
ˈɔ	ˈaː	0.109
ˈɔ	ˈɔ	0.101
ˈɔ	ˈɛ	0.055
ˈɛ	ˈɛ	0.418
ˈɛ	ˈeː	0.137
ˈɛ	ˈɪ	0.124
ˈɛ	ˈaɪ̯	0.09
ˈɛ	ˈa	0.061
ˈɛ	ˈɛː	0.058
ˈɛː	ˈeː	0.303
ˈɛː	ˈɔː	0.266
ˈɛː	ˈɛ	0.235
ˈɛː	ˈiː	0.114
ˈɛː	ˈaː	0.082
ˈɪ	ˈɪ	0.869
ˈɪ	ˈɔː	0.092
ˈɵ	ˈʊ	0.384
ˈɵ	ˈaʊ̯	0.165
ˈɵ	ˈɪ	0.165
ˈɵ	ˈɔ	0.111
ˈɵ	ʋ_ˈɔ	0.056
ˈɵ	ˈeː	0.05
ˈʉː	ˈiː	0.477
ˈʉː	ˈaʊ̯	0.309
ˈʉː	ˈɪ	0.074
ˈʊ	ˈʊ	0.894
ˈʊ	ˈaː	0.106
ˈʏ	ˈɪ	0.426
ˈʏ	ˈɛː	0.18
ˈʏ	ˈaʊ̯	0.17
ˈʏ	ˈaɪ̯	0.083
ˈʏ	ˈɛ	0.083
ˈʏ	ˈʊ	0.058
