Eastphalian	American English	probability
b	b	1.0
h	h	1.0
l	ɫ	1.0
p	p	1.0
s	s	1.0
w	w	1.0
x	-	1.0
ç	-	1.0
ə	-	1.0
ɡ	-	1.0
ʃ	ʃ	1.0
ˈaː	ˈæ	1.0
ˈeː	ˈɛ	1.0
ˈøː	ˈi	1.0
ˈɔʏ̯	ˈi	1.0
r	ɹ	0.971
v	v	0.171
ŋ	ŋ	0.781
ɣ	ɡ	0.691
ˈa	ˈeɪ̯	0.081
ˈoː	ˈoʊ̯	0.131
ˈoː	ˈʌ	0.711
ˈɛ	ˈɛ	0.91
ˈɛː	ˈeɪ̯	0.281
ˈʊ	ˈaʊ̯	0.051
ˈʏ	ˈɛ	0.091
ˈʏ	ˈʌ	0.151
d	d	0.612
ˈʊ	ˈʊ	0.12
k	k	0.53
n	-	0.153
z	z	0.213
ɐ	ð_ɚ	0.123
ˈeo̯	ˈi	0.53
ˈiː	ˈi	0.303
ˈuː	ˈaʊ̯	0.913
ˈɒː	ˈi	0.563
d	θ	0.374
k	kʰ	0.254
ˈaʊ̯	ˈʌ	0.104
ˈɔ	ˈʌ	0.104
j	-	0.385
j	j	0.615
t	ʔ	0.25
ˈiː	ˈʌɪ̯	0.155
ˈiː	ˈaɪ̯	0.505
k	ʧ	0.216
t	tʰ	0.176
ŋ	ŋ_ɡ	0.186
ɐ	ɹ	0.316
ɐ	ɚ	0.536
ˈɛɪ̯	ˈoʊ̯	0.16
ˈɛɪ̯	ˈi	0.356
f	f	0.967
n	n	0.847
t	t	0.247
z	s	0.787
ˈa	ˈɑ	0.237
ˈaʊ̯	ˈʊ	0.277
ˈuː	ˈʌ	0.087
ˈɔ	ˈoʊ̯	0.217
ˈɛɪ̯	ˈaɪ̯	0.197
ˈɪ	ˈaɪ̯	0.257
t	d	0.228
ˈa	ˈæ	0.588
ˈeo̯	ˈɛ	0.38
ˈoː	ˈɔ	0.158
ˈɒː	ˈɑ	0.08
ˈɒː	ˈeɪ̯	0.258
ˈɛɪ̯	ˈu	0.058
ˈɪ	ˈɪ	0.648
ˈʏ	ˈɪ	0.758
m	m	0.959
t	-	0.099
v	w	0.829
ɣ	-	0.309
ˈaʊ̯	ˈu	0.619
ˈeo̯	ˈaɪ̯	0.09
ˈɒː	ˈɛ	0.099
ˈɔ	ˈɑ	0.679
ˈɛ	ˈɪ	0.09
ˈɛɪ̯	ˈɛ	0.229
ˈɛː	ˈɛ	0.719
ˈʊ	ˈʌ	0.829
