Zeelandic	Zeelandic	probability
ˈʏ_ɾ	ˈɔː	1.0
ˈɒː	-	1.0
ˈæ_ɾ	ˈaː	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈaɪ̯	1.0
ˈeː	ˈeː	1.0
ʋ	v	1.0
ɾ_t	d	1.0
ɾ_d̥	ɐ_d	1.0
ɫ	l	1.0
ɪ	i	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ç	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x_t	x_d	1.0
v	f	1.0
s_x	ʃ	1.0
s_t	s	1.0
p	b	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_#>	#>	1.0
iː	aɪ̯	1.0
i	ɪ	1.0
d_ɾ	d_r	1.0
d_ə	n	1.0
d	d	1.0
b	b	1.0
<#_ˈɛː	<#	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
<#_k	<#_kʰ	1.0
<#	<#_h	1.0
n	n	0.959
ˈɛː	ˈoː	0.9
ˈɑ	ˈa	0.864
ˈyː	ˈuː	0.857
d̥	d	0.846
ˈɪ	ˈɪ	0.833
ˈʊə̯	ˈaʊ̯	0.789
k	ɡ	0.778
ə	-	0.765
z	z	0.76
s	ʃ	0.75
k_ə	ɡ	0.714
ˈɪə̯	ˈaɪ̯	0.667
ɾ_ə	ɐ	0.667
v̥	f	0.667
ˈiː	ˈaɪ̯	0.647
ˈi	ˈiː	0.643
ˈæi̯	ˈaɪ̯	0.6
p_ə	b_m	0.6
t	d	0.591
ˈøː	-	0.571
x_ə	ɡ	0.571
t_ə	d_n	0.556
ˈɑu̯	ˈaʊ̯_l	0.5
ˈɑu̯	l	0.5
ˈuː	ˈɔʏ̯	0.5
ˈuː	ˈaʊ̯	0.5
ˈu	ˈʊ	0.5
ˈu	ˈaʊ̯	0.5
ɾ	ɐ	0.5
j	ʒ	0.5
j	-	0.5
ˈæ	ˈɛ	0.455
ˈʏ	-	0.429
ˈøː	ˈøː	0.429
x_ə	ŋ	0.429
ˈɔ	ˈʊ	0.421
ɾ	r	0.409
ˈæi̯	-	0.4
p_ə	b	0.4
x	ɡ	0.391
ˈæ	-	0.364
ˈi	ˈɪ	0.357
ˈɪə̯	-	0.333
ɾ_ə	ɐ_n	0.333
t	t	0.318
ˈɔ	ˈɔ	0.316
x	ç	0.304
ˈʏ	ˈʏ	0.286
ˈʏ	ˈʊ	0.286
k_ə	ɡ_n	0.286
ˈɔ	-	0.263
x	x	0.261
s	s	0.25
ˈiː	ˈyː	0.235
v̥	m	0.222
t_ə	t	0.222
t_ə	d	0.222
k	k	0.222
ˈæ	ˈœ	0.182
ə	n	0.176
ˈɪ	ˈʏ	0.167
z	ʃ	0.16
ˈyː	ˈiː	0.143
ˈɑ	-	0.136
ˈiː	-	0.118
v̥	v̥	0.111
ˈʊə̯	ˈɔʏ̯	0.105
ˈʊə̯	-	0.105
ˈɛː	-	0.1
ɾ	-	0.091
t	-	0.091
z	-	0.08
d̥	t	0.077
d̥	-	0.077
ə	ɐ	0.059
