Štokavian	Upper Sorbian	probability
ʦ	ʦ	1.0
ʒ	ʃ	1.0
ʎ	l	1.0
ʋ_#>	β_ɪ_#>	1.0
ɲ	ɲ	1.0
ɡ_#>	x_#>	1.0
ɡ	ɦ	1.0
z	z	1.0
x_#>	xʲ_i_#>	1.0
x	x	1.0
û	w	1.0
t_i_#>	ʧ_#>	1.0
t	t	1.0
s_a	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂ː	ʀ	1.0
r̂ː	ʀ	1.0
p	pʲ	1.0
ǒ	ˈɔ	1.0
ô	ˈɔ	1.0
n_#>	n_ɪ_#>	1.0
m_#>	m_#>	1.0
m	mʲ	1.0
l_ǎː	w	1.0
k_a	x	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ěː	ˈe	1.0
j_êː	ˈe	1.0
j_ê	ˈe	1.0
j	-	1.0
îː	ˈi	1.0
i	i	1.0
êː	ˈe	1.0
e_#>	ɔ_#>	1.0
d_a	d	1.0
d_#>	t_#>	1.0
b_#>	p_#>	1.0
âː	ˈo	1.0
a_k	kʲ_i	1.0
a_#>	a_#>	1.0
a	-	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɡ	<#_ɦ	1.0
<#_x	<#_x	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
ûː	ˈu	0.714
t_#>	ʧ_#>	0.714
ôː	ˈo	0.714
<#_m	<#_m	0.7
o_#>	ɔ_#>	0.688
l	w	0.667
<#_z	<#_z	0.667
<#_d	<#_d	0.667
e	ɛ	0.625
â	ˈa	0.625
<#_t	<#_ʧ	0.625
b	b	0.6
<#	<#_β	0.6
î	ˈi	0.571
r	ʀ	0.562
n	n	0.556
ʋ	ɥ	0.538
ê	ˈe	0.5
ê	e	0.5
d	d	0.5
<#_ʋ	<#_β	0.5
<#_ʋ	<#_ɥ	0.5
ʋ	β	0.462
n	ɲ	0.444
î	ˈɪ	0.429
ě	ˈɛ	0.429
b	bʲ	0.4
<#	<#_ʧ	0.4
e	ˈɛ	0.375
â	ˈɔ	0.375
<#_t	<#_t	0.375
l	l	0.333
<#_z	<#	0.333
<#_d	<#_ʤ	0.333
r	ʀʲ	0.312
o_#>	#>	0.312
<#_m	<#_mʲ	0.3
ûː	l	0.286
t_#>	t_#>	0.286
ôː	ˈɔ	0.286
ě	ˈɔ	0.286
ě	ɛ	0.286
d	ʤ	0.25
d	t	0.25
r	ʃ	0.125
