Aromanian	Aromanian	probability
ˈu_n	ˈo	1.0
ˈi_n	ˈe	1.0
ˈa_v	ˈo_w	1.0
ʧ	-	1.0
ʣ_ˈə	d	1.0
ʃ_t	θ	1.0
ɨ	-	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
v	b	1.0
t_i	t_ɪ	1.0
r_u	ɾ_ʊ	1.0
r_n	ɾ_n	1.0
r_i	ɾ	1.0
r_b	ɾ_β	1.0
p_t	j_t	1.0
o̯ˈa_m	ˈo	1.0
n_e	ŋ	1.0
m_ˈu	m_ˈo	1.0
m_#>	m_ɪ_#>	1.0
k_ʎ	ɟ	1.0
k_u	k_o	1.0
k_o̯ˈa	k_ˈɔ	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	ɣ_ʊ_#>	1.0
j_#>	s_#>	1.0
i_r	ˈe	1.0
i_#>	#>	1.0
f_l	ʧ	1.0
f	f	1.0
e̯a	-	1.0
e_#>	#>	1.0
a_r	r	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_ʣ	<#	1.0
<#_ʃ	<#_s	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
b	b	0.818
k	k	0.793
m	m	0.778
a	a	0.75
e̯ˈa	ˈe	0.722
ʤ	ʃ	0.714
ə	ɐ	0.708
ˈo	ˈɔ	0.706
#>	ʊ_#>	0.686
ɡ	ɡ	0.667
r_#>	ʊ_#>	0.667
d	d	0.667
ˈa	ˈa	0.647
r	ɾ	0.628
ʦ	θ	0.615
ʃ	s	0.6
ɲ	m	0.6
p	p	0.6
j	b	0.6
u	ʊ	0.586
ʎ	ɟ	0.571
w	β	0.571
ˈe	ˈe	0.562
s	s	0.562
ˈɨ	ˈɑ	0.5
ˈɨ	ˈa	0.5
ʣ	ʃ	0.5
ʣ	d	0.5
<#	<#_θ	0.5
<#	<#_ˈa	0.5
t	ð	0.467
ˈi	ˈi	0.464
ˈe	ˈɛ	0.438
t	t	0.433
ʎ	l	0.429
w	-	0.429
l	l	0.417
n	n	0.406
ˈu	ˈu	0.4
ˈu	ˈo	0.4
ʃ	j_ʃ	0.4
ɲ	-	0.4
ˈi	ˈe	0.393
ɡ	ɣ	0.333
r_#>	#>	0.333
o̯ˈa	ˈɔ	0.333
o̯ˈa	ˈo	0.333
d	-	0.333
ˈo	ˈo	0.294
i	ɪ	0.289
ʤ	-	0.286
s	e_s	0.25
n	ɲ	0.25
l	-	0.25
a	-	0.25
p	-	0.24
ʦ	k	0.231
m	-	0.222
k	ɣ	0.207
j	w	0.2
j	-	0.2
s	ʃ	0.188
n	-	0.188
b	-	0.182
u	o	0.172
#>	ɐ_#>	0.171
o̯ˈa	e	0.167
o̯ˈa	-	0.167
l	ʧ	0.167
l	j	0.167
e̯ˈa	ˈɛ	0.167
p	β	0.16
n	ŋ	0.156
i	ɾ	0.156
ʦ	t	0.154
ˈa	ˈɛ	0.147
ˈa	a	0.147
ˈi	-	0.143
#>	s_#>	0.143
u	u	0.138
ˈu	-	0.133
i	ɐ	0.133
i	e	0.133
i	-	0.133
r	l	0.116
e̯ˈa	-	0.111
ə	ʊ	0.104
ə	ɪ	0.104
u	-	0.103
t	-	0.1
r	-	0.093
i	i	0.089
ə	a	0.083
r	r	0.07
ˈu	n	0.067
i	ˈi	0.067
ˈa	ˈe	0.059
