Aragonese	Aragonese	probability
θ_#>	s_#>	1.0
ˈu_j	ˈɔ	1.0
ˈi_n	ˈi	1.0
ˈi_l	ˈe_l	1.0
ˈe_ɾ	r	1.0
ˈe_ɣ	ˈø_k	1.0
ˈe_j	ˈɛ	1.0
ʝ_o	s	1.0
ʝ	-	1.0
ʎ_o_#>	j_#>	1.0
ʃ	s	1.0
ɾ_β	r_b	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ˈa	ˈa	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɾ_e	e_r	1.0
ɾ_a	a	1.0
ɾ_#>	#>	1.0
ɣ	ɡ	1.0
ŋ	ŋ	1.0
z	z_o	1.0
w_ˈa	w_ˈa	1.0
w_#>	f_#>	1.0
t_#>	#>	1.0
t	t	1.0
s_a	z_a	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
o_#>	#>	1.0
n_o_#>	#>	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈa	j_ˈa	1.0
l_w	l	1.0
k_l	ʧ	1.0
k	k	1.0
j_ʃ	s	1.0
j_#>	d_e_r_#>	1.0
f	f	1.0
e_s	s	1.0
e_n	e_n	1.0
e_m	y	1.0
e_#>	#>	1.0
b_ˈi	ˈe	1.0
b_ˈe	ˈe	1.0
b_ˈa	b_ˈa	1.0
b_ɾ_e_#>	#>	1.0
b_w	b	1.0
a_β	a	1.0
a_m	a_m	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_b_e	<#_e	1.0
<#_a	<#	1.0
a	a	0.974
ˈa	ˈa	0.912
s	s	0.906
ˈi	ˈi	0.84
ʧ	z	0.833
d	d	0.833
ɾ	r	0.8
n	n	0.76
l	l	0.75
<#_b	<#	0.75
j	-	0.733
b	b	0.714
<#_ˈa	<#_ˈa	0.714
ɲ	ɲ	0.667
θ	s	0.647
β	-	0.647
ɡ	ɡ	0.6
j_ˈe	ˈɛ	0.588
ɾ_o	r	0.556
w_ˈe	ˈɔ	0.556
w	-	0.556
e	e	0.556
ʝ_ˈe	ˈɛ	0.5
ʝ_ˈe	d_ˈi	0.5
ʎ	l	0.5
u	o	0.5
u	-	0.5
ˈo	ˈu	0.484
i	e	0.455
ɾ_o	e_r	0.444
w_ˈe	ˈø	0.444
w	ˈo	0.444
o	o	0.438
o	-	0.438
ˈu	ˈy	0.435
j_ˈe	ˈe	0.412
ˈe	ˈe	0.4
ɡ	k	0.4
ð	t	0.368
ð	d	0.368
θ	-	0.353
ˈu	ˈø	0.348
ɲ	-	0.333
#>	e_#>	0.294
ˈo	ˈo	0.29
b	-	0.286
<#_ˈa	<#_ˈɛ	0.286
e	-	0.278
i	i	0.273
i	-	0.273
ʎ	ʧ	0.25
<#_b	<#_ʋ	0.25
β	b	0.235
#>	ʧ_#>	0.235
ˈe	ˈɛ	0.225
l	j	0.188
#>	t_#>	0.176
#>	f_#>	0.176
ˈe	ˈi	0.175
ʧ	ʤ	0.167
e	i	0.167
d	t	0.167
ð	-	0.158
ʎ	j	0.15
j	ˈe	0.133
j	e	0.133
ˈu	ˈo	0.13
ˈo	ˈɔ	0.129
o	u	0.125
n	ɲ	0.12
n	t	0.12
β	r	0.118
#>	s_#>	0.118
ð	j	0.105
ˈe	ˈu	0.1
ˈe	-	0.1
ʎ	ʤ	0.1
ˈo	ˈø	0.097
s	-	0.094
ˈu	ˈu	0.087
ɾ	ˈa	0.086
ˈi	ˈø	0.08
ˈi	-	0.08
l	-	0.062
ɾ	n	0.057
ɾ	-	0.057
ˈa	ˈo	0.053
