Ripuarian	Northern Low Saxon	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɔː	ˈaʊ̯_ɐ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈu	-	1.0
ˈoʊ̯	-	1.0
ˈeɪ̯	ˈaɪ̯	1.0
ˈa_ɫ	ˈaː	1.0
ʦ_#>	d_#>	1.0
ʋ	v	1.0
ʀ_ə	ɐ_n	1.0
ʀ	r	1.0
ɫ	l	1.0
ɪ	-	1.0
ɣ̊	x	1.0
ɣ	ɡ	1.0
z̥	z̥	1.0
z	z	1.0
v_ə	m	1.0
s_ə	d_n	1.0
p	b	1.0
n_ə	nː	1.0
m_ə	m	1.0
l	l	1.0
k_ə	ɡ_n	1.0
j_ə	ŋ	1.0
h	h	1.0
f_ə	b_m	1.0
d_ə	d_n	1.0
b	b	1.0
<#_p	<#_pʰ	1.0
n	n	0.952
d	d	0.941
m	m	0.913
f	f	0.9
ɐ	ɐ	0.875
d̥	d	0.864
ʃ	ʃ	0.857
j	ɡ	0.833
ʦ	tʰ	0.818
ˈœ	ˈʏ	0.778
k	kʰ	0.765
ŋ_ɡ̊	n_d	0.75
v̥	f	0.714
s	d	0.714
ˈɪ	ˈɪ	0.7
ˈe	ˈɪ	0.684
ˈa	ˈa	0.682
x	x	0.625
ˈeː	ˈaɪ̯	0.609
ɡ̊	-	0.6
ŋ	ŋ	0.6
ˈo	ˈʊ	0.571
ə	n	0.562
t	t	0.556
ˈuː	ˈuː	0.533
ˈɛː	ˈeː	0.5
ˈɔʊ̯	ˈuː	0.5
ˈɔ	ˈʊ	0.5
ŋ_ə	ŋ	0.5
ŋ_ə	nː	0.5
k_#>	ç_#>	0.5
k_#>	#>	0.5
ˈuː	ˈaʊ̯	0.467
ˈaː	ˈa	0.462
ɕ	ç	0.45
t	d	0.444
ˈoː	ˈaʊ̯	0.44
ˈɛ	-	0.429
ˈiː	ˈiː	0.429
ɡ̊	d	0.4
ɕ	ɡ	0.4
ŋ	n	0.4
ˈaː	ˈoː	0.385
x	ɡ	0.375
ˈoː	ˈoː	0.36
ˈiː	-	0.357
ˈɔ	ˈɔ	0.333
ˈyː	ˈɔʏ̯	0.333
ˈyː	ˈyː	0.333
ˈyː	-	0.333
ˈe	-	0.316
ˈɪ	ˈiː	0.3
ˈɛ	ˈɛ	0.286
ˈo	-	0.286
v̥	-	0.286
s	s	0.286
#>	ç_#>	0.273
#>	t_#>	0.273
#>	d_#>	0.273
ˈɛː	ˈɛ	0.25
ˈɛː	-	0.25
ˈɔʊ̯	ˈaʊ̯	0.25
ˈɔʊ̯	-	0.25
ŋ_ɡ̊	n	0.25
k	ɡ	0.235
ˈœ	-	0.222
ˈiː	ˈaɪ̯	0.214
ə	-	0.188
ʦ	d	0.182
#>	x_#>	0.182
ˈeː	-	0.174
ˈɔ	ˈoː	0.167
j	ʒ	0.167
ˈaː	-	0.154
ɕ	-	0.15
ˈɛ	ˈœ	0.143
ˈɛ	ˈeː	0.143
ˈo	ˈɔ	0.143
ʃ	s	0.143
ˈa	-	0.136
d̥	-	0.136
ˈeː	ˈɪ	0.13
ə	ɪ	0.125
ə	m	0.125
ɐ	-	0.125
ˈoː	-	0.12
f	b	0.1
ˈa	ˈɪ	0.091
ˈa	ˈaʊ̯	0.091
ˈeː	ˈeɪ̯	0.087
m	-	0.087
ˈoː	ˈuː	0.08
d	l	0.059
