French	Neapolitan	probability
y	ˈu	1.0
ə	ə	1.0
ɥ	ˈu	1.0
i	ˈi	0.571
s	-	0.231
v	v_j	0.201
ɔ	ˈɔ	0.521
ʁ	ɾ	0.271
j	-	0.2
o	lː_ə	0.482
s	ʃː	0.072
v	p	0.182
w	t	0.2
w	ˈe	0.232
œ	ˈɔ	0.562
ɑ̃	ˈɛ_n	0.442
ɔ̃	ˈo_n	0.252
ɛ	ˈe	0.132
a	a	0.283
d	t	0.13
e	ə	0.223
l	j	0.133
s	ʃ	0.273
t	t	0.883
u	u	0.213
ø	ə	0.683
ɑ̃	ˈa_n	0.223
ʁ	ɾ_ə	0.253
ʃ	k	0.73
a	ˈa	0.344
a	ə	0.374
k	k_w	0.084
l	l_ə	0.184
m	m	0.784
o	ˈa	0.104
t	ʃː	0.084
ɛ̃	ɲː_ə	0.304
ɡ	ɡ	0.794
ʁ	r	0.184
j	ʎː_ə	0.235
l	l	0.505
m	mː_ə	0.055
n	n_ə	0.45
n	n	0.55
p	p	0.865
s	s	0.365
b	b	0.306
i	ə	0.336
j	ˈɛ	0.486
k	k	0.916
m	m_j	0.136
ɑ̃	ˈa	0.126
ɛ	ˈɛ	0.16
ɛ	ə	0.196
ɡ	-	0.206
b	-	0.077
e	ˈa	0.777
o	w_ˈɔ	0.067
o	w	0.347
p	k	0.097
u	ˈu	0.787
v	v	0.617
ø	w_ˈɔ	0.317
ɛ	a	0.057
ɛ	ˈa	0.417
ɛ̃	n_ə	0.67
ʃ	-	0.27
ʒ	j	0.457
ʒ	ʤ	0.507
b	v	0.618
f	f	0.988
w	-	0.568
œ	ˈo	0.438
ʁ	ə_ɾ_ə	0.078
d	d	0.829
j	kː_j	0.079
l	-	0.159
s	s_ˈa	0.059
ɑ̃	ŋ	0.209
ɔ	w_ˈɔ	0.479
ɔ̃	ˈu	0.369
ɔ̃	w_ˈɔ	0.379
ʁ	-	0.209
