Mainland North Frisian	Mainland North Frisian	probability
ˈɛ_#>	ˈi_#>	1.0
ˈɛ	ˈɛɪ̯	1.0
ˈɔu̯_d	ˈuː	1.0
ˈɔu̯	ˈoːu̯	1.0
ˈœi̯	ˈoːu̯	1.0
ˈyː	ˈoː	1.0
ˈu	-	1.0
ˈa_n	n_s	1.0
ʀ_ˈɛ	r	1.0
ʀ_t	t	1.0
ʀ_d̥	d	1.0
ɛi̯	i	1.0
ə_ʀ	r	1.0
ç	x	1.0
z̥	d	1.0
x_#>	ɣ_ə_#>	1.0
x	x	1.0
w	ɣ	1.0
v̥_#>	f_#>	1.0
tʲ	t	1.0
t	t	1.0
s_l	s_l	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_i	ə_l	1.0
k	k	1.0
j_ˈa	ˈɛɪ̯	1.0
i	ɪ_x	1.0
h	h	1.0
d̥	d	1.0
dʲ	d	1.0
d_ʀ	d_r	1.0
<#_ˈɒ	<#_ˈaː	1.0
<#_ˈa	<#_ˈa	1.0
#>	ɣ_ə_#>	1.0
l	l	0.929
f	f	0.92
b	b	0.913
ʀ	r	0.847
ŋ	ŋ	0.846
ə	ə	0.84
ˈœː	ˈuː	0.833
v	v	0.833
ˈuː	ˈoː	0.786
ɡ	ɣ	0.778
ʃ	s_k	0.75
ˈɛː	-	0.714
d	d	0.706
ˈœ	ˈoːu̯	0.647
ˈaː	-	0.6
ˈai̯	ˈɛɪ̯	0.6
z	z	0.6
ˈʏ	ˈuː	0.571
ˈɒ	ˈa	0.571
<#	<#_v	0.571
ˈʊ	ˈʊ	0.524
ˈiː	ˈeː	0.52
ˈɛi̯	ˈɛɪ̯	0.5
ˈɔ	ˈoːu̯	0.5
ˈɒː	ˈɔː	0.5
v̥	x	0.5
v̥	v_ə	0.5
lʲ	l_d	0.5
lʲ	l	0.5
j	j	0.5
ˈʏ	-	0.429
ˈɒ	ˈɔː	0.429
<#	<#_d	0.429
ˈaː	ˈiː	0.4
ˈai̯	ˈɪ	0.4
z	t	0.4
ˈi	ˈiː	0.391
ˈi	ˈi	0.391
ˈeː	ˈɛ	0.385
nʲ	n_d	0.375
nʲ	n	0.375
ˈœ	-	0.353
ˈa	ˈɪ	0.353
ˈɔː	ˈɔ	0.333
ˈɔː	ˈoː	0.333
ˈɔː	-	0.333
ˈɔ	ˈɔː	0.333
ˈeː	ˈɛː	0.308
ˈeː	-	0.308
ˈɛi̯	ˈaːi̯	0.3
ˈɒː	-	0.3
ˈɛː	ˈiː	0.286
ˈiː	j_ˈoː	0.28
nʲ	ˈoː	0.25
ˈʊ	-	0.238
ˈa	ˈɛː	0.235
ɡ	ɡ	0.222
ˈuː	-	0.214
j	-	0.214
ˈɛi̯	-	0.2
ˈɒː	ˈaː	0.2
ˈa	-	0.176
d	t	0.176
ˈɔ	ˈɔːɪ̯	0.167
ˈœː	ˈøː	0.167
ŋ	x	0.154
ˈʊ	j_ˈʊ	0.143
j	ɣ_j	0.143
j	ɣ	0.143
ˈi	-	0.13
ʃ	s	0.125
ʃ	k	0.125
ˈiː	j	0.12
ˈa	ˈɛɪ̯	0.118
ˈa	ˈɛ	0.118
d	ˈɔː	0.118
v	-	0.1
ˈʊ	ˈoː	0.095
ə	-	0.093
b	-	0.087
ˈiː	ˈiː	0.08
f	-	0.08
l	l_ə	0.071
ʀ	d_ə	0.068
ə	j_ə	0.067
v	w	0.067
ʀ	ˈiː_r	0.051
