Saterland Frisian	North Frisian	probability
a	ˈiː	0.091
a	ə	0.091
b	b	0.953
b	v	0.051
d	d	0.555
d	-	0.246
d	dʲ	0.116
d	t	0.05
d	tʲ	0.03
f	f	0.956
f	v	0.048
h	h	1.0
j	-	0.486
j	j	0.325
j	ɡ	0.143
j	ˈiː	0.049
j_ˈoː	ˈiː	1.0
k	k	0.883
k	-	0.075
k	h	0.043
l	l	0.862
l	lʲ	0.12
m	m	0.968
m	-	0.042
n	n	0.844
n	-	0.096
n	nʲ	0.037
n	ŋ	0.03
n_d	nʲ	1.0
p	p	0.765
p	d	0.082
p	v	0.08
p	b	0.064
r	r	0.978
s	s	0.983
s	ʃ	0.03
s_j	ʃ	1.0
s_k	ʃ	1.0
t	t	0.697
t	tʲ	0.108
t	d	0.064
t	z	0.049
t	-	0.046
v	v	0.757
v	-	0.232
v	f	0.032
w	v	1.0
x	x	0.449
x	-	0.268
x	v	0.093
x	ŋ	0.069
x	k	0.061
z	z	0.67
z	s	0.226
ŋ	ŋ	1.0
ə	ə	0.631
ə	-	0.337
ə	i	0.031
ɡ	ɡ	1.0
ɣ	ɡ	0.45
ɣ	-	0.208
ɣ	w	0.196
ɣ	j	0.071
ɣ	d	0.048
ɪ	i	0.618
ɪ	j	0.211
ɪ	-	0.137
ɫ	l	0.494
ˈa	ˈɒ	0.361
ˈa	ˈɒː	0.361
ˈa	ˈa	0.205
ˈaː	ˈɒː	0.5
ˈaː	ˈɒ	0.21
ˈaː	ˈa	0.159
ˈaːi̯	ˈɛi̯	0.683
ˈaːi̯	ˈɛː	0.222
ˈaːu̯	ˈɔː	0.758
ˈaːu̯	ˈɔu̯	0.091
ˈeː	ˈiː	0.656
ˈeː	ˈɛː	0.129
ˈeː	ˈøː	0.074
ˈeː	ˈai̯	0.074
ˈeː	ˈeː	0.06
ˈeːu̯	ˈeː	0.494
ˈi	ˈi	0.681
ˈi	ˈeː	0.171
ˈi	ˈɛi̯	0.061
ˈi	ˈɛː	0.061
ˈi	-	0.041
ˈiː	ˈiː	0.349
ˈiː	ˈi	0.262
ˈiː	ˈeː	0.112
ˈiː	ˈɛi̯	0.074
ˈiː	ˈaː	0.074
ˈiːu̯	ˈi	1.0
ˈoː	ˈuː	0.38
ˈoː	ˈyː	0.247
ˈoː	ˈɔː	0.095
ˈoː	-	0.05
ˈoː	ˈœ	0.05
ˈoːu̯	ˈœ	0.562
ˈoːu̯	ˈɔu̯	0.14
ˈoːu̯	ˈuː	0.121
ˈoːu̯	ˈɔ	0.103
ˈoːu̯	ˈʏ	0.057
ˈoːu̯_d	ˈɔ	0.494
ˈu	ˈyː	0.629
ˈu	ˈʏ	0.361
ˈuː	ˈyː	0.459
ˈuː	ˈøː	0.243
ˈuː	ˈɔu̯_d	0.112
ˈuː	ˈuː	0.055
ˈuː	ˈaː	0.053
ˈyː	ˈyː	0.574
ˈyː	ˈʏ	0.284
ˈœː	ˈi	0.244
ˈɔ	ˈɔː	0.573
ˈɔ	ˈʊ	0.191
ˈɔ	ˈuː	0.103
ˈɔ	ˈa	0.103
ˈɔː	ˈɔː	0.285
ˈɔː	ˈɒ	0.235
ˈɔː	ˈɒː	0.2
ˈɔː	ˈɛː	0.064
ˈɔː	ˈa	0.064
ˈɔːɪ̯	ˈɔi̯	0.12
ˈɛ	ˈeː	0.336
ˈɛ	ˈɒ	0.264
ˈɛ	ˈa	0.151
ˈɛ	ˈɒː	0.099
ˈɛ	ˈi	0.099
ˈɛɪ̯	ˈɛi̯	0.292
ˈɛɪ̯	ˈa_r	0.098
ˈɛɪ̯	ˈiː	0.097
ˈɛɪ̯	ˈai̯	0.09
ˈɛɪ̯	ˈɛ	0.088
ˈɛː	ˈa	0.365
ˈɛː	ˈeː	0.286
ˈɛː	ˈɒː	0.132
ˈɛː	ˈʊ	0.132
ˈɛː	ˈœ	0.07
ˈɪ	ˈa	0.423
ˈɪ	ˈʊ	0.155
ˈɪ	ˈai̯	0.135
ˈɪ	ˈɛ	0.102
ˈɪ	ˈi	0.08
ˈʊ	ˈʊ	0.827
ˈʊ	ˈœ	0.069
ˈʊ	ˈɒ	0.056
ˈʊ	ˈʏ	0.054
