Old French	Catalan	probability
θ	t	1.0
ˈɛ_w	ˈɔ_k	1.0
ˈɛ_v	β	1.0
ˈɛ_s	ˈe_s	1.0
ˈɛ_f	w	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈõ	ˈu	1.0
ˈo	ˈɔ_z	1.0
ˈĩ	ˈi	1.0
ˈi_s	ˈɛ_w	1.0
ˈẽ_j	ˈɛ	1.0
ˈe_ʎ	ˈɛ_ʎ	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_j	ˈe	1.0
ʦ	s	1.0
ɲ	ɲ	1.0
ɛ	ə	1.0
ə_v	ə_β	1.0
ŋ	ŋ	1.0
z_ə	a	1.0
z	-	1.0
w_ˈɛ	ˈu	1.0
w_t	l_t	1.0
ũ	u	1.0
u	u	1.0
t_ə	t_ə	1.0
t	t	1.0
s_ˈɛ	s_ˈɛ	1.0
r_t	r_t	1.0
p	p	1.0
o	ˈe	1.0
m_ˈã	mː	1.0
m	m	1.0
l_ə	l_ə	1.0
k	k	1.0
j_z	ə	1.0
ĩ	i	1.0
i	i	1.0
f_r	f_ɾ	1.0
f	f	1.0
e	i	1.0
b_ə	β_ə	1.0
b	b	1.0
ã	ə	1.0
a	ə	1.0
ə	ə	0.944
ˈi	ˈi	0.94
s	s	0.92
ʎ	ʎ	0.911
ˈa	ˈa	0.91
ʧ	k	0.9
l	l	0.896
n	n	0.833
d	d	0.828
ˈɔ_j	ˈɛ	0.809
ˈy	ˈu	0.807
r	ɾ	0.799
ˈu	ˈo	0.722
ʤ	ʒ	0.672
j_s	w	0.672
ɡ	ɡ	0.608
j_ˈɛ	ˈe	0.578
v	b	0.576
ˈɛ_r	ˈɛ_r	0.533
w	w	0.52
ˈũ	ˈɔ	0.506
ʧ_j	k_ˈa	0.5
ʧ_j	k	0.5
ˈũ	ˈo	0.494
w	ˈɔ	0.48
ˈe	ˈa	0.472
ˈɛ	ˈe	0.467
ˈɛ	ˈa	0.461
ˈẽ	ˈe	0.453
ˈɔ	ˈɛ	0.436
j_ˈɛ	ˈɛ	0.422
ˈɔ	ˈɔ	0.402
ɡ	ɣ	0.392
j_s	ʃ	0.328
ˈe	-	0.313
ˈẽ	ˈɛ	0.279
ˈu	ˈɔ	0.278
ˈɛ_r	r	0.277
ˈẽ	-	0.268
j	ˈa	0.268
v	β	0.217
ˈe	w	0.214
v	-	0.206
ˈy	-	0.193
ˈɔ_j	ˈi	0.191
ˈɛ_r	ˈa_ɾ	0.19
j	j	0.181
ʤ	ʤ	0.174
d	-	0.172
n	ɲ	0.167
ˈɔ	ˈe	0.162
j	-	0.162
ʤ	-	0.154
r	r	0.152
j	w	0.145
l	ʎ	0.104
ʧ	-	0.1
ˈa	-	0.09
ʎ	ʎː	0.089
s	ʃ	0.08
ˈɛ	ˈɛ	0.072
j	ð	0.063
ˈi	ʎ	0.06
j	ˈe	0.056
j	ˈi	0.055
j	ʒ	0.052
