Ligurian	Emilian	probability
a	a	0.901
a	-	0.093
b	b	1.0
d	d	0.983
e	-	0.775
e	e	0.211
f	f	0.901
f	f_j	0.099
i	i	0.563
i	-	0.437
j	r	0.326
j	-	0.277
j	j	0.111
j	j_r	0.069
j	e	0.06
k	k	0.973
l	l	1.0
m	m	1.0
n	n	0.803
n	n_d	0.113
o	-	1.0
p	p	1.0
r	r	0.879
r	-	0.095
s	s	0.527
s	θ	0.414
t	t	0.926
u	-	0.818
u	r	0.087
v	v	0.977
w	-	0.351
w	w	0.303
w	u	0.153
w	ˈʌu̯	0.059
w	r	0.057
w	l	0.055
y	u	1.0
z	ð	0.744
z	-	0.142
z	ʤ	0.088
ŋ	ŋ	0.847
ŋ	n	0.098
ɔː	u	1.0
ɡ	ɡ	0.863
ɡ	d	0.085
ɡ	k	0.052
ɥ	u	1.0
ɲ	ɲ	1.0
ʃ	s	0.585
ʃ	f_j	0.415
ʒ	z	0.806
ʒ	s	0.102
ʒ	-	0.057
ʤ	-	0.265
ʤ	ʧ	0.252
ʤ	b_j	0.159
ʤ	ʤ	0.127
ʤ	l	0.101
ʤ	ð	0.066
ʧ	j	0.665
ʧ	ʧ	0.335
ˈa	ˈa	0.549
ˈa	ˈaː	0.359
ˈa	ˈɛ	0.093
ˈaː	ˈɛ_r	0.407
ˈaː	ˈɛ	0.34
ˈaː	ˈaː	0.074
ˈaː	ˈɛ_l	0.057
ˈe	ˈa	0.448
ˈe	ˈæ	0.265
ˈe	ˈiː	0.152
ˈe	ˈɛ	0.081
ˈeː	ˈiː	0.287
ˈeː	ˈɛ	0.244
ˈeː	ˈa	0.184
ˈeː	e	0.115
ˈeː	ˈɛː	0.092
ˈi	ˈe	0.83
ˈi	ˈi	0.094
ˈi	ˈɔː	0.052
ˈiː	ˈiː_r	0.42
ˈiː	ˈiː	0.15
ˈiː	ˈi	0.146
ˈiː	ˈe	0.13
ˈiː	ˈuː	0.06
ˈiː	ˈɛː	0.053
ˈu	ˈʌ	0.445
ˈu	ˈo	0.274
ˈu	ˈaː	0.118
ˈu	ˈɔː	0.074
ˈuː	ˈʌu̯	0.707
ˈuː	ˈʌu̯_l	0.139
ˈuː	l_ˈʌu̯	0.07
ˈy	ˈo	1.0
ˈyː	ˈuː	0.814
ˈyː	ˈo	0.186
ˈø	ˈɔ	0.513
ˈø	ˈuː	0.189
ˈø	ˈʌ	0.161
ˈø	ˈo	0.137
ˈøː	ˈɔː	0.577
ˈøː	ˈuː	0.34
ˈøː	ˈʌ	0.084
ˈɔ	ˈɔ	0.839
ˈɔ	u	0.084
ˈɔ	a	0.077
ˈɔː	ˈɔː	0.926
ˈɔː	ˈo	0.074
ˈɛ	ˈɛ	0.509
ˈɛ	a	0.338
ˈɛ	ˈaː	0.153
ˈɛː	ˈɛ	0.441
ˈɛː	ˈaː	0.169
ˈɛː	ˈa_j	0.151
ˈɛː	ˈɛ_d	0.146
ˈɛː	ˈɛː	0.066
