Gascon	Spanish	probability
d	d	1.0
nː	m	1.0
u	o	1.0
ɔ	a	1.0
ɣ	ɣ	1.0
ʦ	θ	1.0
e	e	0.51
t	ð_o	0.071
ɡ	-	0.051
ɲ	ɲ	0.571
ʎ	x_o	0.471
ˈɔ	ˈo	0.21
ˈɛ	j_ˈe	0.451
β	β_ɾ	0.141
h	-	0.352
i	j	0.302
i	ɾ_e	0.512
k	k_o	0.092
m	m_b	0.112
m	m	0.872
n	n_t	0.192
r	ð_ɾ	0.072
r	ɾ_n	0.082
t	t	0.402
w	o	0.122
z	θ	0.772
ŋ	n	0.332
ɾ	-	0.22
ʃ	s	0.062
ʎ	x	0.472
ʒ	ɟ͡ʝ	0.712
a	a	0.993
k	k	0.733
w	w	0.233
ð	ð	0.783
ɾ	ɾ	0.753
ˈe	e	0.053
ˈu	o	0.063
ˈu	ˈo	0.483
ˈɛ	ˈe	0.353
b	b	0.854
j	j	0.434
l	l	0.804
t	ð	0.154
ŋ	ŋ	0.194
ˈu	w_ˈe	0.354
ˈy	ˈu	0.84
e	ɾ_o	0.065
j	o	0.195
w	l_o	0.125
w	l	0.185
w	β	0.275
ŋ	n_o	0.425
ˈa	ˈa_ɾ	0.185
ˈa	ˈa	0.815
ˈy	ˈu_ɾ	0.065
ˈy	ˈo	0.095
ˈɛ	-	0.195
b	b_j	0.146
i	i	0.186
j	-	0.366
k	ɣ_o	0.096
ʎ	-	0.056
k	ɣ	0.057
l	-	0.087
n	n	0.77
r	ɾ	0.747
s	θ	0.167
ð	-	0.217
ˈi	ˈe	0.057
ˈi	j	0.127
e	ɾ	0.058
e	-	0.068
e	o	0.088
h	f	0.648
t	-	0.228
z	s	0.228
ʃ	-	0.938
ʒ	x	0.288
e	ˈi_ɾ	0.059
l	ʝ	0.079
p	p	0.979
r	ɾ_o	0.099
s	s	0.779
ɡ	ɡ	0.949
ɲ	ɲ_o	0.429
ˈe	ˈe	0.9
ˈi	ˈi	0.769
ˈɔ	w_ˈe	0.79
β	β	0.859
