Wymysorys	Old West Norse	probability
ˈɪ	j	1.0
ˈɛ_n	e	1.0
ˈɑi̯_ɛ	ˈyː	1.0
ˈoi̯	ˈɔ	1.0
ʃ_t	s_t	1.0
ɪ	-	1.0
ɑ	ɑː	1.0
ç	k	1.0
z	s	1.0
x_t	tː	1.0
u	-	1.0
j	-	1.0
c	kː	1.0
b̥	v	1.0
b	b	1.0
s	t	0.887
h	h	0.882
m	m	0.876
a	ɑ	0.792
r	r	0.779
ŋ	ŋ	0.778
ˈai̯	ˈiː	0.772
v	v	0.761
ˈø	ˈɑː	0.755
ɡ	ɡ	0.711
f	f	0.703
t	ð	0.701
ˈi̯ø	ˈɑ_r	0.687
ˈu	ˈu	0.681
w	l	0.676
l	l	0.668
ˈa	ˈɛi̯	0.667
ɛ_r	r̥	0.667
ɛ	i	0.667
ˈɔ	ˈɑ	0.646
ˈɛ	ˈe	0.639
ʃ	s	0.582
ɟ	-	0.577
ˈei̯	-	0.555
ˈʏ	ˈoː	0.54
ə	ˈoː	0.539
n	n	0.503
ʦ	tʰ	0.482
ɡ̊	ɡ_r̥	0.465
ˈʏ	-	0.46
ˈei̯	ˈi	0.445
x	k	0.434
d̥	d_r̥	0.429
ɟ	ɟ	0.423
ʃ	s_k	0.418
ˈɘ̟	ˈi	0.413
ˈɑ	ˈɑ	0.403
ˈɑi̯	ˈuː	0.384
d	-	0.37
ʦ	t	0.368
ə	-	0.366
d	θ	0.355
k	kʰ	0.345
ˈa	ˈe	0.333
ɛ_r	r̥ː	0.333
ɛ	-	0.333
l	lː	0.332
k	-	0.328
ˈi̯ø	ʝː	0.313
n	nː	0.294
d̥	d_i	0.286
d̥	d	0.286
ˈɘ̟	-	0.283
x	-	0.277
d	d	0.275
f	p	0.263
ˈɑi̯	-	0.256
ˈi	-	0.246
ˈø	ˈo	0.245
w	-	0.245
v	-	0.239
ˈi	ˈøː	0.237
ˈi	ˈeː	0.235
ŋ	-	0.222
ɡ̊	ɣ_ɑ	0.197
ɡ̊	ɣ_r̥	0.197
k	cʰ	0.192
ˈɔ	-	0.182
ˈɛ	ˈɛ	0.18
ˈɛ	-	0.18
ˈɑ	ˈɑː	0.177
t	t	0.177
ˈɑ	-	0.174
ˈɔ	ˈɔ	0.172
x	ˈeː	0.172
ˈai̯	-	0.171
r	r̥	0.163
ɡ	ɣ	0.162
ʦ	tː	0.15
ˈɑi̯	ˈyː	0.14
ɡ̊	ɡ	0.14
k	kː	0.136
ˈɑi̯	ˈøy̯	0.13
ˈu	ˈo	0.128
ˈɘ̟	ˈe	0.127
ɡ	ɟ	0.127
a	a	0.125
m	-	0.124
x	r̥	0.118
h	ç	0.118
s	s	0.113
ˈɘ̟	ˈyː	0.1
ˈu	-	0.1
ˈi	j_ˈuː	0.1
ˈi	j	0.1
ˈɑ	j_ˈɔ	0.098
ə	ɾ	0.095
ˈɑi̯	ˈu	0.089
a	j_ɑ	0.083
ˈi	ˈɔː	0.082
w	lː	0.079
ˈɘ̟	ˈy	0.078
ˈɑ	ˈɔ	0.074
ˈɑ	l	0.074
ˈu	ˈɑu̯	0.064
r	r̥ː	0.058
ˈai̯	ɡː	0.057
n	-	0.057
n	ɑ	0.051
t	tː_r̥	0.05
t	d	0.05
