West Flemish	Swiss German	probability
b	b̥	1.0
d	t	0.579
d	d̥	0.272
d	-	0.07
d	tː	0.07
f	b̥	0.725
f	p	0.151
f	p͡f	0.06
h	χ	0.552
h	-	0.229
h	ɡ̊	0.199
j	j	0.594
j	ˈæi̯	0.392
k	χ	0.844
k	k	0.075
k	-	0.047
k	ɡ̊	0.042
l	l	1.0
m	m	0.923
m	mː	0.076
n	n	0.435
n	ə	0.356
n	-	0.194
n_t	ŋ	1.0
p	p͡f	0.474
p	f	0.295
p	p	0.096
p	fː	0.093
s	ʃ	0.552
s	s	0.343
s	χ_s	0.063
s	ʃː	0.042
t	t	0.387
t	ʦ	0.175
t	sː	0.157
t	d̥	0.133
t	s	0.072
v	f	0.851
v	b̥	0.103
v	-	0.041
w	-	0.33
w	l	0.282
w	w	0.162
z	s	0.689
z	ʃ	0.248
z	-	0.062
ç	ɡ̊	1.0
ŋ	ŋ	0.836
ŋ	ɡ̊	0.126
ə	-	0.659
ə	ə	0.287
ə	i	0.046
ɦ	ɡ̊	0.959
ɦ	-	0.045
ɪ	i	0.491
ɾ	r	0.978
ɾ_s	ʃ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.845
ʋ	-	0.09
ʋ	ˈøi̯	0.06
ˈeː	ˈæ	0.399
ˈeː	ˈæː	0.2
ˈeː	ˈei̯	0.115
ˈeː	ˈi	0.087
ˈeː	ˈyː	0.085
ˈi	ˈiː	0.721
ˈi	ˈei̯	0.139
ˈi	ˈi	0.139
ˈiə̯	ˈyː	0.402
ˈiə̯	ˈeː	0.138
ˈiə̯	ˈiə̯	0.13
ˈiə̯	ˈy	0.093
ˈiə̯	ˈæː	0.079
ˈoː	ˈoː	0.349
ˈoː	ˈou̯	0.186
ˈoː	ˈo	0.168
ˈoː	ˈøː	0.141
ˈoː	ˈau̯	0.084
ˈu	ˈu	0.323
ˈu	ˈa	0.137
ˈu	ˈo	0.137
ˈu	ˈuː	0.127
ˈu	ˈɒ	0.089
ˈuə̯	ˈuə̯	0.593
ˈuə̯	ˈyə̯	0.295
ˈuə̯	ˈyː	0.095
ˈyː	ˈuː	0.692
ˈyː	ˈiː	0.175
ˈyː	ˈyː	0.113
ˈæ	ˈæ	0.383
ˈæ	ˈy	0.215
ˈæ	ˈi	0.163
ˈæ	ˈa	0.094
ˈæ	ˈe	0.066
ˈøː	ˈoː	0.361
ˈøː	ˈɒ	0.361
ˈøː	ˈo	0.204
ˈœ	ˈu	0.324
ˈœ	ˈiə̯	0.186
ˈœ	ˈø	0.186
ˈœ	ˈo	0.126
ˈœ	ˈyː	0.126
ˈɑ	ˈɒ	0.606
ˈɑ	ˈɒː	0.154
ˈɑ	ˈæ	0.099
ˈɑ	ˈa	0.065
ˈɑ	ˈø	0.065
ˈɒː	ˈɒː	0.406
ˈɒː	ˈɒ	0.288
ˈɒː	ˈoː	0.115
ˈɒː	ˈe	0.066
ˈɒː	ˈæː	0.066
ˈɔ	ˈo	0.534
ˈɔ	ˈu	0.225
ˈɔ	ˈø	0.129
ˈɔ	ˈa	0.091
ˈɛ	ˈi	0.299
ˈɛ	ˈæ	0.24
ˈɛ	ˈe	0.158
ˈɛ	ˈɛi̯	0.158
ˈɛ	ˈiː	0.107
ˈɛː	ˈei̯	0.324
ˈɛː	ˈeː	0.221
ˈɛː	ˈɛi̯	0.168
ˈɛː	ˈøi̯	0.092
ˈɛː	ˈæi̯	0.089
ˈɪ	ˈi	0.763
ˈɪ	-	0.135
ˈɪ	ˈæ	0.052
ˈɪ	ˈy	0.048
ˈʏ	ˈu	0.241
