West Flemish	Swiss German	probability
b	b̥	1.0
iə̯	æ	1.0
z̥	s	1.0
ç	ɡ̊	1.0
ɡ̊	ɡ̊	1.0
ɪ	i	1.0
ʃ	ʃ	1.0
d̥	tː	0.051
k	k	0.11
l	lː	0.051
m	mː	0.101
v	f	0.851
ə	-	0.111
ɦ̥	χ	0.21
ˈuə̯	ˈuə̯	0.631
ˈyː	ˈyː	0.111
ˈæ	ˈy	0.1
ˈæ	ˈæː	0.121
ˈøː	ˈu	0.181
d	d̥	0.342
j	j	0.622
k	χ	0.782
m	m	0.802
p	f	0.482
v	b̥	0.122
z	ʃ	0.12
ˈeː	ˈi	0.052
ˈeː	ˈyː	0.052
ˈeː	ˈæi̯	0.182
ˈøː	ˈo	0.102
ˈɛ	ˈæ	0.252
ˈɪ	ˈy	0.052
ˈɪ	ˈi	0.802
t	sː	0.373
ŋ	ɡ̊	0.103
ɦ	ɡ̊ː	0.093
ˈi	ˈi	0.163
ˈiə̯	ˈy	0.103
ˈiə̯	ˈeː	0.103
ˈoː	ˈau̯	0.153
ˈu	ˈau̯	0.053
ˈuə̯	ˈyː	0.053
ˈøː	ˈy	0.333
ˈɑ	ˈɒː	0.073
ˈɒː	ˈæ	0.073
ˈɛ	ˈe	0.163
d	t	0.594
d̥	d̥	0.44
h	χ	0.514
p	fː	0.114
z	s	0.804
ˈœ	ˈo	0.124
ˈœ	ˈyː	0.124
ˈɒː	ˈɒ	0.234
ˈɔ	ˈø	0.134
ˈɪ	ˈæ	0.104
n	ə	0.415
w	l	0.865
ɾ	r	0.985
ʋ	-	0.065
ˈiə̯	ˈyː	0.315
ˈoː	ˈoː	0.285
ˈu	ˈu	0.365
ˈyː	ˈuː	0.855
ˈæ	ˈæ	0.45
ˈɑ	ˈæ	0.125
ˈɒː	ˈoː	0.055
ˈɔ	ˈɒ	0.055
ˈɔ	ˈu	0.325
ˈɔ	ˈo	0.455
h	-	0.486
t	t	0.26
v̥	b̥	0.976
z	h	0.06
ə	ə	0.86
ˈeː	ˈæː	0.116
ˈeː	ˈæ	0.306
ˈuə̯	ˈyə̯	0.316
ˈæ	ˈɒ	0.056
ˈøː	ˈɒ	0.066
ˈɛ	ˈi	0.496
ˈɛː	ˈo	0.136
p	p	0.137
p	p͡f	0.267
ŋ	ŋ	0.897
ˈeː	ˈe	0.067
ˈiə̯	ˈæː	0.077
ˈiə̯	ˈiə̯	0.247
ˈu	ˈɒ	0.227
ˈu	ˈuː	0.237
ˈæ	ˈi	0.137
ˈœ	ˈiə̯	0.087
ˈɒː	ˈɒː	0.577
ˈɛː	ˈøi̯	0.137
j	ˈæi̯	0.378
n	n	0.498
s	s	0.328
t	ʦ	0.308
ɦ	ɡ̊	0.798
ˈeː	ˈu	0.088
ˈi	ˈei̯	0.088
ˈiə̯	ˈe	0.078
ˈoː	ˈo	0.288
ˈœ	ˈu	0.488
ˈɑ	ˈɒ	0.788
ˈɛː	ˈæi̯	0.498
d̥	l_t	0.089
d̥	t	0.339
l	l	0.949
m	i	0.09
s	ʃ	0.649
t	s	0.059
w	-	0.089
ɦ	-	0.109
ɦ̥	ɡ̊	0.79
ʋ	ʋ	0.9
ˈeː	ˈeː	0.139
ˈi	ˈiː	0.749
ˈoː	ˈøː	0.199
ˈu	l	0.119
ˈæ	-	0.119
ˈøː	ˈoː	0.319
ˈœ	ˈy	0.059
ˈœ	ˈø	0.119
ˈɛː	ˈæ	0.09
ˈɛː	ˈeː	0.139
