Slovenian	Upper Sorbian	probability
a	a	1.0
àː	ˈa	1.0
á	ˈa	1.0
áː	ˈo	1.0
e	e	1.0
íː	ˈi	1.0
o	ˈɔ	1.0
òː	ˈɔ	1.0
s	s	1.0
úː	ˈu	1.0
z	z	1.0
ɔ̀ː	ˈɔ	1.0
ɔ́ː	ˈɔ	1.0
ɛ̀ː	ˈɛ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
r	ʀ	0.701
ə	ˈɔ	0.221
ə̀	ˈɔ	0.81
ɡ	ɪ_#>	0.061
ʦ	k	0.581
ìː	ˈɪ	0.412
b	bʲ	0.563
d	t	0.073
èː	ˈe	0.613
i	i	0.563
j	-	0.493
w	l	0.233
x	xʲ_i	0.133
ʧ	ʧ	0.473
l	w	0.324
p	pʲ	0.334
r	ʀʲ	0.264
ɔ	ɔ	0.954
ɛ	ɛ	0.374
éː	ɛ	0.145
k	x	0.065
k	k	0.935
m	mʲ	0.475
m	m	0.525
n	n	0.355
óː	ˈɔ	0.085
t	ʧ	0.405
t	t	0.595
ə́	ˈɔ	0.45
ə́	ˈe	0.55
ʋ	-	0.125
ʋ	ɥ	0.425
éː	ˈɛ	0.106
n	ɲ	0.366
p	p	0.666
ɡ	ɦ	0.926
b	b	0.437
èː	ˈɛ	0.387
i	ˈi	0.437
j	j	0.507
óː	ɔ	0.377
w	w	0.557
x	x	0.867
ʋ	β	0.407
ʧ	ʦ	0.527
d	ʤ	0.448
d	d	0.48
ìː	ˈi	0.588
l	l	0.658
óː	ˈo	0.468
ɛ	ɔ	0.308
ɛ	ˈɛ	0.318
éː	ˈe	0.749
n	n_ɪ	0.279
óː	ˈu	0.069
w	w_ɪ	0.209
ə	-	0.779
ə̀	-	0.19
ʦ	ʦ	0.419
