Romagnol	Old French	probability
ˈʌ̃	ˈã	1.0
ˈɛ̃	j_ˈẽ	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈu_ɡ	ˈɛ_w	1.0
ˈu	ˈy	1.0
ˈõũ̯	ˈũ_n	1.0
ˈou̯_r	ˈu_r	1.0
ˈi_ɡ	ˈi	1.0
ˈeː_d	ˈɔ_j	1.0
ˈeə̯_t	s	1.0
ˈeə̯_d	ˈɛ	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ʤ	ɡ_l	1.0
ɐ_r	r_ə	1.0
ɐ_d	a_j	1.0
ŋ	ŋ	1.0
u_j	ˈu	1.0
r_ˈʌ̃	r_ˈã	1.0
r	r	1.0
p_j	p_l	1.0
p	p	1.0
o	ˈɛ_w	1.0
m	m	1.0
k_r	k_r	1.0
j̃	n	1.0
f	f	1.0
e	o	1.0
b	b	1.0
a	a	1.0
l	l	0.886
t	t	0.864
s	s	0.848
θ	ʦ	0.843
ˈɛə̯	ˈɛ	0.839
n	n	0.818
ˈa	ˈa	0.791
ˈɔə̯	ˈɔ	0.763
ˈi	ˈi	0.726
ð	ʤ	0.707
ɲ	ɲ	0.693
ʧ	ʎ	0.683
u	u	0.674
ɐ	ə	0.662
ɡ	j	0.639
ˈɔ	ˈy_j	0.63
d	-	0.584
i	i	0.544
v	v	0.534
k	ʧ	0.521
ˈẽ	ˈĩ	0.5
ˈẽ	ˈẽ	0.5
ˈeː	ˈɔ_j	0.461
i	-	0.456
k	k	0.447
ˈeə̯	ˈa	0.433
d	d	0.416
ˈo	ˈũ	0.391
j	l	0.388
ˈɔ	w_ˈɛ	0.37
ˈeː	ˈɛ	0.366
ɡ	ɡ	0.361
ʧ	k_l	0.317
ɲ	-	0.307
ˈɛ	ˈẽ	0.306
z	s	0.296
ð	-	0.293
ˈou̯	ˈũ	0.29
ˈɛ	ˈɛ	0.28
z	z	0.28
j	j	0.26
ˈo	ˈỹ	0.251
z	-	0.243
j	ʎ	0.24
ˈɔə̯	w_ˈɛ	0.237
ˈou̯	ˈy	0.234
v	w	0.231
ˈa	ˈɛ	0.209
ˈeə̯	ˈe	0.203
ˈou̯	-	0.197
ˈi	j	0.194
ˈeə̯	ˈɛ	0.182
ˈeə̯	j_ˈɛ	0.182
z	j_s	0.181
ˈeː	j_ˈɛ	0.172
u	-	0.17
ˈɛə̯	-	0.161
θ	j_s	0.157
u	ɔ	0.156
v	f	0.154
ˈo	ˈu	0.151
ˈo	-	0.145
ɐ	ɛ	0.144
n	-	0.144
ˈɛ	ˈi	0.14
ˈou̯	ˈɔ	0.14
ˈou̯	ˈu	0.14
t	-	0.136
s	e_s	0.12
l	-	0.114
j	ˈi	0.112
ˈɛ	ˈɔ_j	0.104
v	-	0.081
ˈi	ˈɔ_j	0.08
ˈɛ	-	0.075
ɐ	-	0.075
ˈo	j	0.063
ɐ	ã	0.06
ɐ	a	0.06
