Asturian	Asturian	probability
ˈo_s	ˈu	1.0
ˈo_n	ˈɔ_n	1.0
ˈi_ɾ	ˈi	1.0
ˈe_β	β	1.0
ˈe_ʎ	dː	1.0
ˈe_ɾ_#>	ˈe_#>	1.0
ˈe_ɾ	ˈi	1.0
ˈe_u	ɡː_u	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈe_l	ˈe_r	1.0
ˈa_t	ˈa_tː	1.0
ʧ	tː	1.0
ɾ_u	u	1.0
ɾ_t	ɬ_t	1.0
ɾ_n	rː	1.0
ɾ_e	u	1.0
ɾ_a	r_a	1.0
u_n	ɔ	1.0
s_p	pː	1.0
s_k	x	1.0
p	p	1.0
o_l	u_r	1.0
l_s	ʦː	1.0
k_o	k_u	1.0
d_u	d_u	1.0
d	d	1.0
a_ð	a_dː	1.0
<#_θ	<#_ʦ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_e	<#_i	1.0
<#_a	<#_ˈa	1.0
f	f	0.95
u	u	0.923
ˈa	ˈa	0.922
n	n	0.897
a	a	0.881
t	t	0.87
ˈi	ˈi	0.864
#>	i_#>	0.784
ˈu	ˈu	0.778
k	k	0.763
ɾ_#>	#>	0.75
ʃ	ʤ	0.727
ʎ	l	0.72
ɲ	ɲː	0.667
o_s	i	0.667
o	u	0.667
i	i	0.667
e	i	0.638
w	ˈɔ	0.615
ɣ	ɡ	0.6
s	ɬ	0.6
ɾ	r	0.574
ɡ	ɡ	0.571
w_ˈe	ˈɔ	0.562
m	mː	0.562
θ	ʦ	0.556
ð	dː	0.533
b	v	0.516
s_#>	j_#>	0.5
s_#>	#>	0.5
l	r	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈe	0.5
b	b	0.484
ŋ	n	0.467
ʝ	-	0.462
w_ˈe	ˈo	0.438
m	m	0.438
ɡ	-	0.429
β	-	0.417
j	ˈe	0.412
ˈo	ˈo	0.405
ɣ	ɡː	0.4
ŋ	ŋ	0.4
s	z	0.4
β	β	0.375
ˈe	ˈɛ	0.375
ˈo	ˈɔ	0.351
ɲ	-	0.333
o_s	o_j	0.333
o	a	0.333
i	-	0.333
ʝ	ʎː	0.308
j	ˈɛ	0.294
j	-	0.294
ʃ	-	0.273
ð	d	0.267
ɾ_#>	ˈa_#>	0.25
ʝ	ʧː	0.231
w	w	0.231
θ	ʦː	0.222
θ	-	0.222
l	i	0.222
β	bː	0.208
ð	-	0.2
e	u	0.191
ˈe	-	0.175
ɾ	-	0.17
l	j	0.167
#>	u_#>	0.162
w	-	0.154
ˈe	ˈi	0.15
ˈi	-	0.136
ŋ	-	0.133
k	-	0.132
t	tː	0.13
ˈe	ˈe	0.125
ʎ	-	0.12
ˈu	ˈɔ	0.111
ˈu	-	0.111
l	-	0.111
ˈo	ˈu	0.108
ɾ	j	0.106
ɾ	a_r	0.106
e	a	0.106
k	xː	0.105
n	nː	0.103
ˈo	ˈa_ɬ	0.081
ʎ	ʧ	0.08
ʎ	p_j	0.08
ˈe	j	0.075
e	-	0.064
a	-	0.06
ˈo	-	0.054
#>	ˈa_#>	0.054
u	dː_u	0.051
