Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ʤ	ɡ_ʎ	1.0
ɲ	-	1.0
ɡ_o_#>	k_#>	1.0
ŋ_#>	n_#>	1.0
z	ʤ	1.0
w	-	1.0
r_#>	r_i_#>	1.0
r	r	1.0
n	n	1.0
m	m	1.0
k_w	p	1.0
k	k	1.0
i	-	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_w_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
a	ə	0.862
s	s	0.812
p	p	0.778
l	l	0.773
d	d	0.75
θ	ʦ	0.667
e	i	0.615
ð	z	0.6
f	f	0.556
ˈa	ˈa	0.55
v	v	0.533
t	t	0.529
ˈo	ˈu	0.5
ʧ	ʎ	0.5
ʧ	k_ʎ	0.5
#>	t_i_#>	0.5
v	-	0.467
o	-	0.455
f	-	0.444
ˈɔ	o̯ˈa	0.429
ɡ	k	0.429
l_#>	#>	0.429
j	l	0.429
ŋ	n	0.4
ð	ʒ	0.4
e	-	0.385
ˈɛ	ˈe	0.375
ˈɛ	ˈa	0.375
o	u	0.364
ˈa	ˈɔ	0.35
θ	ʦ_i	0.333
ˈe	ˈi	0.333
ˈo	ˈo	0.3
#>	ə_#>	0.3
ˈɔ	ˈu_k	0.286
ˈɔ	ˈo	0.286
ˈe	ˈe	0.286
ˈe	e̯ˈa	0.286
ɡ	ɡ	0.286
ɡ	-	0.286
l_#>	r_i_#>	0.286
l_#>	r_#>	0.286
j	ʎ	0.286
j	-	0.286
ŋ	m	0.267
ˈɛ	-	0.25
d	-	0.25
p	kʲ	0.222
ˈo	o̯ˈa	0.2
ŋ	j	0.2
#>	n_i_#>	0.2
s	ʃ	0.188
o	i	0.182
t	p_t	0.176
t	p	0.176
a	-	0.138
l	r	0.136
ŋ	ŋ	0.133
t	ʦ	0.118
ˈa	ˈa_p	0.1
ˈe	e̯ˈa_w	0.095
l	-	0.091
