Alsatian	Alsatian	probability
ˈɛ	-	1.0
ˈɒː_ʁ	ˈɑˀ	1.0
ˈœ	ˈʌ	1.0
ˈøː	-	1.0
ˈøi̯	ˈuˀ	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈu_k	ˈɶˀ	1.0
ˈeː	-	1.0
ˈei̯	-	1.0
ˈaː	-	1.0
ˈai̯	ˈœ	1.0
ʦ_#>	d̥_#>	1.0
ʦ	ʦʰ	1.0
ʁ_n	ɐˀ_n	1.0
ʁ_#>	#>	1.0
z̥_#>	s_#>	1.0
w	-	1.0
t_ʁ	d̥_ʁ	1.0
t_#>	#>	1.0
s_ˈeː	ɕ	1.0
s_#>	#>	1.0
p	b̥	1.0
n_#>	#>	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
i_ʃ	ɡ̊	1.0
i	-	1.0
eː	-	1.0
d̥_ʁ	ʦʰ_ʁ	1.0
<#_ˈɒ	<#	1.0
<#_n	<#_n	1.0
m	m	0.913
h	h	0.875
ə	ə	0.829
f	f	0.824
ɡ̊	ɡ̊	0.818
b̥	b̥	0.81
#>	ə_#>	0.727
l	l	0.707
ə_ʁ	ɐ	0.692
ˈəi̯	ˈeˀ	0.667
ˈyː	ˈuˀ	0.667
ˈo	ˈu	0.667
ʋ	ʋ	0.667
j	-	0.667
<#_ʋ	<#	0.667
ˈe	-	0.636
ŋ	ŋˀ	0.625
n	n	0.609
x	-	0.6
ʃ	s	0.583
s	s	0.538
ˈʊː	ˈoˀ	0.5
ˈɒː	-	0.5
t	ð̞ˠ	0.5
n_d̥	nˀ	0.5
f_#>	b̥_#>	0.5
f_#>	#>	0.5
ʁ	ʁ	0.483
s	ð̞ˠ	0.462
ˈi	ˈe	0.458
d̥	d̥	0.438
ˈɒ	ˈa	0.429
x	ˈɛ	0.4
ʁ	ɐ	0.379
ˈɒː	ˈa	0.375
ŋ	ŋ	0.375
ˈe	ˈe	0.364
t	d̥	0.357
ˈʊː	-	0.333
ˈəi̯	-	0.333
ˈyː	-	0.333
ˈo	ˈo	0.333
ʋ	-	0.333
ʃ	s_ɡ̊	0.333
n_d̥	n	0.333
j	w	0.333
<#_ʋ	<#_ˈo	0.333
d̥	ʦʰ	0.312
ə_ʁ	ʌ	0.308
ˈi	-	0.292
ˈoː	ˈɔˀ	0.273
ˈoː	ˈœˀ	0.273
ˈoː	-	0.273
ˈu	ˈʌ	0.263
d̥	-	0.25
l	lˀ	0.244
n	nˀ	0.217
ˈu	ˈɔ	0.211
ˈu	ˈœ	0.211
ˈu	-	0.211
ˈɒ	-	0.19
ˈiː	ˈyˀ	0.19
ˈiː	ˈiː	0.19
b̥	-	0.19
ˈoː	ˈɔː	0.182
ɡ̊	-	0.182
#>	j_#>	0.182
f	b̥	0.176
ˈʊː	ˈøː	0.167
ˈi	ˈiˀ	0.167
n_d̥	n_ə	0.167
ˈɒ	ˈɛ	0.143
ˈiː	ˈyː	0.143
ˈiː	ˈiˀ	0.143
ˈiː	-	0.143
t	-	0.143
ˈɒː	ˈæˀ	0.125
h	j	0.125
ə	-	0.114
ˈu	ˈu	0.105
ˈɒ	ˈʌ	0.095
ˈɒ	ˈɑ	0.095
ˈiː	ˈi	0.095
ˈiː	ð̞ˠ	0.095
#>	nˀ_#>	0.091
n	w_ə	0.087
n	-	0.087
m	-	0.087
ˈi	ˈɑ	0.083
ʃ	j	0.083
ʁ	ɐˀ	0.069
ʁ	-	0.069
ə	ɐ	0.057
