Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈiː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈʏ	1.0
ˈyː	ˈyː	1.0
ˈuː_æ	ˈɔː	1.0
ˈoː_æ	ɐ	1.0
ˈiː_ç	ˈøʏ̯	1.0
ˈeː	ˈiː	1.0
ˈaɪ̯	ˈeː	1.0
ˈa_t	ˈa_ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɣ	-	1.0
ɡ̊	ɡ̊	1.0
ç_#>	#>	1.0
æ	ɐ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	ʋ	1.0
v̥	v̥	1.0
tʰ	ʦ	1.0
r	ʀ	1.0
pʰ	p	1.0
n_n	ŋ_ə	1.0
kʰ	k	1.0
k_n	k_ə	1.0
j	j	1.0
h	h	1.0
f_#>	ə_f_#>	1.0
f	f	1.0
d	d	1.0
ae̯	e	1.0
v	ʋ	0.917
b	b	0.875
ç	ɕ	0.769
ˈɔʏ̯	ˈøː	0.75
d̥	d̥	0.731
ˈuː	ˈuː	0.692
ˈʊ	ˈo	0.667
ˈaː	ˈɛ_ɐ	0.667
ˈa	ˈa	0.667
m	m	0.667
ɡ	j	0.643
ŋ	ŋ	0.643
ˈʏ	ˈœ	0.636
ˈae̯	ˈeː	0.615
ˈoː	-	0.6
s	s	0.6
p	p	0.6
ˈaʊ̯	ˈoː	0.571
k	ɕ	0.571
l	l	0.569
ˈɔ	ˈɔ	0.556
n	n	0.549
ˈiː	ˈiː	0.533
ˈɪ	ˈe	0.52
ɪ	ə	0.5
ɪ	-	0.5
æ_n	ʀ_ə	0.5
æ_n	n	0.5
ˈɛː	-	0.444
t	s	0.444
ˈɒː	ˈoː	0.438
l	ɫ	0.431
ˈoː	ˈoː	0.4
s	-	0.4
p	f	0.4
ˈʏ	-	0.364
ˈʊ	ˈɔ	0.333
ˈɛː	ˈɛ	0.333
ˈiː	-	0.333
ˈaː	ˈa	0.333
ˈa	ˈaː	0.333
#>	ɐ_#>	0.333
#>	n_#>	0.333
#>	f_#>	0.333
ˈɪ	ˈɪ	0.32
ˈɛ	ˈɛː	0.308
ˈɛ	ˈɛ	0.308
ˈuː	ˈɔʊ̯	0.308
n	ə	0.282
d̥	ɡ̊	0.269
ˈɔʏ̯	ˈyː	0.25
ˈɒː	-	0.25
t	t	0.25
ˈaʊ̯	ˈuː	0.238
ˈɛ	-	0.231
ˈae̯	ˈeɪ̯	0.231
ç	k	0.231
ˈɛː	ˈɛː	0.222
ˈɔ	ˈu	0.222
ˈɔ	ˈa	0.222
ɡ	-	0.214
ŋ	j_ə	0.214
k	x	0.214
k	k	0.214
ˈɒː	ˈaː	0.188
n	ŋ	0.169
t	-	0.167
ˈɛ	ˈe	0.154
m	m_ə	0.152
ɡ	ɣ	0.143
ŋ	ŋ_ə	0.143
t	ʦ	0.139
ˈiː	ˈɪ	0.133
ˈɒː	ˈɔ	0.125
b	-	0.125
m	v_ə	0.121
ˈaʊ̯	ˈa	0.095
ˈaʊ̯	-	0.095
v	v	0.083
ˈɪ	ˈeː	0.08
ˈɪ	ˈa	0.08
ˈae̯	ˈe	0.077
ˈae̯	-	0.077
m	ə	0.061
