Luxembourgish	Luxembourgish	probability
ˈʊ	ˈʌ	1.0
ˈɜɪ̯_ə	ˈaɪ̯	1.0
ˈɛː	ˈɑ	1.0
ˈɔ	ˈʌ	1.0
ˈɑ_l	ˈæ	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈæːɪ̯_t	ˈaɪ̯_d	1.0
ˈæːɪ̯_#>	ˈi_#>	1.0
ˈuː	ˈɝ	1.0
ˈoː_ə	ˈeɪ̯	1.0
ˈoː	ˈi	1.0
ˈiː_ɐ	ɹ	1.0
ˈiə̯	ˈɛ	1.0
ˈe_ŋ	n	1.0
ˈe	ˈɪ	1.0
ˈaː_χ	ˈeɪ̯	1.0
ˈaː_l	ˈoʊ̯_ɫ	1.0
ʦ_#>	ʔ_#>	1.0
ʦ	tʰ	1.0
ʑ	oʊ̯	1.0
ʃ_#>	ʃ_#>	1.0
ʀ_ə_n_#>	#>	1.0
ʀ_#>	ɹ_n_#>	1.0
ʀ	ɹ	1.0
ɡ̊	-	1.0
ə_ɕ	i	1.0
ə_f	v	1.0
ɕ_t	ʔ	1.0
ɕ_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_ə	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
w	w	1.0
v̥_#>	f_#>	1.0
v_ə	v	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ə	n	1.0
n_#>	#>	1.0
m_ˈəʊ̯	m	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
f_#>	p_#>	1.0
f	f	1.0
d_ə	d	1.0
b	b	1.0
<#_ʀ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
ə	-	0.931
v	w	0.875
s	ʔ	0.867
ɡ	ɡ	0.857
d̥	d	0.75
d	θ	0.75
kʰ	kʰ	0.727
ɕ	k	0.714
ˈɜɪ̯	ˈi	0.688
ʃ	s	0.68
n	n	0.667
t	t	0.625
ɐ	ɚ	0.606
χ	k	0.6
ˈɛ	ˈɛ	0.6
ˈeː	ˈoʊ̯	0.571
k	ʤ	0.571
ˈɑʊ̯	ˈʌ	0.5
ˈɑʊ̯	ˈaʊ̯	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈuə̯	ˈʌɪ̯	0.5
ˈuə̯	-	0.5
l	ɫ	0.5
ˈə	ˈɪ	0.471
l	l	0.457
ˈəʊ̯	ˈɛ	0.444
ˈɑɪ̯	ˈaɪ̯	0.444
ˈo	-	0.438
ˈæːɪ̯	ˈʌɪ̯	0.429
ˈi	ˈi	0.429
k	k	0.429
χ	-	0.4
ˈɛ	-	0.4
ˈu	-	0.4
ˈo	ˈʌ	0.375
ˈiː	ˈʌɪ̯	0.375
ˈiː	ˈɛ	0.375
ˈɑ	ˈɪ	0.35
ˈəʊ̯	-	0.333
ˈɑɪ̯	-	0.333
ʃ	ʃ	0.32
ˈæːɪ̯	ˈɪ	0.286
ˈæːɪ̯	ˈaɪ̯	0.286
ˈi	ˈɪ	0.286
ˈi	-	0.286
ɕ	ʧ	0.286
kʰ	ʧ	0.273
ˈɑ	ˈɛə̯	0.25
ˈiː	ˈi	0.25
d̥	θ	0.25
d	ð	0.25
ˈəʊ̯	ˈaʊ̯	0.222
ˈɑɪ̯	ˈi	0.222
ˈaː	ˈæ	0.214
ˈu	ˈʌ	0.2
ˈu	ˈu	0.2
ˈu	ˈaʊ̯	0.2
ˈɜɪ̯	ˈoʊ̯	0.188
ˈo	ˈʊ	0.188
t	ʔ	0.188
t	d	0.188
ɐ	ɹ	0.182
ˈaː	ˈɔ	0.179
ˈaː	ˈi	0.179
ˈə	ˈɛ	0.176
ˈə	ˈaɪ̯	0.176
ˈə	-	0.176
ˈeː	ˈi	0.143
ˈeː	ˈeɪ̯	0.143
ˈeː	-	0.143
ˈaː	ˈeɪ̯	0.143
ɡ	j	0.143
s	ɾ	0.133
ˈɜɪ̯	ˈaɪ̯	0.125
v	v	0.125
n	-	0.119
ˈaː	ˈɑ	0.107
ˈaː	-	0.107
ˈɑ	ˈɛ	0.1
ˈɑ	ˈɑ	0.1
ˈɑ	ˈaɪ̯	0.1
ˈɑ	-	0.1
ɐ	d_ɚ	0.091
ˈaː	ˈɑ_ɹ	0.071
n	ˈu	0.071
ə	ə	0.069
ɐ	ɡ_ɚ	0.061
ɐ	-	0.061
