Friulian	Walloon	probability
f	f	1.0
z	-	1.0
ɟ	-	1.0
ʤ	ʤ	1.0
c	ʧ	0.831
j	j	0.731
l	j	0.061
l	l	0.721
v	v	0.851
ŋ	ˈɔ̃	0.181
ˈa	ˈa	0.451
ˈe	ˈɛ̃	0.221
b	p	0.122
d	-	0.532
i	ɛ	0.072
ŋ	-	0.312
ˈeː	w_ˈɛ	0.802
ˈo	ˈuː	0.322
ˈɔ	ˈuː	0.692
l	-	0.183
m	m	0.763
s	ʃ	0.293
w	ˈoː	0.13
w	w	0.783
ɡ	-	0.453
ɲ	ɲ	0.693
ˈaː	ˈe	0.473
ˈi	ˈi	0.13
ˈi	ˈiː	0.193
ˈi	ˈɛ	0.573
ˈiː	ˈi	0.733
ˈo	ˈøː	0.073
ˈoː	w_ˈɛ	0.113
ˈoː	ˈøː	0.823
ˈɛ	-	0.083
e	w	0.184
i	ʀ	0.254
j	w	0.074
o	ɔ_z	0.134
r	ʀ	0.724
t	-	0.204
u	uː	0.184
v	-	0.134
ʧ	-	0.054
ʧ	w	0.064
ˈa	ˈɛ̃	0.084
ˈa	ˈɛ	0.104
ˈe	ˈeː	0.074
ˈe	ˈɔ	0.124
ˈi	ˈuː	0.104
ˈoː	ˈɔ	0.064
ˈu	ˈy	0.264
ˈɛ	ˈɛ	0.814
a	-	0.505
e	j	0.485
r	-	0.265
ˈa	ˈɑ̃	0.155
ˈe	w	0.105
ˈo	ˈɔ	0.605
ˈuː	ˈøː	0.495
ˈuː	ˈuː	0.505
j	-	0.196
k	k	0.966
o	-	0.076
t	t	0.796
ɡ	k	0.06
ʧ	ʒ	0.056
ʧ	s	0.826
ˈaː	ˈa	0.06
ˈu	-	0.246
ˈɛ	ˈɛː	0.066
a	ɛ	0.097
i	ˈi	0.057
m	-	0.237
p	p	0.997
s	s	0.707
ŋ	n	0.507
ɡ	ɡ	0.487
ɲ	n	0.307
ˈe	ˈɛ	0.477
ˈiː	ˈiː	0.267
a	a	0.398
b	b	0.878
d	d	0.468
e	-	0.318
i	-	0.548
n	n	0.438
u	-	0.528
w	-	0.088
ˈa	-	0.088
ˈa	ˈɔː	0.118
ˈeː	ˈøː_ʀ	0.198
ˈɔ	ˈɔ	0.308
c	-	0.169
n	-	0.529
o	ɔ	0.79
u	a	0.289
ˈaː	ˈɛ	0.119
ˈaː	ˈiː	0.309
ˈu	ˈu	0.49
