Campidanese	Campidanese	probability
ˈɔ_ɾ	ˈo_ɾ	1.0
ˈa_i	ˈa_ɾ	1.0
ʦ	θ	1.0
ʒ	θ	1.0
ɾ_ˈa	l_ˈa	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɭː	ʎ	1.0
ɡ	ɡ	1.0
ɛ_ɾ	ɾ	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z_ɔ̆	s	1.0
z_ŭ_#>	#>	1.0
z_u	z	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	t	1.0
t_i_#>	j_#>	1.0
t_i	t_e	1.0
t_a	t_a	1.0
s_u	s_o	1.0
p_ɾ	p	1.0
p	p	1.0
n_ʤ	ɲ	1.0
n_t	ˈe_n	1.0
n_i_#>	#>	1.0
m_ˈe	m_ˈe	1.0
m	m	1.0
l	l	1.0
k	k	1.0
ĭ_#>	#>	1.0
i_n	b_ɾ	1.0
f	f	1.0
b_ˈi	b_ˈe	1.0
b_ˈa	b_ˈa	1.0
ă	-	1.0
<#_ˈi	<#_ˈe	1.0
<#_ʧ	<#_θ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
#>	a_#>	1.0
a	a	0.954
i_#>	#>	0.913
n	n	0.872
d	d	0.846
u	o	0.839
z	s	0.833
ˈa	ˈa	0.821
ɾ	ɾ	0.788
β	β	0.778
t	t	0.778
b	b	0.778
<#_ˈa	<#_ˈa	0.778
r	r	0.75
ˈu	ˈu	0.697
ʤ	ʧ	0.692
ˈi	ˈi	0.675
ʃ	ʃ	0.667
ɖː	ʎ	0.667
ˈo	w_ˈe	0.652
ð	ð	0.647
j	-	0.625
w	w	0.6
e	e	0.6
ɣ	ɣ	0.571
<#_a	<#	0.545
ˈɔ	w_ˈe	0.5
ˈe	j_ˈe	0.5
s	s	0.5
o	u	0.5
o	o	0.5
nː	ɲ	0.5
nː	-	0.5
<#_a	<#_a	0.455
ɣ	ʎ	0.429
ˈɛ	ˈe	0.414
w	-	0.4
e	-	0.4
i	e	0.381
ˈɛ	j_ˈe	0.379
j	j	0.375
ʃ	-	0.333
ɖː	l	0.333
<#	<#_ɡ	0.333
<#	<#_k	0.333
<#	<#_a	0.333
ˈi	ˈe	0.325
ˈɔ	ˈo	0.318
s	e_s	0.318
ʤ	-	0.308
ˈe	ˈe	0.3
ˈo	ˈo	0.261
r	ɾ_n	0.25
ð	t	0.235
β	-	0.222
<#_ˈa	<#_a	0.222
ˈu	ˈo	0.212
ˈe	ˈe_j	0.2
s	-	0.182
z	-	0.167
d	ð	0.154
t	j_t	0.148
b	b_e	0.148
i	ˈe	0.143
ˈɛ	j	0.138
ð	-	0.118
ɾ	l	0.115
i	i	0.095
i	-	0.095
ˈɔ	w	0.091
ˈɔ	j	0.091
ˈu	w	0.091
ˈo	-	0.087
i_#>	w_#>	0.087
n	-	0.085
ˈa	-	0.077
t	-	0.074
b	-	0.074
i	ˈi	0.071
i	j	0.071
ˈɛ	e_n	0.069
ɾ	ˈe	0.058
u	-	0.057
ˈa	ɾ	0.051
ˈa	a	0.051
