Lengadocian	Lengadocian	probability
ˈu_#>	ˈo_n_ə_#>	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈa_#>	1.0
ʤ_ˈɛ	j_ˈe	1.0
ʀ_t	ɾ_t	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɡ	ɡ	1.0
ɔ	ə	1.0
ŋ	ŋ	1.0
ð	t	1.0
w_#>	v_ə_#>	1.0
p_ˈu	p_ˈu	1.0
p_l	k_j	1.0
p	p	1.0
nː	mː	1.0
n_ˈɛ	n_ˈe	1.0
n_#>	n_t_ə_#>	1.0
m_ɔ	m_ə	1.0
m_#>	mː_ə_#>	1.0
l_ˈa	j_ˈa	1.0
k_ɔ	kː_ə	1.0
k_#>	k_ə_#>	1.0
j_ɾ	t_ɾ	1.0
j_s	ʃː	1.0
e_s	ʃ	1.0
e_n	ə_n	1.0
e_#>	#>	1.0
d_ɾ	ə_ɾ	1.0
b_e	v_i	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.95
ˈa	ˈa	0.933
k	k	0.902
ɲ	ɲː	0.889
ˈi	ˈi	0.867
d	d	0.857
#>	ə_#>	0.841
ˈɛ	ˈɛ	0.838
a	a	0.833
m	m	0.826
u	u	0.8
ʧ	tː	0.778
n	n	0.769
ɥ	w	0.714
<#_a	<#_a	0.714
ˈy	ˈu	0.667
ʎ	ʎː	0.667
b	v	0.64
<#_ʤ	<#_ʤ	0.625
ˈu	ˈu	0.618
t	t	0.609
i	i	0.6
ɾ	ɾ	0.594
ʀ	ɾ	0.591
ˈɔ	ˈɔ	0.571
z	-	0.571
j	-	0.571
e	ə	0.561
β	-	0.545
ˈe	ˈe	0.519
ʦ	ʃ_ə	0.5
ʤ	-	0.5
t_#>	d_ə_#>	0.5
t_#>	#>	0.5
s	s	0.489
l	l	0.457
β	v	0.455
ˈɔ	w_ˈɔ	0.429
j	j	0.429
ˈe	ˈi	0.407
i	-	0.4
ʦ	ʦː	0.375
<#_ʤ	<#_j	0.375
ɣ	k	0.364
ɣ	-	0.364
ʎ	-	0.333
s_#>	p_ə_#>	0.333
s_#>	j_ə_#>	0.333
s_#>	#>	0.333
l	lː	0.314
w	ə	0.3
w	w	0.3
s	ʃ	0.289
ɥ	-	0.286
z	ʃ	0.286
<#_a	<#	0.286
ɣ	ɡ	0.273
t	tː	0.261
ʤ	ʤː	0.25
ʤ	j	0.25
ɾ	r	0.25
b	b	0.24
ˈu	ˈo	0.235
ˈy	ˈu_ɾ	0.222
ʧ	-	0.222
w	v	0.2
w	-	0.2
u	o	0.2
ʀ	r	0.182
e	i	0.171
a	-	0.167
#>	n_ə_#>	0.159
n	nː	0.154
ˈu	w_ˈɔ	0.147
z	z	0.143
d	-	0.143
ʀ	ɾ_n	0.136
s	-	0.133
ʦ	ʧ	0.125
e	-	0.122
b	-	0.12
l	ʎː	0.114
l	kː_j	0.114
ˈy	-	0.111
ɲ	ɲ	0.111
ɾ	-	0.094
ʀ	rː	0.091
t	-	0.087
m	mː	0.087
m	m_j	0.087
n	-	0.077
ˈe	-	0.074
e	ɾ_ə	0.073
e	e	0.073
ˈi	ɾ	0.067
ˈi	-	0.067
ˈa	ˈa_ɾ	0.067
ɾ	ˈa	0.062
ˈɛ	ˈɛ_ɾ	0.054
ˈɛ	ˈɔ	0.054
ˈɛ	-	0.054
