Romanian	Romanian	probability
ˈə	-	1.0
ˈu_p	ˈuː	1.0
ˈi_r	ˈiː	1.0
ˈi_m	ˈe_ŋ	1.0
ˈe_r_e	e	1.0
ˈau̯_r	ˈɔː_u	1.0
ˈa_t	ˈɛː	1.0
ˈa_r	ˈaː	1.0
ˈa_l	ˈaː	1.0
ʦʲ	t_i	1.0
ʒ	ʤ	1.0
ʃ_t	ʃ	1.0
ʃ	sː	1.0
ɨ_n	ŋ	1.0
ɡ	ɡ	1.0
ə_m	e_m	1.0
ŋ	-	1.0
z_b	ʒ	1.0
v	v	1.0
u_r	w	1.0
t_#>	t_u_#>	1.0
s_#>	s_u_#>	1.0
r_u	r_u	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_e_#>	#>	1.0
p_t	t	1.0
p_l	ʧ	1.0
p_j	p	1.0
p_#>	p_u_#>	1.0
o_t	ɥ	1.0
o	-	1.0
nʲ	j_ŋ	1.0
n_e_#>	ŋ_#>	1.0
n_#>	ŋ_#>	1.0
m_n	ɲ_u	1.0
l_#>	l_u_#>	1.0
kʲ	ʤ	1.0
f_r	b	1.0
f_l	ʃ	1.0
f	f	1.0
e̯ˈa	ˈe	1.0
e_r	j	1.0
e_d	ˈe_d	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#	<#_a	1.0
s	s	0.862
ˈɨ	ˈa	0.857
p	p	0.815
l	l	0.8
r	r	0.781
ʤ	z	0.778
#>	u_#>	0.758
ə	a	0.754
m	m	0.75
e	e	0.694
z	d	0.667
u	u	0.667
t	t	0.65
k	k	0.625
n	ŋ	0.588
i	i	0.556
ˈe	ˈe	0.52
w_#>	v_u_#>	0.5
w_#>	#>	0.5
w	u	0.5
w	-	0.5
r_#>	u_#>	0.5
r_#>	#>	0.5
j_ˈe	ˈɛː	0.5
j_ˈe	ˈeː	0.5
ʧ	s	0.476
ˈu	ˈu	0.459
ˈi	ˈi	0.458
ʦ	s	0.444
ˈe	ˈeː	0.36
t	-	0.35
ˈa	ˈa	0.344
ʦ	t	0.333
z	-	0.333
o̯ˈa	-	0.312
n	n	0.294
ˈo	ˈøː	0.286
j	-	0.286
ˈa	ˈaː	0.281
o̯ˈa	ˈɔː	0.25
o̯ˈa	ˈuː	0.25
ʧ	ʒ	0.238
ʦ	-	0.222
ʤ	-	0.222
i	e	0.222
i	-	0.222
j	ˈiː	0.214
j	ŋ	0.214
ˈi	ˈiː	0.208
ˈi	ˈe	0.208
l	-	0.2
ʧ	-	0.19
ˈa	ˈɛː	0.188
o̯ˈa	ˈø	0.188
p	-	0.185
ˈo	-	0.179
k	ɡ	0.175
u	ˈɛ	0.167
u	-	0.167
ˈu	ˈy	0.162
r	j	0.156
#>	a_#>	0.152
ˈɨ	ˈe	0.143
ˈo	ˈɔ	0.143
j	ʤ	0.143
j	l	0.143
ə	-	0.14
ˈu	ˈuː	0.135
ˈi	-	0.125
ˈa	-	0.125
m	u	0.125
m	-	0.125
k	ɡ_u	0.125
ˈe	-	0.12
ˈu	ˈyː	0.108
ˈo	ˈɔː	0.107
ˈo	ˈø	0.107
ˈo	w	0.107
ə	e	0.105
e	-	0.102
ʧ	k	0.095
#>	e_#>	0.091
ˈu	-	0.081
k	-	0.075
ˈo	ˈy	0.071
s	z	0.069
s	-	0.069
ˈa	a	0.062
r	v	0.062
e	ʤ_a	0.061
e	a	0.061
n	ɲ	0.059
n	-	0.059
ˈu	ˈi	0.054
