Standard Mandarin	Standard Mandarin	probability
ʨʰ_ɥ	ʦ	1.0
ʨʰ_j	k_j	1.0
ʨʰ	kʰ	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʐ	l	1.0
ɻ	i	1.0
ɥ	ɛ	1.0
ɛ_n	ŋ̍	1.0
ɛ	-	1.0
ə_n	ŋ̍	1.0
ɔ	ɔ̃	1.0
ɑ_ŋ	ŋ̍	1.0
ɑ_w	o	1.0
ŋ	ŋ	1.0
z̩	i	1.0
w_⁵¹	⁴	1.0
w_ɔ	o_ʔ	1.0
w_ɑ	ɔ	1.0
tʰ	tʰ	1.0
t	t	1.0
s	ɕ	1.0
p	p	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	ĩ	1.0
i_ŋ	j_ã	1.0
<#_w	<#_b	1.0
#>	³³_#>	1.0
³⁵	²⁴	0.902
²¹⁴	⁵³	0.853
⁵⁵	⁴⁴	0.769
ɑ	a	0.75
ʐ̩	i	0.714
ʊ	a	0.714
x	h	0.714
ə	u	0.667
y	u	0.667
m	b	0.667
l	l	0.667
w	w	0.652
i	i	0.636
ʂ	-	0.625
e	-	0.6
pʰ	pʰ	0.571
a_n	w_ã	0.571
a_j	a_j	0.571
n	n	0.52
ʦ	ʨ	0.5
ʦ	ʦ	0.5
ʈ͡ʂʰ	ʦʰ	0.5
ʈ͡ʂʰ	t	0.5
ɕ	ɕ	0.5
ɕ	-	0.5
j	-	0.5
f	p	0.5
f	h	0.5
u	ɔ	0.455
a	e	0.438
ʈ͡ʂ	t	0.429
pʰ	p	0.429
a_n	ŋ̍	0.429
a_j	a	0.429
⁵¹	³³	0.412
o	a	0.4
e	e	0.4
ʂ	ɕ	0.375
u	u	0.364
w	-	0.348
ɤ	ɪ	0.333
ɤ	l	0.333
ə	-	0.333
y	h_u	0.333
m	m	0.333
l	l_j	0.333
⁵¹	¹¹	0.324
j	j	0.312
a	a	0.312
o	k̚	0.3
o	i	0.3
ʐ̩	a_j	0.286
ʊ	-	0.286
ʈ͡ʂ	ʨ	0.286
ʈ͡ʂ	-	0.286
x	-	0.286
<#	<#_ɡ	0.286
ɑ	ɔ	0.25
ɤ	w_a	0.222
n	m	0.2
j	a	0.188
u	u_t̚	0.182
i	w_e	0.182
i	u_j	0.182
⁵⁵	³²	0.179
n	l	0.16
<#	<#_ʨʰ	0.143
<#	<#_ʦ	0.143
<#	<#_m	0.143
<#	<#_l	0.143
<#	<#_k	0.143
a	w_a	0.125
a	u	0.125
n	-	0.12
⁵¹	⁴	0.118
⁵¹	³²	0.118
ɤ	ɤ	0.111
²¹⁴	³²	0.088
²¹⁴	³³	0.059
⁵⁵	-	0.051
