Wymysorys	East Franconian	probability
ˈɪ	ˈiː	1.0
ˈɘ̟_ŋ	ˈɪ	1.0
ˈɑi̯_ɡ̊	ə	1.0
ˈø	ˈoː	1.0
ˈu_ŋ	ɪ	1.0
ˈoi̯	-	1.0
ˈai̯	ˈaɪ̯	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɡ	ɡ̊	1.0
ɟ	ŋ	1.0
ɛ	ɐ	1.0
ə	-	1.0
ɑ	eː	1.0
ŋ_ɡ̊	ŋ	1.0
ç	ç	1.0
z	s	1.0
u	-	1.0
t_r	d̥_r	1.0
s_t	ʃ_d̥	1.0
p	-	1.0
n_d	n	1.0
m	m	1.0
k_s	ɡ̊_s	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
c	ŋ	1.0
b̥	b̥	1.0
b	b̥	1.0
t	d̥	0.906
w	l	0.892
n	n	0.867
l	l	0.835
ˈi	ˈiː	0.826
ˈɘ̟	ˈɪ	0.757
ˈei̯	ˈiː	0.731
r	r	0.702
d	d̥	0.685
k	kʰ	0.655
ˈɛ	ˈɛ	0.654
ˈa	ˈaː	0.647
ˈu	ˈʊ	0.618
s	z̥	0.608
a	n	0.6
ɡ̊	ɣ̊	0.593
v	v	0.565
j	-	0.562
ˈʏ	ˈuː	0.51
ˈi̯ø	ˈoː	0.5
x	x	0.463
ˈɑ	ˈɒ	0.45
ˈɔ	ˈɒ	0.446
j	j	0.438
ˈɔ	ˈoː	0.428
ɡ̊	ç	0.407
a	a	0.4
s	s	0.392
ˈi̯ø	-	0.371
ˈɑi̯	ˈaʊ̯	0.358
k	ɡ̊	0.345
ˈɑi̯	ˈaɪ̯	0.34
d	ɾ	0.315
ˈʏ	-	0.309
r	ɐ	0.298
ˈei̯	-	0.269
ˈu	ˈuː	0.253
x	ç	0.213
ˈɛ	ˈɒ	0.202
ˈɑi̯	ˈaː	0.191
v	-	0.191
ˈʏ	ˈʊ	0.181
ˈa	ˈɛ	0.179
ˈi	ˈuː	0.174
ˈa	ˈeː	0.174
x	ŋ	0.171
l	ɣ	0.165
x	-	0.153
ˈɛ	-	0.144
ˈɑ	ˈeː	0.142
ˈu	ˈɔ	0.129
ˈi̯ø	ˈa	0.129
v	β	0.127
ˈɔ	ˈɔ	0.126
v	v_ˈɔ	0.117
ˈɑi̯	-	0.111
w	-	0.108
n	ŋ	0.097
ˈɑ	ˈɛ_ɐ	0.094
t	ɾ	0.094
ˈɑ	ˈaː	0.089
ˈɘ̟	ˈɛ	0.084
ˈɘ̟	-	0.083
ˈɘ̟	ˈʊ	0.076
ˈɑ	ˈoː	0.069
ˈɑ	-	0.069
ˈɑ	ˈɛ	0.067
