Old Frisian	Westphalian	probability
ˈo_r	ˈuːə̯	1.0
ˈe_r	ˈɛː	1.0
ʦ	k	1.0
ʣ	ɡ	1.0
ɣ	ɡ	1.0
ɡː	-	1.0
ɡ	x	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	z	1.0
w_ˈi	v	1.0
v	v	1.0
tː	t	1.0
t_ə	t	1.0
s_k	ʃ	1.0
r_ˈeː	r_ˈaɪ̯	1.0
r_ə	ɐ	1.0
pː	p	1.0
p	p	1.0
nː_ə	n_n	1.0
n_t	n_t	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m_ə	m_n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	-	1.0
k_ə	k	1.0
k_s	s	1.0
k	k	1.0
j_ə	n	1.0
iː	aɪ̯	1.0
h	h	1.0
dː	d	1.0
bː	b	1.0
b	b	1.0
a	n	1.0
f	f	0.959
t	t	0.945
ˈiː	ˈiː	0.868
ˈi	ˈɪ	0.793
ˈo	-	0.768
ˈi̯aː	ˈaɪ̯	0.755
e	-	0.743
θ	d	0.711
ˈoː	ˈoː	0.699
d_ə	d_n	0.65
ˈu	ˈʊ	0.642
ˈuː	ˈuː	0.636
ˈɔː	ˈa	0.625
w	v	0.625
ˈa	ˈa	0.621
ˈɛː	ˈeː	0.618
ˈi̯uː	ˈyː	0.597
s	s	0.589
ˈaː	ˈaʊ̯	0.552
x	x	0.544
j	-	0.519
ə	-	0.51
ˈeː	ˈɔː	0.502
d	d̥	0.491
d	d	0.459
x	ç	0.456
r	ɐ	0.428
ˈi̯uː	-	0.403
s	ʃ	0.385
ˈɛː	-	0.382
ˈɔː	ˈɔː	0.375
ˈuː	ˈʊ	0.364
j	x	0.36
d_ə	n	0.35
r	r	0.345
ˈeː	ˈøː	0.323
ˈoː	-	0.301
θ	d̥	0.289
e	ə	0.257
ˈi̯aː	-	0.245
ˈu	-	0.234
w	ʋ	0.234
ə	n	0.229
ˈaː	ˈeː	0.225
ˈaː	ˈɔː	0.223
ˈa	-	0.223
ˈe	ˈɪɛ̯	0.215
ˈe	ˈɛ	0.211
ˈe	ˈa	0.191
ˈeː	ˈiː	0.175
ˈo	ˈɔ	0.169
ə	ə	0.168
r	-	0.154
ˈe	-	0.147
w	-	0.14
ˈiː	ˈaɪ̯	0.132
ˈa	ˈɔ	0.12
j	j	0.12
ˈe	ˈʏ	0.084
ˈi	ˈɛ	0.081
ˈe	ˈaː	0.079
ˈi	-	0.075
ˈe	ˈiɛ̯	0.072
r	ˈuːə̯	0.072
ˈu	ˈuə̯	0.065
ˈo	ˈyːœ̯	0.063
ˈu	ˈyə̯	0.059
t	-	0.055
ˈi	ˈiː	0.052
d	-	0.05
