Lithuanian	Lithuanian	probability
̌_ɡ	x	1.0
̌_t	t	1.0
̌_lʲ	l_ɛ	1.0
̌_d	d̥	1.0
̌_b	b̥	1.0
̌	-	1.0
̂	-	1.0
ˈ_#>	#>	1.0
ˈ	-	1.0
ʒ	z	1.0
ʑ	z	1.0
ʊ_ˈ	iː	1.0
ɪ_ˈ	ɛ	1.0
ɪ_rʲ	r̩	1.0
ɡ	ɦ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	i_x	1.0
ɕ	s	1.0
ɐʊ̯	u	1.0
ɐɪ̯	ɪ̯ɛ	1.0
ɐ_ˈ_#>	a_#>	1.0
ɐ_ŋ	u	1.0
ɐ_r	r_a	1.0
ŋʲ	æ	1.0
ŋ_ɡ	ʒ̊	1.0
æɪ̯	i	1.0
z	-	1.0
vʲ_ɪ	ʋ	1.0
v	ʋ	1.0
uː_̂	i	1.0
uə̯_lʲ	l̩	1.0
tʲ_ɪ	c	1.0
tʲ	-	1.0
s_#>	#>	1.0
rʲ_ɪ	r	1.0
rʲ	r	1.0
r	r	1.0
pʲ	p	1.0
p	-	1.0
oː_̂	a	1.0
nʲ	-	1.0
mʲ	m	1.0
lʲ	ʎ	1.0
kʲ	k	1.0
k_tʲ	ʦ	1.0
iː_s	ɡ̊	1.0
iə̯	ɛ	1.0
eː_̌_#>	a_#>	1.0
eː_̌	eː	1.0
eː_#>	#>	1.0
b	b	1.0
aʊ̯	ɫ̩_n	1.0
aɪ̯	-	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
#>	a_#>	1.0
ɐ_s_#>	#>	0.895
ʊ	-	0.778
vʲ	ʋ	0.778
d	d	0.75
bʲ	b	0.75
ʃ	s	0.667
æː	-	0.667
m	m	0.667
dʲ	ɟ	0.667
aː	-	0.625
æː_̌	ɔ	0.6
ɡʲ	ʒ	0.571
s	s	0.571
eː	a	0.571
t	t	0.545
n	n	0.538
uə̯	ɛ	0.5
uə̯	a	0.5
sʲ	s	0.5
iː	i	0.5
iː	-	0.5
aː_̌	ɛ	0.5
aː_̌	ɔ	0.5
<#	<#_j	0.5
ɫ	ɫ	0.467
t	-	0.455
ɡʲ	-	0.429
ɛ	ɛ	0.429
s	-	0.429
oː	a	0.429
oː	-	0.429
eː	-	0.429
k	k	0.417
k	-	0.417
æː_̌	ɛ	0.4
ɐ	ɔ	0.367
ɛ	-	0.357
ʃ	x	0.333
æː	ɔ	0.333
m	-	0.333
dʲ	-	0.333
n	-	0.308
ɪ	-	0.304
ɐ	iː	0.3
ɫ	ɫ̩	0.267
ɫ	l	0.267
ɪ	ɔ	0.261
sʲ	x	0.25
sʲ	-	0.25
d	d̥	0.25
bʲ	f	0.25
aː	ɛ	0.25
<#	<#_ɦ	0.25
<#	<#_ɔ	0.25
ɐ	a	0.233
ʊ	u	0.222
vʲ	-	0.222
ɛ	e	0.214
ɪ	c	0.174
k	ʦ	0.167
n	ɲ	0.154
oː	aː	0.143
aː	ʊ̯ɔ	0.125
ɐ_s_#>	t_#>	0.105
ɐ	i	0.1
ɪ	ɪ̯ɛ	0.087
ɪ	ɪ̯a	0.087
ɪ	r̩	0.087
