Aragonese	Bellunese	probability
d	d	1.0
f	f	1.0
i	i	1.0
p	p	1.0
r	r	1.0
t	t	1.0
u	o	1.0
ŋ	ŋ	1.0
ɣ	ɡ	1.0
ɲ	n	1.0
ʝ	-	1.0
a	-	0.091
e	i	0.081
l	-	0.181
ˈi	e	0.1
β	v	0.971
θ	s	0.141
b	b	0.282
j	j	0.852
s	-	0.082
ɾ	-	0.082
ˈa	ˈa	0.972
θ	θ	0.702
j	-	0.123
m	m	0.903
n	ŋ_t	0.053
s	s	0.883
ɾ	r	0.883
ˈe	ˈe	0.833
w	-	0.594
ɡ	ɡ	0.934
ʎ	ʧ	0.484
ʧ	ð	0.764
ˈi	-	0.054
ˈu	ˈo	0.154
e	e	0.595
l	j	0.205
ð	t	0.165
ˈo	ˈɔ	0.105
a	a	0.886
e	o	0.216
w	w	0.406
ð	-	0.236
ɡ	-	0.066
ʎ	j	0.246
ʧ	-	0.236
ˈe	ˈa	0.06
ˈe	e	0.066
ˈi	ˈi	0.846
l	l	0.597
n	n	0.697
o	o	0.987
ʎ	l	0.27
ˈo	o	0.137
k	k	0.978
n	ŋ	0.208
ˈo	ˈo	0.758
ˈu	ˈɔ	0.068
ˈu	ˈu	0.778
θ	z	0.158
b	v_ˈe	0.079
b	v	0.599
ð	d	0.599
